#x	y	new0_flux	flux_lukas_flux
0.426	-3.14159	382.77	381.37
0.426	-3.03687	354.693	353.31
0.426	-2.93215	329.815	328.441
0.426	-2.82743	308.167	306.794
0.426	-2.72271	289.683	288.288
0.426	-2.61799	274.122	272.626
0.426	-2.51327	261.249	259.742
0.426	-2.40855	250.897	249.375
0.426	-2.30383	242.771	241.231
0.426	-2.19911	236.56	235
0.426	-2.0944	231.805	230.114
0.426	-1.98968	228.172	226.462
0.426	-1.88496	225.565	223.838
0.426	-1.78024	223.77	221.981
0.426	-1.67552	222.33	220.455
0.426	-1.5708	221.369	219.485
0.426	-1.46608	220.947	219.057
0.426	-1.36136	220.932	218.907
0.426	-1.25664	221.456	219.431
0.426	-1.15192	222.911	220.889
0.426	-1.0472	225.524	223.359
0.426	-0.942478	229.329	227.169
0.426	-0.837758	234.981	232.826
0.426	-0.733038	242.831	240.679
0.426	-0.628319	253.224	250.931
0.426	-0.523599	266.27	263.955
0.426	-0.418879	282.467	280.145
0.426	-0.314159	302.05	299.717
0.426	-0.20944	325.151	322.802
0.426	-0.10472	351.806	349.435
0.426	-2.66454e-15	381.935	379.535
0.426	0.10472	415.333	412.897
0.426	0.20944	451.661	449.185
0.426	0.314159	490.444	487.922
0.426	0.418879	531.071	528.498
0.426	0.523599	572.803	570.176
0.426	0.628319	614.788	612.106
0.426	0.733038	656.02	653.348
0.426	0.837758	695.306	692.709
0.426	0.942478	731.839	729.192
0.426	1.0472	764.623	761.931
0.426	1.15192	792.401	789.862
0.426	1.25664	814.531	811.961
0.426	1.36136	830.478	827.886
0.426	1.46608	839.292	836.873
0.426	1.5708	841.176	838.755
0.426	1.67552	835.986	833.719
0.426	1.78024	823.742	821.522
0.426	1.88496	805.218	803.023
0.426	1.98968	780.87	778.858
0.426	2.0944	751.373	749.415
0.426	2.19911	717.868	715.955
0.426	2.30383	681.293	679.428
0.426	2.40855	642.553	640.793
0.426	2.51327	602.504	600.883
0.426	2.61799	562.237	560.664
0.426	2.72271	522.575	521.047
0.426	2.82743	484.244	482.756
0.426	2.93215	447.857	446.404
0.426	3.03687	413.908	412.485
0.426	3.14159	382.77	381.37
0.4345	-3.14159	297.912	297.031
0.4345	-3.03687	271.403	270.538
0.4345	-2.93215	247.992	247.137
0.4345	-2.82743	227.703	226.851
0.4345	-2.72271	210.468	209.612
0.4345	-2.61799	196.138	195.215
0.4345	-2.51327	184.316	183.353
0.4345	-2.40855	174.873	173.895
0.4345	-2.30383	167.546	166.551
0.4345	-2.19911	162.028	161.013
0.4345	-2.0944	158.011	156.9
0.4345	-1.98968	154.889	153.747
0.4345	-1.88496	152.687	151.529
0.4345	-1.78024	151.207	150.035
0.4345	-1.67552	150.19	148.906
0.4345	-1.5708	149.375	148.084
0.4345	-1.46608	149.011	147.716
0.4345	-1.36136	149.152	147.782
0.4345	-1.25664	149.595	148.188
0.4345	-1.15192	150.83	149.428
0.4345	-1.0472	153.15	151.753
0.4345	-0.942478	156.751	155.232
0.4345	-0.837758	161.851	160.34
0.4345	-0.733038	169.024	167.518
0.4345	-0.628319	178.606	177.104
0.4345	-0.523599	190.916	189.356
0.4345	-0.418879	206.121	204.466
0.4345	-0.314159	224.48	222.815
0.4345	-0.20944	246.22	244.539
0.4345	-0.10472	271.38	269.677
0.4345	-2.66454e-15	299.89	298.158
0.4345	0.10472	331.558	329.791
0.4345	0.20944	366.063	364.254
0.4345	0.314159	402.95	401.094
0.4345	0.418879	441.634	439.726
0.4345	0.523599	481.406	479.442
0.4345	0.628319	521.339	519.427
0.4345	0.733038	560.472	558.57
0.4345	0.837758	597.965	596.007
0.4345	0.942478	632.838	630.827
0.4345	1.0472	663.968	662.074
0.4345	1.15192	690.349	688.424
0.4345	1.25664	711.446	709.487
0.4345	1.36136	726.406	724.589
0.4345	1.46608	734.724	732.894
0.4345	1.5708	736.434	734.599
0.4345	1.67552	731.17	729.497
0.4345	1.78024	719.352	717.694
0.4345	1.88496	701.53	699.896
0.4345	1.98968	677.982	676.525
0.4345	2.0944	649.675	648.256
0.4345	2.19911	617.553	616.178
0.4345	2.30383	582.519	581.193
0.4345	2.40855	545.324	544.172
0.4345	2.51327	507.029	505.925
0.4345	2.61799	468.568	467.512
0.4345	2.72271	430.732	429.721
0.4345	2.82743	394.219	393.249
0.4345	2.93215	359.616	358.682
0.4345	3.03687	327.396	326.491
0.4345	3.14159	297.912	297.031
0.443	-3.14159	231.534	231.024
