#x	y	new0_flux	flux_lukas_flux
0.0178175	0.426	534.368	530.742
0.0178175	0.4345	427.828	424.745
0.0178175	0.443	339.857	337.181
0.0178175	0.4515	268.803	266.524
0.0178175	0.46	212.875	210.839
0.0178175	0.4685	169.953	168.058
0.0178175	0.477	137.718	135.935
0.0178175	0.4855	113.865	112.186
0.0178175	0.494	96.2797	94.7146
0.0178175	0.5025	83.2131	81.7552
0.0178175	0.511	73.4087	72.0883
0.0178175	0.5195	66.2381	65.0945
0.0178175	0.528	61.7111	60.7504
0.0178175	0.5365	60.393	59.6057
0.0178175	0.545	63.3253	62.6814
0.0178175	0.5535	71.8823	71.3272
0.0178175	0.562	87.6099	87.0629
0.0178175	0.5705	112.071	111.424
0.0178175	0.579	146.713	145.831
0.0184709	0.426	490.503	487.219
0.0184709	0.4345	386.869	384.143
0.0184709	0.443	301.719	299.414
0.0184709	0.4515	233.45	231.488
0.0184709	0.46	180.124	178.467
0.0184709	0.4685	139.663	138.156
0.0184709	0.477	109.723	108.327
0.0184709	0.4855	87.9696	86.6644
0.0184709	0.494	72.2485	71.0077
0.0184709	0.5025	60.7369	59.6239
0.0184709	0.511	52.2182	51.2473
0.0184709	0.5195	46.019	45.2018
0.0184709	0.528	42.0908	41.4295
0.0184709	0.5365	40.9704	40.4519
0.0184709	0.545	43.679	43.2708
0.0184709	0.5535	51.5809	51.2266
0.0184709	0.562	66.2231	65.8409
0.0184709	0.5705	89.1795	88.6612
0.0184709	0.579	121.917	121.129
0.0191243	0.426	450.445	447.464
0.0191243	0.4345	349.721	347.312
0.0191243	0.443	267.398	265.422
0.0191243	0.4515	201.887	200.23
0.0191243	0.46	151.204	149.822
0.0191243	0.4685	113.215	112.016
0.0191243	0.477	85.5838	84.4832
0.0191243	0.4855	65.9213	64.9025
0.0191243	0.494	52.0417	51.1294
0.0191243	0.5025	42.1676	41.3678
0.0191243	0.511	34.992	34.3147
0.0191243	0.5195	29.8039	29.2563
0.0191243	0.528	26.51	26.0909
0.0191243	0.5365	25.6339	25.3265
0.0191243	0.545	28.1761	27.9451
0.0191243	0.5535	35.4872	35.2749
0.0191243	0.562	49.1111	48.8348
0.0191243	0.5705	70.6293	70.1808
0.0191243	0.579	101.525	100.772
0.0197777	0.426	413.99	411.275
0.0197777	0.4345	316.178	314.045
0.0197777	0.443	236.683	234.993
0.0197777	0.4515	173.902	172.537
0.0197777	0.46	125.875	124.746
0.0197777	0.4685	90.3767	89.4167
0.0197777	0.477	65.0318	64.198
0.0197777	0.4855	47.472	46.7409
0.0197777	0.494	35.5068	34.8702
0.0197777	0.5025	27.2954	26.7551
0.0197777	0.511	21.4936	21.055
0.0197777	0.5195	17.3307	16.9976
0.0197777	0.528	14.72	14.4863
0.0197777	0.5365	14.1393	13.986
0.0197777	0.545	16.5661	16.4557
0.0197777	0.5535	23.34	23.2131
0.0197777	0.562	36.0043	35.7778
0.0197777	0.5705	56.1504	55.7163
0.0197777	0.579	85.281	84.5077
0.0204311	0.426	380.949	378.462
0.0204311	0.4345	286.047	284.152
0.0204311	0.443	209.381	207.935
0.0204311	0.4515	149.329	148.215
0.0204311	0.46	103.918	103.041
0.0204311	0.4685	70.9006	70.1921
0.0204311	0.477	47.8814	47.2942
0.0204311	0.4855	32.4654	31.972
0.0204311	0.494	22.4317	22.0197
0.0204311	0.5025	15.9052	15.5719
0.0204311	0.511	11.4807	11.2281
0.0204311	0.5195	8.39612	8.22265
0.0204311	0.528	6.50944	6.4065
0.0204311	0.5365	6.26826	6.21398
0.0204311	0.545	8.62868	8.58349
0.0204311	0.5535	14.9188	14.822
0.0204311	0.562	26.681	26.449
0.0204311	0.5705	45.5157	45.0409
0.0204311	0.579	72.9442	72.0959
0.0210845	0.426	351.147	348.852
0.0210845	0.4345	259.152	257.455
0.0210845	0.443	185.31	184.069
0.0210845	0.4515	127.987	127.08
0.0210845	0.46	85.1907	84.5224
0.0210845	0.4685	54.6581	54.1552
0.0210845	0.477	33.9707	33.5829
0.0210845	0.4855	20.7085	20.4042
0.0210845	0.494	12.6209	12.3834
0.0210845	0.5025	7.78482	7.60803
0.0210845	0.511	4.77354	4.65406
0.0210845	0.5195	2.79852	2.73195
0.0210845	0.528	1.67164	1.64613
0.0210845	0.5365	1.81103	1.8021
0.0210845	0.545	4.15117	4.11733
0.0210845	0.5535	10.0081	9.88759
0.0210845	0.562	20.9228	20.6314
0.0210845	0.5705	38.504	37.9348
0.0210845	0.579	64.2908	63.3143
0.021738	0.426	324.423	322.285
0.021738	0.4345	235.327	233.792
0.021738	0.443	164.304	163.229
0.021738	0.4515	109.705	108.966
0.021738	0.46	69.523	69.0202
0.021738	0.4685	41.4754	41.1338
0.021738	0.477	23.1237	22.8891
0.021738	0.4855	12.023	11.8602
0.021738	0.494	5.89341	5.7818
0.021738	0.5025	2.75184	2.68099
0.021738	0.511	1.18732	1.1503
0.021738	0.5195	0.34949	0.338421
0.021738	0.528	0.0155386	0.0155386
0.021738	0.5365	0.573962	0.5581
0.021738	0.545	2.93727	2.86229
0.021738	0.5535	8.40907	8.21217
0.021738	0.562	18.528	18.1249
0.021738	0.5705	34.9109	34.1951
0.021738	0.579	59.1138	57.9572
0.0223914	0.426	300.625	298.609
0.0223914	0.4345	214.42	213.011
0.0223914	0.443	146.209	145.261
0.0223914	0.4515	94.3286	93.7156
0.0223914	0.46	56.7557	56.3767
0.0223914	0.4685	31.1916	30.9677
0.0223914	0.477	15.1772	15.051
0.0223914	0.4855	6.24352	6.17597
0.0223914	0.494	2.06418	2.03118
0.0223914	0.5025	0.647908	0.634494
0.0223914	0.511	0.54997	0.546053
0.0223914	0.5195	0.874607	0.868984
0.0223914	0.528	1.36433	1.33926
0.0223914	0.5365	2.37783	2.30411
0.0223914	0.545	4.80532	4.63809
0.0223914	0.5535	9.93746	9.61306
0.0223914	0.562	19.3101	18.7441
0.0223914	0.5705	34.5475	33.6342
0.0223914	0.579	57.2219	55.8347
0.0230448	0.426	279.614	277.687
0.0230448	0.4345	196.289	194.971
0.0230448	0.443	130.881	130.022
0.0230448	0.4515	81.7105	81.1853
0.0230448	0.46	46.7411	46.4452
0.0230448	0.4685	23.6571	23.5088
0.0230448	0.477	9.9799	9.91828
0.0230448	0.4855	3.21662	3.19924
0.0230448	0.494	0.985213	0.984094
0.0230448	0.5025	1.31559	1.31235
0.0230448	0.511	2.70196	2.68304
0.0230448	0.5195	4.192	4.14515
0.0230448	0.528	5.51861	5.42237
0.0230448	0.5365	7.02465	6.84776
0.0230448	0.545	9.57468	9.2709
0.0230448	0.5535	14.4227	13.9211
0.0230448	0.562	23.0963	22.3178
0.0230448	0.5705	37.2386	36.0783
0.0230448	0.579	58.4378	56.7708
0.0236982	0.426	261.259	259.388
0.0236982	0.4345	180.802	179.539
0.0236982	0.443	118.185	117.38
0.0236982	0.4515	71.7155	71.24
0.0236982	0.46	39.342	39.0895
0.0236982	0.4685	18.733	18.6189
0.0236982	0.477	7.3909	7.35121
0.0236982	0.4855	2.79029	2.77916
0.0236982	0.494	2.52097	2.50667
0.0236982	0.5025	4.60865	4.56955
0.0236982	0.511	7.4379	7.35985
0.0236982	0.5195	10.1176	9.98162
0.0236982	0.528	12.3224	12.1055
0.0236982	0.5365	14.349	14.0181
0.0236982	0.545	17.039	16.5465
0.0236982	0.5535	21.652	20.933
0.0236982	0.562	29.7124	28.6828
0.0236982	0.5705	42.8219	41.3665
0.0236982	0.579	62.5969	60.6023
0.0243516	0.426	245.437	243.565
0.0243516	0.4345	167.836	166.595
0.0243516	0.443	107.998	107.211
0.0243516	0.4515	64.2172	63.7544
0.0243516	0.46	34.4304	34.1826
0.0243516	0.4685	16.2898	16.1697
0.0243516	0.477	7.27918	7.21987
0.0243516	0.4855	4.8227	4.77482
0.0243516	0.494	6.53714	6.46578
0.0243516	0.5025	10.322	10.2055
0.0243516	0.511	14.6318	14.4565
0.0243516	0.5195	18.4912	18.2304
0.0243516	0.528	21.5832	21.2119
0.0243516	0.5365	24.1723	23.6556
0.0243516	0.545	27.0735	26.3629
0.0243516	0.5535	31.514	30.5239
0.0243516	0.562	38.9647	37.6291
0.0243516	0.5705	51.1066	49.3226
0.0243516	0.579	69.5464	67.1778
0.025005	0.426	232.035	230.093
0.025005	0.4345	157.275	156.022
0.025005	0.443	100.201	99.3979
0.025005	0.4515	59.0977	58.6113
0.025005	0.46	31.8871	31.6063
0.025005	0.4685	16.2067	16.0416
0.025005	0.477	9.52258	9.40314
0.025005	0.4855	9.2077	9.08138
0.025005	0.494	12.8527	12.6857
0.025005	0.5025	18.3366	18.1073
0.025005	0.511	24.1248	23.8025
0.025005	0.5195	29.1762	28.7586
0.025005	0.528	33.1765	32.6195
0.025005	0.5365	36.3629	35.6302
0.025005	0.545	39.5201	38.5313
0.025005	0.5535	43.7973	42.514
0.025005	0.562	50.7524	49.0864
0.025005	0.5705	61.9617	59.7921
0.025005	0.579	79.0829	76.3115
0.0256584	0.426	220.932	218.907
0.0256584	0.4345	149.011	147.716
0.0256584	0.443	94.6867	93.8337
0.0256584	0.4515	56.2468	55.7017
0.0256584	0.46	31.6005	31.25
0.0256584	0.4685	18.3711	18.1227
0.0256584	0.477	13.9886	13.7694
0.0256584	0.4855	15.8109	15.5706
0.0256584	0.494	21.3402	21.0448
0.0256584	0.5025	28.5151	28.1432
0.0256584	0.511	35.7432	35.2528
0.0256584	0.5195	42.0465	41.4131
0.0256584	0.528	46.9931	46.1876
0.0256584	0.5365	50.7846	49.7691
0.0256584	0.545	54.1846	52.909
0.0256584	0.5535	58.3993	56.7978
0.0256584	0.562	64.885	62.8312
0.0256584	0.5705	75.2467	72.6799
0.0256584	0.579	91.1285	87.8958
