#	new0_flux	flux_lukas_flux
-3.14159	0.0521329
-3.03687	0.0738608
-2.93215	0.0587974
-2.82743	0.0703389
-2.72271	0.0527875
-2.61799	0.0413394
-2.51327	0.0616179
-2.40855	0.0517328
-2.30383	0.0463506
-2.19911	0.0318823
-2.0944	0.00960031
-1.98968	0.00739341
-1.88496	0.00686877
-1.78024	0.00735863
-1.67552	0.00010509
-1.5708	0
-1.46608	7.13962e-05
-1.36136	0.008009
-1.25664	0.00812212
-1.15192	0.00919793
-1.0472	0.0117517
-0.942478	0.0414796
-0.837758	0.0520652
-0.733038	0.0359486
-0.628319	0.0488313
-0.523599	0.0400343
-0.418879	0.0701322
-0.314159	0.117911
-0.20944	0.0922454
-0.10472	0.104079
-2.66454e-15	0.112237
0.10472	0.13402
0.20944	0.146686
0.314159	0.134326
0.418879	0.165557
0.523599	0.182647
0.628319	0.129893
0.733038	0.139627
0.837758	0.164659
0.942478	0.233783
1.0472	0.231883
1.15192	0.190728
1.25664	0.191548
1.36136	0.193694
1.46608	0.166066
1.5708	0.167599
1.67552	0.169295
1.78024	0.171114
1.88496	0.156919
1.98968	0.159672
2.0944	0.164028
2.19911	0.124316
2.30383	0.107896
2.40855	0.10131
2.51327	0.0976619
2.61799	0.0791251
2.72271	0.0994541
2.82743	0.0823354
2.93215	0.0705291
3.03687	0.0858529
3.14159	0.0521329
