4.2	94.0379	63.7528	74.8696	85.2711	94.0379	93.9616	93.8558	93.9225
4.4	73.5581	42.8069	51.6087	62.9558	73.5581	82.394	89.7638	89.7866
4.6	51.6138	37.2204	36.8668	43.245	51.6138	62.2335	71.2834	79.7745
4.8	35.2828	33.376	35.0768	35.58	35.2828	43.642	51.4275	61.5758
5	34.355	29.3957	31.0206	32.7201	34.355	34.0934	36.0354	44.0035
5.2	30.4765	16.3686	24.5068	29.1065	30.4765	32.1257	32.9585	32.74
5.4	27.2843	9.12939	13.7765	20.0416	27.2843	28.6649	29.9984	31.5845
5.6	15.7907	6.33759	7.9921	11.3119	15.7907	22.9633	26.9363	28.2628
5.8	8.96556	6.33759	6.17782	6.91074	8.96556	13.3944	18.8402	25.4518
6	14.7032	7.58042	10.0982	12.4573	14.7032	16.5272	20.8206	27.0288
6.5	6.54661	2.29627	3.8764	5.24434	6.54661	8.87838	11.1034	13.2287
7	2.2962	0.256326	0.849619	1.5907	2.2962	3.63705	4.91648	6.10691
7.5	0.230419	0.301123	0.281585	0.255373	0.230419	0.95127	1.6391	2.1737
8	0.558885	0.220357	0.338889	0.451592	0.558885	0.527402	0.497362	0.622829
9	0.011981	0.0037889	0.00665728	0.0093846	0.011981	0.127063	0.236874	0.341768
10	0.00448396	0.00431001	0.00437092	0.00442883	0.00448396	0.00729201	0.00997144	0.0125309
30	0	0	0	0	0	0	0	0
