#	new0_fix	12_	12a	12b
0.002464	0.195336	0.287016	0.0819299
0.0024715	0.119216	0.177423	0.0461894
0.002479	0.122636	0.159023	0.0790207
0.0024865	0.110395	0.130671	0.0835939
0.002494	0.0657157	0.0766804	0.0517633
0.0025015	0.0167559	0.0194785	0.013272
0.002509	0	0	0
0.0025165	0.0221867	0.0253931	0.0185253
0.002524	0.0776044	0.0895135	0.0631624
0.0025315	0.119569	0.142618	0.0862554
0.002539	0.184947	0.22682	0.134983
0.0025465	0.155654	0.211657	0.124519
0.002554	0.220769	0.405518	0.0370782
