#	new0_fix	12_	12a	12b
0.426	3.17749	3.6114	2.68126
0.4345	2.19232	2.44585	1.86383
0.443	1.43268	1.5873	1.22677
0.4515	1.02035	1.12253	0.876329
0.46	0.519125	0.558595	0.466087
0.4685	0.262564	0.278194	0.240134
0.477	0.12582	0.135157	0.0666657
0.4855	0.126279	0.14014	0.103391
0.494	0.0782849	0.0818769	0.0722207
0.5025	0.002873	0.00341531	0.00190983
0.511	0.000948878	0.00184396	-6.12718e-05
0.5195	0.00149677	0.00210173	0.000647832
0.528	0	0	0
0.5365	1.97519e-05	0.000399181	-0.000404496
0.545	-0.000462604	0.00185568	-0.00298634
0.5535	0.00345658	0.0137504	-0.00828541
0.562	-0.00295538	0.0185826	-0.026846
0.5705	-0.00670866	0.0340812	-0.0510351
0.579	0.00328277	0.0741419	-0.0729946
