#	new0_fix	12_	12a	12b
0.0178175	0.994953	1.04469	0.877729
0.0184709	0.66447	0.710467	0.595206
0.0191243	0.398361	0.420843	0.360571
0.0197777	0.197164	0.211444	0.173246
0.0204311	0.142107	0.149395	0.130277
0.0210845	0.0388214	0.0419088	0.0335994
0.021738	0	0	0
0.0223914	0.0230729	0.0254028	0.0197326
0.0230448	0.00760499	0.00882885	0.00553286
0.0236982	0.00917153	0.0118052	0.00733707
0.0243516	0.0858808	0.0961247	0.0763999
0.025005	0.079926	0.0864919	0.0699698
0.0256584	0.198305	0.213509	0.169172
