#x	y	new0_fix	12_	12a	12b
0.0178175	-3.14159	79.0646	78.8183	78.8063	78.8381
0.0178175	-3.03687	67.9519	67.6395	67.6231	67.6648
0.0178175	-2.93215	58.1221	57.8315	57.8165	57.8549
0.0178175	-2.82743	49.7293	49.4779	49.4649	49.4981
0.0178175	-2.72271	42.712	42.5123	42.5018	42.5285
0.0178175	-2.61799	36.9781	36.8362	36.8284	36.848
0.0178175	-2.51327	32.4113	32.326	32.3207	32.3336
0.0178175	-2.40855	28.8783	28.8409	28.8374	28.8453
0.0178175	-2.30383	26.237	26.23	26.2273	26.2329
0.0178175	-2.19911	24.3106	24.3084	24.3083	24.3085
0.0178175	-2.0944	22.9607	22.9307	22.9294	22.9329
0.0178175	-1.98968	22.0767	21.9832	21.9787	21.997
0.0178175	-1.88496	21.5484	21.3453	21.3201	21.3457
0.0178175	-1.78024	21.2591	20.8914	20.8778	20.9194
0.0178175	-1.67552	21.1454	20.6183	20.5918	20.6365
0.0178175	-1.5708	21.1698	20.3916	20.3594	20.4499
0.0178175	-1.46608	21.3341	20.2339	20.1619	20.3054
0.0178175	-1.36136	21.517	20.1504	20.1007	20.2676
0.0178175	-1.25664	21.9976	20.3005	20.2211	20.4332
0.0178175	-1.15192	22.7916	20.7294	20.6312	20.8933
0.0178175	-1.0472	24.0367	21.5807	21.4565	21.7806
0.0178175	-0.942478	25.7969	22.9242	22.7929	23.1429
0.0178175	-0.837758	28.2716	24.9811	24.8211	25.234
0.0178175	-0.733038	31.6115	27.9329	27.7602	28.2191
0.0178175	-0.628319	36.1701	31.9339	31.7427	32.2591
0.0178175	-0.523599	41.6492	37.17	36.9556	37.5269
0.0178175	-0.418879	48.609	43.7711	43.5368	44.1616
0.0178175	-0.314159	56.9448	51.8163	51.5753	52.2165
0.0178175	-0.20944	66.8087	61.3995	61.143	61.8255
0.0178175	-0.10472	78.2267	72.581	72.3111	73.0293
0.0178175	-2.66454e-15	91.1763	85.3463	85.0654	85.8125
0.0178175	0.10472	105.34	99.3244	99.0392	99.7964
0.0178175	0.20944	120.621	114.554	114.265	115.033
0.0178175	0.314159	136.959	130.909	130.619	131.389
0.0178175	0.418879	154.088	148.127	147.84	148.602
0.0178175	0.523599	171.682	165.883	165.603	166.347
0.0178175	0.628319	189.363	183.796	183.526	184.244
0.0178175	0.733038	206.706	201.331	201.074	201.752
0.0178175	0.837758	222.747	217.709	217.468	218.103
0.0178175	0.942478	237.533	232.846	232.619	233.22
0.0178175	1.0472	250.5	246.316	246.111	246.653
0.0178175	1.15192	261.415	257.716	257.535	258.015
0.0178175	1.25664	269.879	266.679	266.522	266.937
0.0178175	1.36136	275.558	272.909	272.719	273.084
0.0178175	1.46608	278.23	276.016	276.094	276.201
0.0178175	1.5708	277.894	276.135	276.047	276.282
0.0178175	1.67552	274.57	273.226	273.159	273.337
0.0178175	1.78024	268.386	267.294	267.241	267.486
0.0178175	1.88496	259.32	258.66	258.624	258.719
0.0178175	1.98968	248.059	247.645	247.623	247.681
0.0178175	2.0944	234.847	234.618	234.606	234.637
0.0178175	2.19911	220.048	219.951	219.943	219.964
0.0178175	2.30383	204.122	204.096	204.093	204.101
0.0178175	2.40855	187.409	187.41	187.481	187.492
0.0178175	2.51327	170.045	170.032	170.282	170.037
0.0178175	2.61799	152.823	152.773	152.768	152.779
0.0178175	2.72271	136.089	135.99	135.984	135.999
0.0178175	2.82743	120.138	120.177	119.979	120
0.0178175	2.93215	105.207	105.011	105.179	105.027
0.0178175	3.03687	91.475	91.2456	91.2343	91.264
0.0178175	3.14159	79.0646	78.8183	78.8063	78.8381
0.0184709	-3.14159	69.4485	68.9482	68.9226	68.988
0.0184709	-3.03687	58.7559	58.2579	58.2329	58.297
0.0184709	-2.93215	49.451	48.9807	48.9573	49.0174
0.0184709	-2.82743	41.5105	41.0903	41.0694	41.123
0.0184709	-2.72271	34.8756	34.5228	34.5051	34.5503
0.0184709	-2.61799	29.4439	29.1837	29.1696	29.2053
0.0184709	-2.51327	25.1053	24.9264	24.9176	24.9411
0.0184709	-2.40855	21.7427	21.6358	21.6305	21.6445
0.0184709	-2.30383	19.2193	19.1709	19.1686	19.1748
0.0184709	-2.19911	17.3954	17.3847	17.3841	17.3855
0.0184709	-2.0944	16.1355	16.1352	16.135	16.1353
0.0184709	-1.98968	15.3113	15.288	15.2866	15.2903
0.0184709	-1.88496	14.8131	14.7297	14.725	14.7374
0.0184709	-1.78024	14.5513	14.3711	14.3609	14.3878
0.0184709	-1.67552	14.4535	14.1045	14.0899	14.1291
0.0184709	-1.5708	14.4177	13.894	13.8755	13.9354
0.0184709	-1.46608	14.5152	13.7664	13.733	13.8225
0.0184709	-1.36136	14.7468	13.7532	13.7072	13.8304
0.0184709	-1.25664	15.2264	13.9221	13.8558	14.0235
0.0184709	-1.15192	15.9902	14.365	14.2879	14.4849
0.0184709	-1.0472	17.0933	15.1136	15.026	15.2655
0.0184709	-0.942478	18.7252	16.4009	16.2931	16.5758
0.0184709	-0.837758	21.0693	18.3722	18.2497	18.5898
0.0184709	-0.733038	24.2587	21.1935	21.0525	21.4294
0.0184709	-0.628319	28.4466	25.0221	24.8624	25.2892
0.0184709	-0.523599	33.7492	30.0042	29.8312	30.2861
0.0184709	-0.418879	40.2899	36.2229	36.0373	36.5321
0.0184709	-0.314159	48.2092	43.8469	43.6461	44.1816
0.0184709	-0.20944	57.5789	52.9519	52.7373	53.3098
0.0184709	-0.10472	68.5157	63.5725	63.3458	63.9504
0.0184709	-2.66454e-15	80.7243	75.6946	75.458	76.0887
0.0184709	0.10472	94.3767	89.2001	88.9608	89.5985
0.0184709	0.20944	108.883	103.65	103.407	104.053
0.0184709	0.314159	124.389	119.164	118.92	119.57
0.0184709	0.418879	140.644	135.495	135.252	135.898
0.0184709	0.523599	157.339	152.334	152.097	152.729
0.0184709	0.628319	174.111	169.317	169.089	169.698
0.0184709	0.733038	190.558	186.037	185.82	186.398
0.0184709	0.837758	205.984	201.682	201.481	202.013
0.0184709	0.942478	219.988	216.059	215.875	216.362
0.0184709	1.0472	232.338	228.813	228.643	229.095
0.0184709	1.15192	242.659	239.572	239.424	239.819
0.0184709	1.25664	250.651	248.012	247.885	248.222
0.0184709	1.36136	256.049	253.854	253.748	254.027
0.0184709	1.46608	258.586	256.826	256.736	256.974
0.0184709	1.5708	258.443	256.861	256.792	256.974
0.0184709	1.67552	255.024	254.021	253.971	254.104
0.0184709	1.78024	249.114	248.42	248.386	248.477
0.0184709	1.88496	240.592	240.159	240.134	240.2
0.0184709	1.98968	229.873	229.632	229.619	229.655
0.0184709	2.0944	217.31	217.203	217.197	217.213
0.0184709	2.19911	203.294	203.264	203.263	203.267
0.0184709	2.30383	188.234	188.233	188.233	188.233
0.0184709	2.40855	172.237	172.204	172.196	172.214
0.0184709	2.51327	155.738	155.687	155.678	155.699
0.0184709	2.61799	139.401	139.296	139.285	139.273
0.0184709	2.72271	123.533	123.448	123.355	123.391
0.0184709	2.82743	108.412	108.195	108.178	108.144
0.0184709	2.93215	94.263	93.9108	93.8936	93.9383
0.0184709	3.03687	81.2545	80.8587	80.8397	80.8895
0.0184709	3.14159	69.4485	68.9482	68.9226	68.988
0.0191243	-3.14159	61.2758	60.6326	60.5996	60.6805
0.0191243	-3.03687	51.1385	50.4938	50.4649	50.5417
0.0191243	-2.93215	42.3179	41.7016	41.6741	41.7474
0.0191243	-2.82743	34.7902	34.1866	34.1587	34.2331
0.0191243	-2.72271	28.482	27.9668	27.9427	28.0069
0.0191243	-2.61799	23.3348	22.9136	22.894	22.9462
0.0191243	-2.51327	19.2344	18.9137	18.8988	18.9384
0.0191243	-2.40855	16.0602	15.838	15.8279	15.8549
0.0191243	-2.30383	13.682	13.5486	13.5425	13.5585
0.0191243	-2.19911	11.9673	11.9049	11.902	11.9095
0.0191243	-2.0944	10.7866	10.7707	10.7696	10.7721
0.0191243	-1.98968	10.02	10.0201	10.0193	10.0209
0.0191243	-1.88496	9.56376	9.54053	9.53913	9.54251
0.0191243	-1.78024	9.26545	9.18068	9.17709	9.18662
0.0191243	-1.67552	9.12203	8.93958	8.93176	8.95267
0.0191243	-1.5708	9.10242	8.78074	8.76661	8.80446
0.0191243	-1.46608	9.21103	8.70406	8.68158	8.74185
0.0191243	-1.36136	9.45777	8.73765	8.70479	8.79279
0.0191243	-1.25664	9.89732	8.92014	8.87853	8.98926
0.0191243	-1.15192	10.549	9.301	9.24738	9.39071
0.0191243	-1.0472	11.5932	10.0526	9.98542	10.1652
0.0191243	-0.942478	13.1573	11.3078	11.2258	11.4453
0.0191243	-0.837758	15.3826	13.2118	13.1142	13.3757
0.0191243	-0.733038	18.4085	15.9176	15.8037	16.1089
0.0191243	-0.628319	22.3499	19.5455	19.4223	19.751
0.0191243	-0.523599	27.3533	24.2398	24.1019	24.4704
0.0191243	-0.418879	33.5732	30.1629	30.0106	30.4177
0.0191243	-0.314159	41.1052	37.4183	37.2524	37.6958
0.0191243	-0.20944	50.0135	46.0778	45.8995	46.376
0.0191243	-0.10472	60.3233	56.174	55.9849	56.4903
0.0191243	-2.66454e-15	72.0142	67.6948	67.496	68.0283
0.0191243	0.10472	85.0141	80.5778	80.3708	80.9247
0.0191243	0.20944	98.968	94.4814	94.2769	94.8233
0.0191243	0.314159	113.693	109.212	109.006	109.556
0.0191243	0.418879	129.125	124.713	124.508	125.055
0.0191243	0.523599	144.972	140.69	140.49	141.024
0.0191243	0.628319	160.888	156.798	156.605	157.119
0.0191243	0.733038	176.491	172.648	172.466	172.952
0.0191243	0.837758	191.339	187.702	187.536	187.978
0.0191243	0.942478	204.605	201.306	201.154	201.556
0.0191243	1.0472	216.356	213.425	213.289	213.647
0.0191243	1.15192	226.139	223.599	223.478	223.8
0.0191243	1.25664	233.686	231.545	231.443	231.714
0.0191243	1.36136	238.768	237.02	236.937	237.157
0.0191243	1.46608	241.217	239.842	239.777	239.949
0.0191243	1.5708	240.843	239.823	239.771	239.909
0.0191243	1.67552	237.766	237.048	237.012	237.109
0.0191243	1.78024	232.119	231.654	231.631	231.692
0.0191243	1.88496	224.105	223.838	223.826	223.86
0.0191243	1.98968	213.904	213.788	213.779	213.801
0.0191243	2.0944	201.954	201.921	201.918	201.926
0.0191243	2.19911	188.63	188.63	188.629	188.631
0.0191243	2.30383	174.273	174.243	174.239	174.248
0.0191243	2.40855	158.906	158.809	158.804	158.818
0.0191243	2.51327	143.339	143.127	143.118	143.142
0.0191243	2.61799	127.863	127.562	127.548	127.585
0.0191243	2.72271	112.828	112.438	112.419	112.469
0.0191243	2.82743	98.4975	98.0287	98.0049	98.0685
0.0191243	2.93215	85.0855	84.5568	84.5286	84.6055
0.0191243	3.03687	72.7144	72.0986	72.0636	72.149
0.0191243	3.14159	61.2758	60.6326	60.5996	60.6805
0.0197777	-3.14159	54.6275	53.7332	53.6938	53.7984
0.0197777	-3.03687	45.0137	44.1181	44.0788	44.1832
0.0197777	-2.93215	36.6497	35.7559	35.7153	35.8235
0.0197777	-2.82743	29.5126	28.6821	28.6447	28.7444
0.0197777	-2.72271	23.5405	22.8075	22.7745	22.8625
0.0197777	-2.61799	18.6659	18.0451	18.0174	18.0914
0.0197777	-2.51327	14.7851	14.2868	14.2646	14.3236
0.0197777	-2.40855	11.7835	11.4092	11.3927	11.4365
0.0197777	-2.30383	9.53762	9.28074	9.26949	9.29928
0.0197777	-2.19911	7.92174	7.76762	7.76075	7.77867
0.0197777	-2.0944	6.80605	6.73994	6.73628	6.74546
0.0197777	-1.98968	6.0398	6.02438	6.02289	6.02661
0.0197777	-1.88496	5.56104	5.56107	5.56081	5.56136
0.0197777	-1.78024	5.28886	5.26893	5.26811	5.27027
0.0197777	-1.67552	5.16541	5.08827	5.08496	5.09386
0.0197777	-1.5708	5.15916	4.98689	4.9791	5.00001
0.0197777	-1.46608	5.26752	4.96199	4.94771	4.98591
0.0197777	-1.36136	5.48379	4.99765	4.97725	5.0313
0.0197777	-1.25664	5.8427	5.1575	5.12869	5.20564
0.0197777	-1.15192	6.47178	5.56031	5.52147	5.62558
0.0197777	-1.0472	7.47528	6.31334	6.26302	6.39808
0.0197777	-0.942478	8.96895	7.5424	7.47937	7.64854
