#x	y	new0_fix	12_	12a	12b
-3.14159	0.002464	51.0094	48.4064	48.1107	48.8576
-3.14159	0.0024715	48.3174	45.7796	45.5362	46.1598
-3.14159	0.002479	46.051	43.5639	43.3552	43.8966
-3.14159	0.0024865	44.2157	41.7393	41.5762	42.004
-3.14159	0.002494	42.8075	40.3118	40.1765	40.5369
-3.14159	0.0025015	41.8539	39.3416	39.2256	39.5378
-3.14159	0.002509	41.3569	38.8383	38.7337	39.0155
-3.14159	0.0025165	41.3274	38.8129	38.7125	38.9802
-3.14159	0.002524	41.7719	39.2635	39.1632	39.4292
-3.14159	0.0025315	42.5945	40.0163	39.9079	40.1896
-3.14159	0.002539	43.8144	41.2651	41.1339	41.4488
-3.14159	0.0025465	45.5026	43.0318	42.8132	43.2231
-3.14159	0.002554	47.7248	45.2383	45.0753	45.471
-3.03687	0.002464	43.2715	40.984	40.6776	41.4409
-3.03687	0.0024715	40.6387	38.3361	38.0942	38.6998
-3.03687	0.002479	38.4315	36.0379	35.8296	36.3667
-3.03687	0.0024865	36.6237	34.1529	33.985	34.4241
-3.03687	0.002494	35.2023	32.7096	32.5709	32.9395
-3.03687	0.0025015	34.2348	31.7215	31.6035	31.9208
-3.03687	0.002509	33.72	31.1982	31.0927	31.377
-3.03687	0.0025165	33.6706	31.1506	31.0504	31.3182
-3.03687	0.002524	34.0606	31.5921	31.4913	31.7565
-3.03687	0.0025315	34.7789	32.3839	32.2718	32.5613
-3.03687	0.002539	35.9835	33.6679	33.5469	33.83
-3.03687	0.0025465	37.6729	35.3311	35.2177	35.5029
-3.03687	0.002554	39.8938	37.4391	37.2914	37.6821
-2.93215	0.002464	36.4701	34.2921	33.9997	34.7257
-2.93215	0.0024715	33.8356	31.5988	31.3583	31.9647
-2.93215	0.002479	31.6243	29.3326	29.1357	29.6407
-2.93215	0.0024865	29.8421	27.4998	27.3391	27.7606
-2.93215	0.002494	28.4956	26.1109	25.981	26.3285
-2.93215	0.0025015	27.4753	25.1504	25.0331	25.3483
-2.93215	0.002509	26.8747	24.6127	24.5089	24.7889
-2.93215	0.0025165	26.735	24.5489	24.4512	24.713
-2.93215	0.002524	27.0642	24.9466	24.8605	25.0875
-2.93215	0.0025315	27.8473	25.6243	25.5275	25.7771
-2.93215	0.002539	29.0973	26.8096	26.7023	26.9735
-2.93215	0.0025465	30.8414	28.5267	28.3188	28.6992
-2.93215	0.002554	33.0936	30.6722	30.5185	30.8873
-2.82743	0.002464	30.6634	28.598	28.3056	29.0291
-2.82743	0.0024715	28.0306	25.907	25.6675	26.2694
-2.82743	0.002479	25.819	23.641	23.4459	23.9447
-2.82743	0.0024865	23.9962	21.8064	21.6475	22.0619
-2.82743	0.002494	22.5802	20.414	20.2844	20.6233
-2.82743	0.0025015	21.5362	19.4719	19.364	19.6542
-2.82743	0.002509	20.9288	18.9013	18.8119	19.0527
-2.82743	0.0025165	20.7816	18.7497	18.6675	18.8879
-2.82743	0.002524	21.1016	19.0808	18.9993	19.2144
-2.82743	0.0025315	21.886	19.7644	19.6724	19.9097
-2.82743	0.002539	23.1443	20.96	20.8573	21.1163
-2.82743	0.0025465	24.8958	22.6848	22.4851	22.8503
-2.82743	0.002554	27.0598	24.8406	24.6918	25.0478
-2.72271	0.002464	25.7081	23.8877	23.599	24.3108
-2.72271	0.0024715	23.02	21.2037	20.9684	21.5573
-2.72271	0.002479	20.7501	18.9427	18.7524	19.237
-2.72271	0.0024865	18.9044	17.1115	16.9576	17.3568
-2.72271	0.002494	17.4896	15.7071	15.5943	15.8909
-2.72271	0.0025015	16.5136	14.6995	14.603	14.8548
-2.72271	0.002509	15.9619	14.0782	13.9946	14.2201
-2.72271	0.0025165	15.8125	13.9231	13.847	14.0515
-2.72271	0.002524	16.1292	14.2306	14.153	14.358
-2.72271	0.0025315	16.9218	14.9447	14.8589	15.0797
-2.72271	0.002539	18.152	16.1552	16.0585	16.3015
-2.72271	0.0025465	19.797	17.893	17.7395	18.049
-2.72271	0.002554	21.9622	20.0635	19.6961	20.3585
-2.61799	0.002464	21.5204	20.0803	19.7986	20.4739
-2.61799	0.0024715	18.8428	17.361	17.1458	17.6782
-2.61799	0.002479	16.5817	15.0545	14.8844	15.3126
-2.61799	0.0024865	14.7433	13.1747	13.0413	13.3841
-2.61799	0.002494	13.3344	11.7297	11.6244	11.9005
-2.61799	0.0025015	12.3631	10.7283	10.6431	10.8706
-2.61799	0.002509	11.8385	10.1815	10.1095	10.3041
-2.61799	0.0025165	11.758	10.0463	9.97761	10.1623
-2.61799	0.002524	12.076	10.353	10.2828	10.468
-2.61799	0.0025315	12.7634	11.0885	11.0099	11.2112
-2.61799	0.002539	13.9273	12.3187	12.229	12.4532
-2.61799	0.0025465	15.5879	14.0327	13.9437	14.1614
-2.61799	0.002554	17.7685	16.1227	15.9692	16.3668
-2.51327	0.002464	18.1559	16.9125	16.6527	17.2824
-2.51327	0.0024715	15.4933	14.2038	13.9977	14.5047
-2.51327	0.002479	13.2459	11.9137	11.7528	12.1557
-2.51327	0.0024865	11.4198	10.049	9.92477	10.2424
-2.51327	0.002494	10.0222	8.61773	8.52168	8.77276
-2.51327	0.0025015	9.06134	7.62894	7.55281	7.75575
-2.51327	0.002509	8.5462	7.09291	7.0294	7.2007
-2.51327	0.0025165	8.44591	7.02374	6.96354	7.12317
-2.51327	0.002524	8.70039	7.33966	7.27758	7.44095
-2.51327	0.0025315	9.40794	8.1012	8.03056	8.19906
-2.51327	0.002539	10.5923	9.25369	9.18221	9.35806
-2.51327	0.0025465	12.2733	10.9186	10.8362	11.0358
-2.51327	0.002554	14.4746	13.0339	12.916	13.2646
-2.40855	0.002464	15.5075	14.4647	14.2165	14.8146
-2.40855	0.0024715	12.865	11.7792	11.5845	12.0607
-2.40855	0.002479	10.6366	9.51131	9.3614	9.73443
-2.40855	0.0024865	8.82856	7.66784	7.55431	7.84293
