#x	y	new0_fix	12_	12a	12b
0.4345	2.82743	173.09	172.359	172.192	172.555
0.4345	2.93215	157.837	157.6	157.423	157.812
0.4345	3.03687	144.411	144.131	143.945	144.356
0.4345	3.14159	132.249	132.044	131.849	132.276
0.443	-3.14159	104.804	104.309	104.17	104.487
0.443	-3.03687	94.3436	93.8535	93.7108	94.0358
0.443	-2.93215	84.9222	84.6356	84.648	84.8763
0.443	-2.82743	76.9558	76.8205	76.6898	76.9432
0.443	-2.72271	70.3728	70.2817	70.182	70.4
0.443	-2.61799	64.906	64.903	64.8068	64.9948
0.443	-2.51327	60.598	60.6141	60.5227	60.7185
0.443	-2.40855	57.3498	57.366	57.2762	57.4651
0.443	-2.30383	55.0057	54.9945	54.9076	55.0894
0.443	-2.19911	53.4063	53.3329	53.2481	53.4253
0.443	-2.0944	52.3977	52.2206	52.1366	52.3127
0.443	-1.98968	51.8356	51.5087	51.4239	51.6034
0.443	-1.88496	51.5945	51.0675	50.9801	51.168
0.443	-1.78024	51.62	50.849	50.7001	50.989
0.443	-1.67552	51.6725	50.601	50.4745	50.7521
0.443	-1.5708	51.8214	50.3999	50.2661	50.5657
0.443	-1.46608	52.0602	50.2422	50.099	50.4264
0.443	-1.36136	52.4185	50.1618	50.0072	50.3678
0.443	-1.25664	53.0314	50.2216	50.0325	50.4851
0.443	-1.15192	53.7924	50.5124	50.306	50.8066
0.443	-1.0472	54.8619	51.2316	51.0089	51.5405
0.443	-0.942478	56.443	52.4101	52.1712	52.7488
0.443	-0.837758	58.6392	54.4577	54.2211	54.8135
0.443	-0.733038	61.9145	57.3357	57.0934	57.6868
0.443	-0.628319	66.2095	61.1731	60.9143	61.5545
0.443	-0.523599	71.5408	66.2473	65.9514	66.674
0.443	-0.418879	78.201	72.692	72.3816	73.146
0.443	-0.314159	86.3037	80.5363	80.2446	80.9662
0.443	-0.20944	95.9217	89.8146	89.5114	90.2661
0.443	-0.10472	106.7	100.705	100.392	101.176
0.443	-2.66454e-15	118.939	112.947	112.658	113.382
0.443	0.10472	132.257	126.472	126.178	126.917
0.443	0.20944	146.637	141.073	140.791	141.487
0.443	0.314159	162.068	156.507	156.226	156.921
0.443	0.418879	178.304	172.82	172.541	173.229
0.443	0.523599	195.032	189.701	189.428	190.1
0.443	0.628319	211.887	206.782	206.518	207.167
0.443	0.733038	228.456	223.636	223.391	223.992
0.443	0.837758	244.282	239.775	239.552	240.108
0.443	0.942478	258.844	254.752	254.545	255.059
0.443	1.0472	271.737	268.101	267.911	268.378
0.443	1.15192	282.536	279.381	279.208	279.627
0.443	1.25664	290.871	288.206	288.052	288.422
0.443	1.36136	296.364	294.166	294.046	294.339
0.443	1.46608	298.86	297.132	297.028	297.275
0.443	1.5708	298.313	297.017	296.927	297.134
0.443	1.67552	294.731	293.81	293.749	293.891
0.443	1.78024	288.182	287.584	287.533	287.647
0.443	1.88496	279.012	278.67	278.625	278.721
0.443	1.98968	267.551	267.393	267.35	267.438
0.443	2.0944	254.189	254.147	254.102	254.192
0.443	2.19911	239.321	239.324	239.295	239.355
0.443	2.30383	223.421	223.416	223.38	223.455
0.443	2.40855	206.959	206.898	206.854	206.95
0.443	2.51327	190.502	190.202	190.147	190.27
0.443	2.61799	174.733	173.72	173.654	173.804
0.443	2.72271	158.902	157.795	157.718	158.112
0.443	2.82743	143.354	142.898	142.782	143.047
0.443	2.93215	129.421	128.878	128.752	129.042
0.443	3.03687	116.544	116.089	115.954	116.264
0.443	3.14159	104.804	104.309	104.17	104.487
0.4515	-3.14159	83.5736	82.7212	82.8804	82.8706
0.4515	-3.03687	73.3046	72.7919	72.722	72.8961
0.4515	-2.93215	64.3508	63.875	63.8023	63.9748
0.4515	-2.82743	56.776	56.3575	56.2869	56.4532
0.4515	-2.72271	50.2876	50.0572	49.9938	50.1384
0.4515	-2.61799	45.032	44.871	44.8118	44.9456
0.4515	-2.51327	40.9195	40.8261	40.7716	40.8927
0.4515	-2.40855	37.8114	37.7743	37.7247	37.833
0.4515	-2.30383	35.5593	35.5588	35.5143	35.6102
0.4515	-2.19911	34.0122	34.0201	33.9788	34.0657
0.4515	-2.0944	33.0231	33.004	32.9655	33.046
0.4515	-1.98968	32.4556	32.3688	32.3314	32.4098
0.4515	-1.88496	32.1901	31.9665	31.9225	32.0181
0.4515	-1.78024	32.1287	31.6977	31.6496	31.7576
0.4515	-1.67552	32.2168	31.5157	31.4612	31.5877
0.4515	-1.5708	32.3108	31.3799	31.3168	31.4678
0.4515	-1.46608	32.4902	31.2009	31.1099	31.3828
0.4515	-1.36136	32.783	31.1083	31.0061	31.2523
0.4515	-1.25664	33.2517	31.3925	31.2904	31.5502
0.4515	-1.15192	33.989	31.6913	31.5798	31.8567
0.4515	-1.0472	34.781	32.3819	32.2559	32.5736
0.4515	-0.942478	36.3172	33.656	33.5094	33.8568
0.4515	-0.837758	38.5443	35.4479	35.296	35.674
0.4515	-0.733038	41.6287	38.0916	37.925	38.3444
0.4515	-0.628319	45.7358	41.7616	41.5798	42.042
0.4515	-0.523599	50.9777	46.6225	46.4114	46.932
0.4515	-0.418879	57.4061	52.7732	52.5486	53.1151
0.4515	-0.314159	65.098	60.3907	60.1531	60.7563
0.4515	-0.20944	74.2425	69.3761	69.1558	69.7179
0.4515	-0.10472	84.8109	79.7538	79.5239	80.113
0.4515	-2.66454e-15	96.4636	91.6599	91.4222	92.0317
0.4515	0.10472	109.463	104.574	104.359	104.912
