#x	y	new0
0.426	-3.14159	166.213
0.426	-3.03687	154.904
0.426	-2.93215	144.856
0.426	-2.82743	136.185
0.426	-2.72271	128.918
0.426	-2.61799	123.083
0.426	-2.51327	118.542
0.426	-2.40855	115.139
0.426	-2.30383	112.711
0.426	-2.19911	111.088
0.426	-2.0944	109.996
0.426	-1.98968	109.48
0.426	-1.88496	109.262
0.426	-1.78024	109.288
0.426	-1.67552	109.476
0.426	-1.5708	109.777
0.426	-1.46608	110.141
0.426	-1.36136	110.11
0.426	-1.25664	110.618
0.426	-1.15192	111.756
0.426	-1.0472	111.684
0.426	-0.942478	114.379
0.426	-0.837758	116.395
0.426	-0.733038	119.781
0.426	-0.628319	124.308
0.426	-0.523599	130.099
0.426	-0.418879	137.166
0.426	-0.314159	145.762
0.426	-0.20944	155.969
0.426	-0.10472	167.581
0.426	-2.66454e-15	180.611
0.426	0.10472	195.142
0.426	0.20944	211.04
0.426	0.314159	228.12
0.426	0.418879	247.066
0.426	0.523599	265.613
0.426	0.628319	284.338
0.426	0.733038	302.793
0.426	0.837758	319.628
0.426	0.942478	335.966
0.426	1.0472	349.822
0.426	1.15192	362.736
0.426	1.25664	371.024
0.426	1.36136	377.122
0.426	1.46608	380.892
0.426	1.5708	379.048
0.426	1.67552	375.966
0.426	1.78024	369.018
0.426	1.88496	359.45
0.426	1.98968	345.664
0.426	2.0944	332.01
0.426	2.19911	313.865
0.426	2.30383	296.293
0.426	2.40855	279.62
0.426	2.51327	261.159
0.426	2.61799	242.938
0.426	2.72271	225.33
0.426	2.82743	207.356
0.426	2.93215	193.118
0.426	3.03687	178.936
0.426	3.14159	166.213
0.4345	-3.14159	132.249
0.4345	-3.03687	121.233
0.4345	-2.93215	111.746
0.4345	-2.82743	103.367
0.4345	-2.72271	96.4336
0.4345	-2.61799	90.8862
0.4345	-2.51327	86.4859
0.4345	-2.40855	83.095
0.4345	-2.30383	80.6598
0.4345	-2.19911	79.0127
0.4345	-2.0944	77.9916
0.4345	-1.98968	77.4452
0.4345	-1.88496	77.2403
0.4345	-1.78024	77.2641
0.4345	-1.67552	77.3767
0.4345	-1.5708	77.5942
0.4345	-1.46608	77.9089
0.4345	-1.36136	78.3512
0.4345	-1.25664	78.9504
0.4345	-1.15192	79.6548
0.4345	-1.0472	80.7874
0.4345	-0.942478	82.8622
0.4345	-0.837758	85.2057
0.4345	-0.733038	88.4037
0.4345	-0.628319	92.7943
0.4345	-0.523599	98.3783
0.4345	-0.418879	105.357
0.4345	-0.314159	113.798
0.4345	-0.20944	123.536
0.4345	-0.10472	134.845
0.4345	-2.66454e-15	147.53
0.4345	0.10472	161.37
0.4345	0.20944	176.508
0.4345	0.314159	192.749
0.4345	0.418879	209.833
0.4345	0.523599	227.433
0.4345	0.628319	245.164
0.4345	0.733038	262.592
0.4345	0.837758	279.245
0.4345	0.942478	294.637
0.4345	1.0472	308.217
0.4345	1.15192	319.565
0.4345	1.25664	328.317
0.4345	1.36136	334.157
0.4345	1.46608	336.756
0.4345	1.5708	336.147
0.4345	1.67552	332.362
0.4345	1.78024	325.456
0.4345	1.88496	315.759
0.4345	1.98968	303.646
0.4345	2.0944	289.531
0.4345	2.19911	273.869
0.4345	2.30383	257.629
0.4345	2.40855	240.881
0.4345	2.51327	222.839
0.4345	2.61799	205.582
0.4345	2.72271	188.901
0.4345	2.82743	173.09
0.4345	2.93215	157.837
0.4345	3.03687	144.411
0.4345	3.14159	132.249
0.443	-3.14159	104.804
0.443	-3.03687	94.3436
0.443	-2.93215	84.9222
0.443	-2.82743	76.9558
0.443	-2.72271	70.3728
0.443	-2.61799	64.906
0.443	-2.51327	60.598
0.443	-2.40855	57.3498
0.443	-2.30383	55.0057
0.443	-2.19911	53.4063
0.443	-2.0944	52.3977
0.443	-1.98968	51.8356
0.443	-1.88496	51.5945
0.443	-1.78024	51.62
0.443	-1.67552	51.6725
0.443	-1.5708	51.8214
0.443	-1.46608	52.0602
0.443	-1.36136	52.4185
0.443	-1.25664	53.0314
0.443	-1.15192	53.7924
0.443	-1.0472	54.8619
0.443	-0.942478	56.443
0.443	-0.837758	58.6392
0.443	-0.733038	61.9145
0.443	-0.628319	66.2095
0.443	-0.523599	71.5408
0.443	-0.418879	78.201
0.443	-0.314159	86.3037
0.443	-0.20944	95.9217
0.443	-0.10472	106.7
0.443	-2.66454e-15	118.939
0.443	0.10472	132.257
0.443	0.20944	146.637
0.443	0.314159	162.068
0.443	0.418879	178.304
0.443	0.523599	195.032
0.443	0.628319	211.887
0.443	0.733038	228.456
0.443	0.837758	244.282
0.443	0.942478	258.844
0.443	1.0472	271.737
0.443	1.15192	282.536
0.443	1.25664	290.871
