#	stats	nuenorm1_corr	nuenorm2_corr	nuenorm3_corr	nuenorm4_corr	nuenorm5_corr
0.426	2.79759	9.80867	16.7222	22.8961	27.6851
0.4345	1.98478	6.79389	11.753	16.0286	19.4871
0.443	1.68562	4.78272	8.11137	10.9734	13.2349
0.4515	0.915099	2.9256	5.08145	6.91041	8.44509
0.46	0.269972	1.71075	2.99476	4.03612	5.06275
0.4685	0.531162	1.16995	2.00236	2.61833	3.22608
0.477	0.100029	0.344936	0.951973	1.2622	1.59755
0.4855	0.318217	0.700273	0.901331	1.00227	1.23417
0.494	0.0265375	0.0582687	0.074861	0.29813	0.419973
0.5025	0.199334	0.438371	0.563928	0.626879	0.66107
0.511	0.00332745	0.00730184	0.00937659	0.0104124	0.0109738
0.5195	0.142155	0.312521	0.401905	0.446685	0.470995
0.528	0	0	0	0	0
0.5365	0.141879	0.310608	0.398075	0.44153	0.465007
0.545	3.11741e-05	6.84594e-05	0.223068	0.394021	0.48616
0.5535	0.129029	0.282505	0.525747	0.904178	1.10806
0.562	0.546347	1.19361	1.85846	2.52287	3.06433
0.5705	0.296626	1.69649	3.08778	4.35516	5.40015
0.579	0.458538	2.78104	5.3968	8.0082	10.0934
