#x	y	stats	nuenorm1_corr	nuenorm2_corr	nuenorm3_corr	nuenorm4_corr	nuenorm5_corr
-2.61799	0.0025015	38.7699	38.6712	38.504	38.2703	38.0971	37.8371
-2.61799	0.002509	33.3904	33.3503	33.3022	33.0876	32.977	32.7239
-2.61799	0.0025165	30.7901	30.7566	30.7164	30.6954	30.6679	30.4622
-2.61799	0.002524	31.1857	31.1579	31.1247	31.1073	31.0985	30.9387
-2.61799	0.0025315	34.573	34.5503	34.5231	34.5088	34.5015	34.4051
-2.61799	0.002539	40.7492	40.6849	40.6084	40.5685	40.5119	40.4744
-2.61799	0.0025465	49.4853	49.4136	49.3283	49.2838	49.2364	49.2012
-2.61799	0.002554	61.1898	61.1108	61.0166	60.9677	60.9297	60.8965
-2.51327	0.002464	98.2245	98.16	98.0828	97.6052	97.3225	97.1683
-2.51327	0.0024715	78.387	78.3327	78.2677	77.8199	77.5497	77.4024
-2.51327	0.002479	61.5579	61.5125	61.4583	61.0404	60.7819	60.641
-2.51327	0.0024865	47.7372	47.6998	47.655	47.2672	47.0198	46.885
-2.51327	0.002494	36.9248	36.8942	36.7554	36.5002	36.2631	36.0689
-2.51327	0.0025015	29.1193	29.0847	28.8389	28.7098	28.492	28.2227
-2.51327	0.002509	24.0961	24.0939	23.9251	23.8055	23.6402	23.3784
-2.51327	0.0025165	21.7912	21.7902	21.789	21.7884	21.5678	21.3223
-2.51327	0.002524	22.4807	22.4804	22.4801	22.4798	22.3062	22.1226
-2.51327	0.0025315	26.1603	26.1603	26.1602	26.1601	26.0342	25.8942
-2.51327	0.002539	32.6328	32.5311	32.4093	32.3454	32.3133	32.2958
-2.51327	0.0025465	41.6087	41.5151	41.4029	41.344	41.3145	41.2984
-2.51327	0.002554	53.555	53.4686	53.3652	53.3109	53.2836	53.2688
-2.40855	0.002464	89.1085	89.0985	88.8489	88.4572	88.26	88.1526
-2.40855	0.0024715	69.6051	69.5986	69.3582	68.9856	68.798	68.6959
-2.40855	0.002479	53.1086	53.1048	52.8742	52.5194	52.3409	52.2437
-2.40855	0.0024865	39.6194	39.5934	39.3973	39.0592	38.8891	38.7965
-2.40855	0.002494	29.0833	28.9784	28.8527	28.6047	28.4425	28.2553
-2.40855	0.0025015	21.463	21.3684	21.255	21.1548	20.9219	20.7138
-2.40855	0.002509	16.8469	16.7615	16.6592	16.6056	16.3759	16.1737
-2.40855	0.0025165	14.9836	14.9712	14.9564	14.852	14.6573	14.3514
-2.40855	0.002524	16.0003	15.9846	15.9659	15.8865	15.6989	15.4512
-2.40855	0.0025315	20.0056	19.9864	19.9615	19.9105	19.7294	19.5401
-2.40855	0.002539	26.3718	26.3383	26.2982	26.2772	26.2666	26.2411
-2.40855	0.0025465	35.6736	35.6442	35.6089	35.5905	35.5812	35.5761
-2.40855	0.002554	47.9441	47.9182	47.8872	47.871	47.8628	47.8583
-2.30383	0.002464	81.7174	81.7051	81.2073	80.9449	80.8131	80.7091
-2.30383	0.0024715	62.578	62.5355	62.0684	61.8203	61.6957	61.627
-2.30383	0.002479	46.3171	46.2685	45.9357	45.7009	45.5829	45.5187
-2.30383	0.0024865	33.0489	33.0072	32.8094	32.5869	32.4752	32.4144
-2.30383	0.002494	22.7867	22.751	22.6893	22.4783	22.3723	22.2149
-2.30383	0.0025015	15.5292	15.4988	15.4625	15.3737	15.1706	15.0114
-2.30383	0.002509	11.2744	11.2486	11.2178	11.2017	10.9634	10.809
-2.30383	0.0025165	10.0193	9.99762	9.8291	9.68907	9.59125	9.28304
-2.30383	0.002524	11.4358	11.3714	11.1859	11.0531	10.9864	10.7151
-2.30383	0.0025315	15.4203	15.4153	15.4094	15.405	15.3417	15.1357
-2.30383	0.002539	22.1058	22.1022	22.098	22.0958	22.0946	22.0939
-2.30383	0.0025465	31.7648	31.7624	31.7594	31.7579	31.757	31.7566
-2.30383	0.002554	44.3909	44.3893	44.3873	44.3862	44.3857	44.3854
-2.19911	0.002464	75.5237	75.2589	74.9412	74.7741	74.6902	74.5848
-2.19911	0.0024715	56.657	56.4827	56.1842	56.0273	55.9486	55.874
-2.19911	0.002479	40.7767	40.7135	40.4329	40.2854	40.2114	40.1677
-2.19911	0.0024865	27.9017	27.8953	27.6875	27.5487	27.479	27.4412
-2.19911	0.002494	18.0315	18.0271	17.9476	17.8168	17.7512	17.6383
-2.19911	0.0025015	11.1648	11.1618	11.1583	11.0886	10.9246	10.8039
-2.19911	0.002509	7.29927	7.29751	7.29541	7.25436	7.08733	6.97012
-2.19911	0.0025165	6.36495	6.23814	6.08618	6.00648	5.96654	5.79159
-2.19911	0.002524	8.08761	7.96817	7.82507	7.75001	7.71241	7.58658
-2.19911	0.0025315	12.4401	12.4384	12.4364	12.4353	12.4347	12.3694
-2.19911	0.002539	19.5134	19.5109	19.5078	19.5062	19.5054	19.505
-2.19911	0.0025465	29.5586	29.5552	29.5511	29.5489	29.5478	29.5472
-2.19911	0.002554	42.5692	42.5648	42.5596	42.5568	42.5554	42.5546
-2.0944	0.002464	70.1067	69.9473	69.7561	69.6558	69.6056	69.5143
-2.0944	0.0024715	51.7347	51.5862	51.4082	51.3148	51.268	51.203
-2.0944	0.002479	36.3699	36.2315	36.0655	35.9785	35.9348	35.8961
-2.0944	0.0024865	23.9526	23.8833	23.7283	23.647	23.6063	23.5842
-2.0944	0.002494	14.4994	14.4977	14.396	14.32	14.2819	14.2201
-2.0944	0.0025015	8.04841	8.04572	8.04252	7.99615	7.87469	7.78319
-2.0944	0.002509	4.5974	4.52727	4.44333	4.39936	4.37736	4.34642
-2.0944	0.0025165	3.74438	3.67916	3.6011	3.56021	3.53975	3.52864
-2.0944	0.002524	5.88358	5.82272	5.7499	5.71175	5.69267	5.68231
-2.0944	0.0025315	10.7871	10.768	10.7451	10.7333	10.7273	10.7241
-2.0944	0.002539	18.2741	18.2529	18.2276	18.2145	18.2079	18.2043
-2.0944	0.0025465	28.7315	28.7083	28.6808	28.6664	28.6593	28.6554
-2.0944	0.002554	42.1526	42.1277	42.098	42.0826	42.0749	42.0707
-1.98968	0.002464	65.5758	65.4864	65.3793	65.3231	65.295	65.2297
-1.98968	0.0024715	47.6452	47.5628	47.4641	47.4124	47.3866	47.3428
-1.98968	0.002479	32.7211	32.645	32.5539	32.5062	32.4823	32.4602
-1.98968	0.0024865	20.8035	20.7331	20.6488	20.6047	20.5826	20.5706
-1.98968	0.002494	11.8914	11.8263	11.7481	11.7072	11.6867	11.6333
-1.98968	0.0025015	5.87805	5.85786	5.8338	5.77889	5.67827	5.62358
-1.98968	0.002509	2.56716	2.53558	2.49781	2.47806	2.46818	2.46282
-1.98968	0.0025165	2.15441	2.12544	2.0908	2.07268	2.06362	2.05871
-1.98968	0.002524	4.73262	4.70591	4.67398	4.65728	4.64894	4.64441
-1.98968	0.0025315	10.1603	10.1121	10.0547	10.0248	10.0099	10.0019
-1.98968	0.002539	18.0838	18.0332	17.9729	17.9416	17.926	17.9176
-1.98968	0.0025465	28.9761	28.9235	28.8607	28.8281	28.8119	28.8031
-1.98968	0.002554	42.8308	42.7763	42.7115	42.6778	42.661	42.6519
-1.88496	0.002464	61.6755	61.6293	61.574	61.5451	61.5306	61.4996
-1.88496	0.0024715	44.204	44.162	44.1117	44.0854	44.0722	44.0581
-1.88496	0.002479	29.7382	29.6999	29.654	29.63	29.618	29.6115
-1.88496	0.0024865	18.2782	18.2431	18.2011	18.1791	18.1682	18.1622
-1.88496	0.002494	9.82314	9.79087	9.75227	9.73205	9.65379	9.61127
-1.88496	0.0025015	4.22766	4.21484	4.19951	4.16895	4.09288	4.05154
-1.88496	0.002509	1.28026	1.26882	1.25513	1.24798	1.24441	1.24247
-1.88496	0.0025165	1.32655	1.31626	1.30394	1.29751	1.2943	1.29255
-1.88496	0.002524	4.36269	4.35334	4.34216	4.33633	4.33341	4.33183
-1.88496	0.0025315	10.2907	10.2099	10.1138	10.0638	10.039	10.0256
-1.88496	0.002539	18.6698	18.5871	18.4886	18.4375	18.4121	18.3984
-1.88496	0.0025465	30.0165	29.9323	29.832	29.78	29.7541	29.7401
-1.88496	0.002554	44.3241	44.2388	44.1372	44.0845	44.0583	44.0441
-1.78024	0.002464	58.2013	58.1794	58.1533	58.1396	58.1328	58.1291
-1.78024	0.0024715	41.2025	41.1829	41.1594	41.1472	41.1411	41.1377
-1.78024	0.002479	27.209	27.1913	27.1701	27.1591	27.1535	27.1506
-1.78024	0.0024865	16.2206	16.2045	16.1853	16.1753	16.1637	16.1297
-1.78024	0.002494	8.23647	8.22181	8.20429	8.13013	8.06913	8.036
-1.78024	0.0025015	2.99144	2.98813	2.98416	2.98209	2.97554	2.94315
-1.78024	0.002509	0.518805	0.515949	0.512537	0.510757	0.509868	0.509386
-1.78024	0.0025165	1.03898	1.03648	1.03349	1.03193	1.03115	1.03073
-1.78024	0.002524	4.54805	4.54581	4.54315	4.54176	4.54106	4.54068
-1.78024	0.0025315	10.9542	10.8443	10.7135	10.6456	10.6119	10.5937
-1.78024	0.002539	19.8042	19.6934	19.5616	19.4932	19.4592	19.4408
-1.78024	0.0025465	31.6207	31.5095	31.3772	31.3086	31.2745	31.256
-1.78024	0.002554	46.3968	46.2857	46.1535	46.0849	46.0508	46.0324
-1.67552	0.002464	55.0113	55.0016	54.99	54.984	54.9809	54.9793
-1.67552	0.0024715	38.4946	38.486	38.4757	38.4703	38.4676	38.4661
-1.67552	0.002479	24.9828	24.9751	24.9658	24.961	24.9586	24.9573
-1.67552	0.0024865	14.4758	14.4688	14.4604	14.456	14.4129	14.3851
-1.67552	0.002494	6.97269	6.96622	6.94854	6.84814	6.79783	6.77052
-1.67552	0.0025015	2.11055	2.11017	2.10971	2.10947	2.10935	2.10927
-1.67552	0.002509	0.123085	0.122775	0.122405	0.122213	0.122116	0.122064
