#x	y	stats	nuenorm1_corr	nuenorm2_corr	nuenorm3_corr	nuenorm4_corr	nuenorm5_corr
0.0178175	-3.14159	249.751	221.919	186.459	165.138	152.975	146.107
0.0178175	-3.03687	219.961	193.472	160.173	139.615	128.209	121.777
0.0178175	-2.93215	193.058	168.179	136.951	117.189	106.505	100.488
0.0178175	-2.82743	169.441	146.09	116.734	97.8795	87.8757	82.2495
0.0178175	-2.72271	149.078	127.161	99.3063	81.6131	72.2438	66.9811
0.0178175	-2.61799	131.852	111.266	84.8562	68.2362	59.4515	54.2275
0.0178175	-2.51327	117.575	98.2076	73.1705	57.4872	49.1817	44.0402
0.0178175	-2.40855	106.004	87.7364	63.7197	48.8743	41.0527	36.1878
0.0178175	-2.30383	96.858	79.5674	56.3826	42.3296	34.9365	30.359
0.0178175	-2.19911	89.836	73.3763	50.9008	37.5383	30.5177	26.228
0.0178175	-2.0944	84.247	68.4696	46.9614	34.187	27.4833	23.4717
0.0178175	-1.98968	80.1085	64.9432	44.2692	31.9808	25.5384	21.7862
0.0178175	-1.88496	77.2222	62.5417	42.5614	30.6575	24.4216	20.8752
0.0178175	-1.78024	75.3773	61.0549	41.6218	30.0016	23.9178	20.1265
0.0178175	-1.67552	74.4186	60.3282	41.0412	29.5977	23.6087	19.7826
0.0178175	-1.5708	74.2555	60.2715	40.7396	29.3917	23.4539	19.7532
0.0178175	-1.46608	74.4519	60.4691	40.9307	29.5792	23.6394	20.0204
0.0178175	-1.36136	75.3695	61.2566	41.6707	30.2162	24.2214	20.6406
0.0178175	-1.25664	77.2421	62.8733	43.0861	31.4292	25.3258	21.7424
0.0178175	-1.15192	80.2589	65.508	45.3687	33.4091	27.1433	23.3139
0.0178175	-1.0472	84.6635	69.4035	48.6681	36.3628	29.8153	25.6029
0.0178175	-0.942478	90.7414	74.8451	53.0528	40.2534	33.5188	29.1409
0.0178175	-0.837758	98.5088	81.9496	59.1911	45.7952	38.7567	34.2588
