#	stats	nuenorm1_corr	nuenorm2_corr	nuenorm3_corr	nuenorm4_corr	nuenorm5_corr
0.0178175	13.9839	33.5159	44.8638	50.8016	54.5023
0.0184709	9.24618	22.7315	30.1489	34.0698	36.6742
0.0191243	6.52734	14.584	18.9626	21.5412	23.148
0.0197777	3.33311	7.38647	9.65503	11.241	12.1127
0.0204311	1.18656	2.61882	3.87576	4.55942	4.93325
0.0210845	0.287943	0.912864	1.24257	1.40838	1.4986
0.0217379	0	0	0	0	0
0.0223914	0.04939	0.179488	0.339842	0.496039	0.580242
0.0230448	0.0265375	0.0582687	0.074861	0.0831541	0.0876505
0.0236982	0.257865	0.564085	0.722505	0.801097	0.843522
0.0243516	0.56766	1.65694	2.49165	2.90277	3.12378
0.025005	1.92959	4.22793	5.99601	6.98118	7.50866
0.0256584	3.71167	8.58963	11.3459	13.1265	14.0762
