#	stats	nuenorm1_corr	nuenorm2_corr	nuenorm3_corr	nuenorm4_corr	nuenorm5_corr
-3.14159	0.0059656	0.0132849	0.017496	0.0281875	0.0472037
-3.03687	0.0211712	0.0466402	0.0602565	0.0674573	0.0718195
-2.93215	0.00115066	0.00266628	0.0471623	0.189009	0.266507
-2.82743	0.0924825	0.385116	0.539113	0.616589	0.658941
-2.72271	0.118436	0.260395	0.33496	0.372466	0.393013
-2.61799	0.0335105	0.0736335	0.094708	0.122132	0.327844
-2.51327	0.000947209	0.00212475	0.00279454	0.223352	0.468861
-2.40855	0.0124005	0.0272241	0.131586	0.326318	0.632258
-2.30383	0.0217073	0.19023	0.330258	0.428086	0.736289
-2.19911	0.12681	0.278761	0.358467	0.398404	0.573351
-2.0944	0.0652175	0.143284	0.184168	0.204629	0.215736
-1.98968	0.0289675	0.0636076	0.0817246	0.0907826	0.0956964
-1.88496	0.0114421	0.0251328	0.0322816	0.0358531	0.0377893
-1.78024	0.00285632	0.00626782	0.0080486	0.00893763	0.00941938
-1.67552	0.000309574	0.000679175	0.000871983	0.000968189	0.0010203
-1.5708	0	0	0	0	0
-1.46608	4.12785e-07	9.19814e-07	1.2114e-06	1.39249e-06	1.53172e-06
-1.36136	0.00038308	0.00084061	0.0010796	0.00119925	0.00127397
-1.25664	0.00321811	0.00706249	0.00907056	0.0100747	0.0106207
-1.15192	0.0106612	0.0234187	0.0300831	0.0334166	0.0352288
-1.0472	0.030048	0.0659848	0.0847874	0.0941969	0.112833
-0.942478	0.00647079	0.087303	0.188342	0.24679	0.353538
-0.837758	0.00132397	0.110641	0.291539	0.382358	0.431751
-0.733038	0.054906	0.120318	0.32615	0.462804	0.53719
-0.628319	0.0106456	0.0233955	0.0301066	0.207295	0.315693
-0.523599	0.00162664	0.00362707	0.00478112	0.00550151	0.0540149
-0.418879	0.0374092	0.0822337	0.105836	0.117837	0.124576
-0.314159	0.00118404	0.158057	0.241272	0.282899	0.305713
-0.20944	0.0385883	0.0847056	0.10896	0.121398	0.128545
-0.10472	0.000518141	0.00132937	0.00210102	0.00294585	0.00393504
1.11022e-16	0.0252862	0.0557476	0.072108	0.122005	0.170494
0.10472	0.00199573	0.0046572	0.0445826	0.214149	0.30638
0.20944	0.0714151	0.451234	0.648204	0.746719	0.800869
0.314159	0.1497	0.328114	0.42135	0.522485	0.713287
0.418879	0.0455034	0.100163	0.459899	0.70964	0.84548
0.523599	0.00235245	0.597391	0.932711	1.09998	1.38682
0.628319	0.335315	0.733817	1.02865	1.50847	1.76804
0.733038	0.183988	0.403311	1.15969	1.69192	2.18393
0.837758	0.0846383	0.826809	1.84041	2.58703	3.27524
0.942478	0.337209	1.25998	2.2613	3.31642	3.92814
1.0472	0.22384	1.49248	2.58657	3.59534	4.13788
1.15192	0.386091	1.7534	3.06362	3.97718	4.46915
1.25664	0.79726	1.98138	3.46361	4.30314	4.75573
1.36136	0.890814	1.94525	3.54277	4.32817	4.75197
1.46608	0.820461	1.91502	3.43994	4.19009	4.59513
1.5708	0.788136	1.82049	3.31159	4.0453	4.44157
1.67552	0.793369	1.73929	3.23587	3.97223	4.36988
1.78024	0.833728	1.82061	3.16832	3.9251	4.33359
1.88496	0.581311	1.6595	2.79073	3.58617	4.0152
1.98968	0.115797	1.33355	2.19796	3.0511	3.51079
2.0944	0.159185	0.971541	1.69667	2.46332	2.96436
2.19911	0.255692	0.597297	1.46978	1.90128	2.43422
2.30383	0.180138	0.633449	1.10725	1.62117	1.89922
2.40855	0.101703	0.223342	0.395727	0.709321	1.04143
2.51327	0.21063	0.461441	0.592356	0.658727	0.696171
2.61799	0.00697934	0.083152	0.312888	0.42797	0.491481
2.72271	0.00632457	0.0142985	0.0192507	0.0227694	0.025888
2.82743	0.0608381	0.133643	0.172167	0.192237	0.204138
2.93215	0.0781426	0.171998	0.221731	0.275366	0.306132
3.03687	0.0106464	0.023633	0.0308868	0.0351309	0.0381489
3.14159	0.0059656	0.0132849	0.017496	0.0281875	0.0472037
