#	new0_fix	prod
0.426	-11.2227
0.4345	-6.61851
0.443	-3.40368
0.4515	-1.5739
0.46	-0.631239
0.4685	-0.195363
0.477	-0.0457231
0.4855	-0.00257348
0.494	0.00351364
0.5025	-0.000632911
0.511	-0.0051872
0.5195	-0.00119785
0.528	0
0.5365	-0.00253831
0.545	-0.0283226
0.5535	-0.13724
0.562	-0.460802
0.5705	-1.19463
0.579	-2.6536
