#	12_	12a	12b
0.002464	0.0916801	-0.113406
0.0024715	0.058207	-0.0730264
0.002479	0.0363871	-0.0436149
0.0024865	0.0202757	-0.0268013
0.002494	0.0109647	-0.0139524
0.0025015	0.00272265	-0.00348384
0.002509	0	0
0.0025165	0.00320638	-0.0036614
0.002524	0.011909	-0.014442
0.0025315	0.0230489	-0.0333134
0.002539	0.041873	-0.0499644
0.0025465	0.0560032	-0.0311354
0.002554	0.184749	-0.183691
