#x	y	12_	12a	12b
0.0178175	0.002464	29.6404	29.4582	29.8843
0.0178175	0.0024715	27.1783	27.0086	27.4048
0.0178175	0.002479	25.0914	24.9524	25.2706
0.0178175	0.0024865	23.3235	23.2173	23.4745
0.0178175	0.002494	21.9706	21.8799	22.107
0.0178175	0.0025015	21.0528	20.964	21.1645
0.0178175	0.002509	20.4347	20.3697	20.543
0.0178175	0.0025165	20.1504	20.1007	20.2676
0.0178175	0.002524	20.3031	20.2495	20.3988
0.0178175	0.0025315	20.8409	20.7737	20.9525
0.0178175	0.002539	21.7969	21.702	21.8679
0.0178175	0.0025465	23.1658	23.0438	23.2375
0.0178175	0.002554	25.071	24.8621	25.0759
0.0184709	0.002464	22.5771	22.4124	22.7899
0.0184709	0.0024715	20.2762	20.1496	20.4489
0.0184709	0.002479	18.346	18.2338	18.4942
0.0184709	0.0024865	16.6336	16.5467	16.7545
0.0184709	0.002494	15.34	15.2699	15.444
0.0184709	0.0025015	14.4597	14.4096	14.537
0.0184709	0.002509	13.9144	13.8606	13.9916
0.0184709	0.0025165	13.7532	13.7072	13.8225
0.0184709	0.002524	13.9587	13.9184	14.0147
0.0184709	0.0025315	14.5575	14.5356	14.6379
0.0184709	0.002539	15.5987	15.5283	15.6483
0.0184709	0.0025465	17.0257	16.9885	17.1249
0.0184709	0.002554	18.9944	18.8944	19.0595
0.0191243	0.002464	16.9338	16.7863	17.1223
0.0191243	0.0024715	14.6814	14.5698	14.8294
0.0191243	0.002479	12.8311	12.7506	12.9394
0.0191243	0.0024865	11.3161	11.2563	11.4016
0.0191243	0.002494	10.1184	10.0644	10.1968
0.0191243	0.0025015	9.26897	9.23293	9.32369
0.0191243	0.002509	8.79684	8.76559	8.84809
0.0191243	0.0025165	8.70406	8.68158	8.74185
0.0191243	0.002524	9.00209	8.97962	9.03341
0.0191243	0.0025315	9.68315	9.66041	9.71502
0.0191243	0.002539	10.761	10.737	10.8163
0.0191243	0.0025465	12.2742	12.2479	12.3376
0.0191243	0.002554	14.295	14.1182	14.3858
0.0197777	0.002464	12.6185	12.4846	12.7869
0.0197777	0.0024715	10.413	10.315	10.5402
0.0197777	0.002479	8.58972	8.52214	8.67909
0.0197777	0.0024865	7.12919	7.08089	7.19382
0.0197777	0.002494	6.09373	6.05906	6.14654
0.0197777	0.0025015	5.38782	5.3628	5.42493
0.0197777	0.002509	4.99677	4.97725	5.01883
0.0197777	0.0025165	4.96199	4.94771	4.98591
0.0197777	0.002524	5.31685	5.30289	5.33854
0.0197777	0.0025315	6.05581	6.03637	6.08098
0.0197777	0.002539	7.20806	7.17815	7.24352
0.0197777	0.0025465	8.82477	8.77483	8.88458
0.0197777	0.002554	10.912	10.8446	10.9836
0.0204311	0.002464	9.54145	9.41843	9.6941
0.0204311	0.0024715	7.38403	7.2971	7.49445
0.0204311	0.002479	5.58496	5.52635	5.6599
0.0204311	0.0024865	4.17591	4.13864	4.22639
0.0204311	0.002494	3.19361	3.17219	3.22229
0.0204311	0.0025015	2.56448	2.55086	2.5882
0.0204311	0.002509	2.33988	2.33259	2.35171
0.0204311	0.0025165	2.41771	2.41393	2.42391
0.0204311	0.002524	2.82513	2.81888	2.83293
0.0204311	0.0025315	3.62615	3.61176	3.64246
0.0204311	0.002539	4.85502	4.82462	4.88997
0.0204311	0.0025465	6.54501	6.49935	6.59789
0.0204311	0.002554	8.73983	8.42776	8.81557
0.0210845	0.002464	7.53245	7.42873	7.66168
0.0210845	0.0024715	5.49706	5.42703	5.58636
0.0210845	0.002479	3.73914	3.68767	3.80357
0.0210845	0.0024865	2.38302	2.35306	2.42214
0.0210845	0.002494	1.41988	1.40516	1.43952
0.0210845	0.0025015	0.84858	0.841039	0.860371
0.0210845	0.002509	0.646837	0.64375	0.652059
0.0210845	0.0025165	0.787665	0.783828	0.792624
0.0210845	0.002524	1.288	1.27848	1.29813
0.0210845	0.0025315	2.18009	2.15764	2.20521
0.0210845	0.002539	3.52445	3.48633	3.5685
0.0210845	0.0025465	5.36917	5.31014	5.41868
0.0210845	0.002554	7.41229	7.55623	7.73253
0.021738	0.002464	6.47648	6.37909	6.59683
0.021738	0.0024715	4.48464	4.42	4.56421
0.021738	0.002479	2.8299	2.79091	2.87898
0.021738	0.0024865	1.6002	1.57993	1.62701
0.021738	0.002494	0.735354	0.72439	0.749307
0.021738	0.0025015	0.193157	0.190435	0.196641
0.021738	0.002509	0.0155386	0.0155386	0.0155386
0.021738	0.0025165	0.190046	0.18684	0.193708
0.021738	0.002524	0.736463	0.724554	0.750905
0.021738	0.0025315	1.71082	1.68777	1.74414
0.021738	0.002539	3.14058	3.09871	3.19054
0.021738	0.0025465	5.09173	5.03573	5.12287
0.021738	0.002554	7.36423	7.32766	7.6215
0.0223914	0.002464	6.37645	6.28477	6.48985
0.0223914	0.0024715	4.43139	4.37318	4.50442
0.0223914	0.002479	2.8273	2.79264	2.87091
0.0223914	0.0024865	1.64929	1.63265	1.67117
0.0223914	0.002494	0.855983	0.850123	0.863944
0.0223914	0.0025015	0.426469	0.425939	0.427216
0.0223914	0.002509	0.339993	0.337664	0.343334
0.0223914	0.0025165	0.574667	0.56647	0.586248
0.0223914	0.002524	1.14727	1.13391	1.16239
0.0223914	0.0025315	2.06212	2.04127	2.08619
0.0223914	0.002539	3.35214	3.31484	3.39509
0.0223914	0.0025465	5.15693	5.10239	5.2214
0.0223914	0.002554	7.38998	7.17948	7.54792
