#x	y	12_	12a	12b
0.426	-3.14159	166.054	165.839	166.018
0.426	-3.03687	154.561	154.6	154.772
0.426	-2.93215	144.9	144.564	145.169
0.426	-2.82743	135.988	135.946	136.316
0.426	-2.72271	128.9	128.649	129.176
0.426	-2.61799	123.016	122.765	123.288
0.426	-2.51327	118.398	118.147	118.67
0.426	-2.40855	114.856	114.596	115.139
0.426	-2.30383	112.152	111.89	112.438
0.426	-2.19911	110.231	109.967	110.523
0.426	-2.0944	108.918	108.654	109.218
0.426	-1.98968	108.05	107.771	108.362
0.426	-1.88496	107.472	107.146	107.812
0.426	-1.78024	107.037	106.702	107.426
0.426	-1.67552	106.704	106.359	107.114
0.426	-1.5708	106.434	106.072	106.865
0.426	-1.46608	106.211	105.838	106.675
0.426	-1.36136	106.085	105.694	106.581
0.426	-1.25664	106.1	105.651	106.659
0.426	-1.15192	106.358	105.89	106.961
0.426	-1.0472	107.047	106.56	107.689
0.426	-0.942478	108.341	107.831	109.023
0.426	-0.837758	110.429	109.897	111.153
0.426	-0.733038	113.515	112.955	114.279
0.426	-0.628319	117.769	117.158	118.6
0.426	-0.523599	123.379	122.747	124.25
0.426	-0.418879	130.422	129.816	131.26
0.426	-0.314159	138.995	138.324	139.865
0.426	-0.20944	149.294	148.658	150.091
0.426	-0.10472	160.845	160.248	161.346
0.426	-2.66454e-15	174.087	173.484	174.635
0.426	0.10472	188.313	187.977	189.298
0.426	0.20944	204.235	203.698	205.126
0.426	0.314159	221.453	220.889	222.21
0.426	0.418879	239.535	238.977	240.286
0.426	0.523599	258.269	257.72	258.529
0.426	0.628319	277.231	276.693	277.459
0.426	0.733038	295.033	295.081	296.183
0.426	0.837758	313.607	313.134	314.431
0.426	0.942478	330.519	329.966	331.117
0.426	1.0472	345.446	345.031	345.998
0.426	1.15192	358.029	357.648	358.537
0.426	1.25664	367.897	367.54	367.338
0.426	1.36136	373.573	374.373	375.134
0.426	1.46608	378.153	377.871	377.555
0.426	1.5708	378.124	377.585	378.451
0.426	1.67552	374.333	374.74	374.992
0.426	1.78024	366.633	366.444	367.279
0.426	1.88496	358.339	358.617	358.588
0.426	1.98968	346.029	345.805	346.26
0.426	2.0944	330.713	331.28	331.732
0.426	2.19911	315.252	315.031	315.107
0.426	2.30383	298.608	297.559	298.577
0.426	2.40855	279.61	279.372	279.657
0.426	2.51327	261.199	260.948	261.471
0.426	2.61799	242.991	242.727	243.281
0.426	2.72271	223.391	225.091	225.151
0.426	2.82743	208.655	208.364	208.461
0.426	2.93215	193.102	192.798	192.905
0.426	3.03687	178.789	178.192	179.255
0.426	3.14159	166.054	165.839	166.022
0.4345	-3.14159	132.044	131.849	132.276
0.4345	-3.03687	121.03	120.83	121.267
0.4345	-2.93215	111.538	111.335	111.777
0.4345	-2.82743	103.388	103.228	103.568
0.4345	-2.72271	96.4798	96.3208	96.657
0.4345	-2.61799	90.9175	90.7602	91.0912
0.4345	-2.51327	86.4647	86.3056	86.6381
0.4345	-2.40855	83.0102	82.8525	83.1816
0.4345	-2.30383	80.4751	80.3183	80.6458
0.4345	-2.19911	78.6862	78.5292	78.858
0.4345	-2.0944	77.4748	77.3164	77.6503
0.4345	-1.98968	76.6853	76.5238	76.8676
0.4345	-1.88496	76.182	76.0156	76.3745
0.4345	-1.78024	75.8553	75.6655	76.0617
0.4345	-1.67552	75.5839	75.3661	75.8432
0.4345	-1.5708	75.3446	75.117	75.6233
0.4345	-1.46608	75.1541	74.9146	75.456
0.4345	-1.36136	75.048	74.7945	75.3765
0.4345	-1.25664	75.0999	74.8305	75.4584
0.4345	-1.15192	75.4188	75.1054	75.8103
0.4345	-1.0472	76.0826	75.7465	76.5351
0.4345	-0.942478	77.3136	76.9589	77.8006
0.4345	-0.837758	79.3001	78.926	79.8231
0.4345	-0.733038	82.2329	81.8388	82.7928
0.4345	-0.628319	86.6148	86.223	87.1592
0.4345	-0.523599	91.9006	91.4899	92.4728
0.4345	-0.418879	98.6449	98.2068	99.2656
0.4345	-0.314159	106.606	106.202	107.179
0.4345	-0.20944	116.348	115.932	116.945
0.4345	-0.10472	127.679	127.285	128.241
0.4345	-2.66454e-15	140.326	139.904	140.916
0.4345	0.10472	154.46	154.088	155.01
0.4345	0.20944	169.518	169.38	170.072
0.4345	0.314159	185.763	185.372	186.316
0.4345	0.418879	202.936	202.55	203.484
0.4345	0.523599	220.713	220.333	221.249
0.4345	0.628319	238.705	238.336	239.226
0.4345	0.733038	256.474	256.118	256.974
0.4345	0.837758	273.541	273.2	274.013
0.4345	0.942478	289.355	289.054	289.781
0.4345	1.0472	303.444	303.163	303.837
0.4345	1.15192	315.359	315.099	315.717
0.4345	1.25664	324.695	324.455	325.017
0.4345	1.36136	331.076	330.88	331.344
0.4345	1.46608	334.249	334.072	334.482
0.4345	1.5708	334.178	334.019	334.381
0.4345	1.67552	330.881	330.736	331.044
0.4345	1.78024	324.387	324.277	324.518
0.4345	1.88496	315.05	314.949	315.166
0.4345	1.98968	303.223	303.126	303.329
0.4345	2.0944	289.319	289.222	289.422
0.4345	2.19911	273.776	273.696	273.854
0.4345	2.30383	257.137	257.029	257.252
0.4345	2.40855	240.353	240.201	239.946
0.4345	2.51327	222.85	222.685	223.034
0.4345	2.61799	205.545	205.814	205.137
0.4345	2.72271	188.23	188.608	188.41
0.4345	2.82743	172.359	172.192	172.555
0.4345	2.93215	157.6	157.423	157.812
0.4345	3.03687	144.131	143.945	144.356
0.4345	3.14159	132.044	131.849	132.276
0.443	-3.14159	104.309	104.17	104.487
0.443	-3.03687	93.8535	93.7108	94.0358
0.443	-2.93215	84.6356	84.648	84.8763
0.443	-2.82743	76.8205	76.6898	76.9432
0.443	-2.72271	70.2817	70.182	70.4
0.443	-2.61799	64.903	64.8068	64.9948
0.443	-2.51327	60.6141	60.5227	60.7185
0.443	-2.40855	57.366	57.2762	57.4651
0.443	-2.30383	54.9945	54.9076	55.0894
0.443	-2.19911	53.3329	53.2481	53.4253
0.443	-2.0944	52.2206	52.1366	52.3127
0.443	-1.98968	51.5087	51.4239	51.6034
0.443	-1.88496	51.0675	50.9801	51.168
0.443	-1.78024	50.849	50.7001	50.989
0.443	-1.67552	50.601	50.4745	50.7521
0.443	-1.5708	50.3999	50.2661	50.5657
0.443	-1.46608	50.2422	50.099	50.4264
0.443	-1.36136	50.1618	50.0072	50.3678
0.443	-1.25664	50.2216	50.0325	50.4851
0.443	-1.15192	50.5124	50.306	50.8066
0.443	-1.0472	51.2316	51.0089	51.5405
0.443	-0.942478	52.4101	52.1712	52.7488
0.443	-0.837758	54.4577	54.2211	54.8135
0.443	-0.733038	57.3357	57.0934	57.6868
0.443	-0.628319	61.1731	60.9143	61.5545
0.443	-0.523599	66.2473	65.9514	66.674
0.443	-0.418879	72.692	72.3816	73.146
0.443	-0.314159	80.5363	80.2446	80.9662
0.443	-0.20944	89.8146	89.5114	90.2661
0.443	-0.10472	100.705	100.392	101.176
0.443	-2.66454e-15	112.947	112.658	113.382
0.443	0.10472	126.472	126.178	126.917
0.443	0.20944	141.073	140.791	141.487
0.443	0.314159	156.507	156.226	156.921
0.443	0.418879	172.82	172.541	173.229
0.443	0.523599	189.701	189.428	190.1
0.443	0.628319	206.782	206.518	207.167
0.443	0.733038	223.636	223.391	223.992
0.443	0.837758	239.775	239.552	240.108
0.443	0.942478	254.752	254.545	255.059
0.443	1.0472	268.101	267.911	268.378
0.443	1.15192	279.381	279.208	279.627
0.443	1.25664	288.206	288.052	288.422
0.443	1.36136	294.166	294.046	294.339
0.443	1.46608	297.132	297.028	297.275
0.443	1.5708	297.017	296.927	297.134
0.443	1.67552	293.81	293.749	293.891
0.443	1.78024	287.584	287.533	287.647
0.443	1.88496	278.67	278.625	278.721
0.443	1.98968	267.393	267.35	267.438
0.443	2.0944	254.147	254.102	254.192
0.443	2.19911	239.324	239.295	239.355
0.443	2.30383	223.416	223.38	223.455
0.443	2.40855	206.898	206.854	206.95
0.443	2.51327	190.202	190.147	190.27
0.443	2.61799	173.72	173.654	173.804
0.443	2.72271	157.795	157.718	158.112
0.443	2.82743	142.898	142.782	143.047
0.443	2.93215	128.878	128.752	129.042
0.443	3.03687	116.089	115.954	116.264
0.443	3.14159	104.309	104.17	104.487
0.4515	-3.14159	82.7212	82.8804	82.8706
0.4515	-3.03687	72.7919	72.722	72.8961
0.4515	-2.93215	63.875	63.8023	63.9748
0.4515	-2.82743	56.3575	56.2869	56.4532
0.4515	-2.72271	50.0572	49.9938	50.1384
0.4515	-2.61799	44.871	44.8118	44.9456
0.4515	-2.51327	40.8261	40.7716	40.8927
0.4515	-2.40855	37.7743	37.7247	37.833
0.4515	-2.30383	35.5588	35.5143	35.6102
0.4515	-2.19911	34.0201	33.9788	34.0657
0.4515	-2.0944	33.004	32.9655	33.046
0.4515	-1.98968	32.3688	32.3314	32.4098
0.4515	-1.88496	31.9665	31.9225	32.0181
0.4515	-1.78024	31.6977	31.6496	31.7576
0.4515	-1.67552	31.5157	31.4612	31.5877
0.4515	-1.5708	31.3799	31.3168	31.4678
0.4515	-1.46608	31.2009	31.1099	31.3828
0.4515	-1.36136	31.1083	31.0061	31.2523
0.4515	-1.25664	31.3925	31.2904	31.5502
0.4515	-1.15192	31.6913	31.5798	31.8567
0.4515	-1.0472	32.3819	32.2559	32.5736
0.4515	-0.942478	33.656	33.5094	33.8568
0.4515	-0.837758	35.4479	35.296	35.674
0.4515	-0.733038	38.0916	37.925	38.3444
0.4515	-0.628319	41.7616	41.5798	42.042
0.4515	-0.523599	46.6225	46.4114	46.932
0.4515	-0.418879	52.7732	52.5486	53.1151
0.4515	-0.314159	60.3907	60.1531	60.7563
0.4515	-0.20944	69.3761	69.1558	69.7179
0.4515	-0.10472	79.7538	79.5239	80.113
0.4515	-2.66454e-15	91.6599	91.4222	92.0317
0.4515	0.10472	104.574	104.359	104.912
0.4515	0.20944	118.731	118.514	119.076
0.4515	0.314159	133.447	133.245	133.755
0.4515	0.418879	148.942	148.743	149.246
0.4515	0.523599	164.971	164.777	165.268
0.4515	0.628319	181.185	180.998	181.47
0.4515	0.733038	197.158	196.991	197.422
0.4515	0.837758	212.462	212.307	212.706
0.4515	0.942478	226.656	226.515	226.876
0.4515	1.0472	239.297	239.17	239.492
0.4515	1.15192	249.968	249.857	250.136
0.4515	1.25664	258.304	258.208	258.445
0.4515	1.36136	263.913	263.841	264.021
0.4515	1.46608	266.675	266.618	266.759
0.4515	1.5708	266.512	266.467	266.574
0.4515	1.67552	263.43	263.404	263.468
0.4515	1.78024	257.461	257.443	257.485
0.4515	1.88496	248.942	248.928	248.957
0.4515	1.98968	238.181	238.168	238.194
0.4515	2.0944	225.553	225.537	225.569
0.4515	2.19911	211.462	211.451	211.473
0.4515	2.30383	196.309	196.293	196.331
0.4515	2.40855	180.583	180.557	180.619
0.4515	2.51327	164.692	164.656	164.744
0.4515	2.61799	149.01	148.963	149.079
