#x	y	12_	12a	12b
0.426	0.002464	114.034	113.893	114.387
0.426	0.0024715	111.919	111.175	112.449
0.426	0.002479	109.979	109.158	110.688
0.426	0.0024865	108.541	107.64	109.008
0.426	0.002494	107.149	106.607	107.804
0.426	0.0025015	106.444	105.95	107.053
0.426	0.002509	106.1	105.651	106.66
0.426	0.0025165	106.085	105.694	106.581
0.426	0.002524	106.425	106.071	106.888
0.426	0.0025315	107.147	106.839	107.591
0.426	0.002539	108.218	107.944	108.564
0.426	0.0025465	109.646	109.418	109.93
0.426	0.002554	111.43	111.243	111.67
0.4345	0.002464	84.769	83.8903	85.395
0.4345	0.0024715	81.7659	81.042	82.4685
0.4345	0.002479	79.4783	79.068	80.185
0.4345	0.0024865	77.8328	77.3306	78.407
0.4345	0.002494	76.4648	76.0701	77.0099
0.4345	0.0025015	75.6307	75.2883	76.0573
0.4345	0.002509	75.1743	74.8711	75.554
0.4345	0.0025165	75.048	74.7945	75.3765
0.4345	0.002524	75.2974	75.074	75.5983
0.4345	0.0025315	75.9169	75.7355	76.1646
0.4345	0.002539	76.8993	76.7557	77.0986
0.4345	0.0025465	78.2291	78.111	78.3855
0.4345	0.002554	79.9177	79.8026	80.0549
0.443	0.002464	61.1025	60.4208	61.2853
0.443	0.0024715	57.7649	57.2057	58.2332
0.443	0.002479	55.1142	54.6905	55.6451
0.443	0.0024865	53.2373	52.9102	53.6229
0.443	0.002494	51.7874	51.5033	52.1265
0.443	0.0025015	50.8583	50.6302	51.1458
0.443	0.002509	50.3477	50.1527	50.5842
0.443	0.0025165	50.1618	50.0072	50.3678
0.443	0.002524	50.3298	50.1789	50.5443
0.443	0.0025315	50.8607	50.7436	51.0313
0.443	0.002539	51.7565	51.6662	51.8889
0.443	0.0025465	53.0032	52.939	53.1034
0.443	0.002554	54.6313	54.5852	54.7057
0.4515	0.002464	42.4599	41.9589	43.0433
0.4515	0.0024715	39.0032	38.7388	39.5082
0.4515	0.002479	36.5383	36.4263	36.984
0.4515	0.0024865	34.4553	34.2299	34.7349
0.4515	0.002494	32.9787	32.7747	33.1933
0.4515	0.0025015	31.9778	31.8331	32.1631
0.4515	0.002509	31.4526	31.3437	31.5941
0.4515	0.0025165	31.1083	31.0061	31.2523
0.4515	0.002524	31.2673	31.1803	31.3938
0.4515	0.0025315	31.7981	31.7344	31.8957
0.4515	0.002539	32.6916	32.6525	32.7457
0.4515	0.0025465	33.9352	33.9132	33.9718
0.4515	0.002554	35.6041	35.5781	35.6466
0.46	0.002464	28.6317	28.2588	29.0718
0.46	0.0024715	25.7048	25.3931	26.0751
0.46	0.002479	23.0831	22.8465	23.3758
0.46	0.0024865	21.0189	20.8131	21.2452
0.46	0.002494	19.4466	19.3131	19.6135
0.46	0.0025015	18.4913	18.3991	18.611
0.46	0.002509	18.0205	17.9489	18.1093
0.46	0.0025165	17.741	17.7015	17.794
0.46	0.002524	17.7759	17.7385	17.8346
0.46	0.0025315	18.3477	18.3234	18.3878
0.46	0.002539	19.2634	19.2503	19.2789
0.46	0.0025465	20.5649	20.5497	20.5885
0.46	0.002554	22.3117	22.2925	22.3375
0.4685	0.002464	18.9187	18.6481	19.2407
0.4685	0.0024715	16.1999	15.9834	16.4597
0.4685	0.002479	13.8777	13.7074	14.0846
0.4685	0.0024865	11.9581	11.8252	12.1207
0.4685	0.002494	10.4003	10.3495	10.5373
0.4685	0.0025015	9.41511	9.41204	9.49212
0.4685	0.002509	9.04542	9.01203	9.09208
0.4685	0.0025165	8.89897	8.88334	8.9214
0.4685	0.002524	9.09451	9.0754	9.11756
0.4685	0.0025315	9.71152	9.7039	9.72398
0.4685	0.002539	10.6909	10.6813	10.7039
0.4685	0.0025465	12.1049	12.0877	12.1253
0.4685	0.002554	13.9884	13.9546	14.0284
0.477	0.002464	12.7551	12.5575	12.9924
0.477	0.0024715	10.258	10.1079	10.4401
0.477	0.002479	8.16568	8.05478	8.30239
0.477	0.0024865	6.4702	6.39117	6.56751
0.477	0.002494	5.14703	5.09268	5.21517
0.477	0.0025015	4.2579	4.1973	4.28003
0.477	0.002509	3.90587	3.88977	3.93015
0.477	0.0025165	3.85286	3.84353	3.91202
0.477	0.002524	4.21188	4.20939	4.21567
0.477	0.0025315	4.89607	4.88963	4.90347
0.477	0.002539	5.99974	5.98361	6.01789
0.477	0.0025465	7.55402	7.52189	7.59069
0.477	0.002554	9.55606	9.50498	9.61601
0.4855	0.002464	9.2819	9.13436	9.46081
0.4855	0.0024715	6.99728	6.89157	7.12681
0.4855	0.002479	5.12449	5.0521	5.21497
0.4855	0.0024865	3.60809	3.5612	3.66679
0.4855	0.002494	2.49825	2.47028	2.53525
0.4855	0.0025015	1.80792	1.79413	1.82626
0.4855	0.002509	1.4908	1.47694	1.51369
0.4855	0.0025165	1.56692	1.55784	1.58198
0.4855	0.002524	1.98473	1.97897	1.99199
0.4855	0.0025315	2.73354	2.71998	2.74882
0.4855	0.002539	3.90717	3.8806	3.93724
0.4855	0.0025465	5.5484	5.50334	5.59866
0.4855	0.002554	7.63473	7.44243	7.78732
0.494	0.002464	7.49379	7.37393	7.64133
0.494	0.0024715	5.35698	5.27419	5.46067
0.494	0.002479	3.63588	3.58143	3.70638
0.494	0.0024865	2.25805	2.2253	2.30099
0.494	0.002494	1.30634	1.28722	1.33387
0.494	0.0025015	0.746064	0.737222	0.759729
0.494	0.002509	0.576588	0.572996	0.582652
0.494	0.0025165	0.726682	0.729328	0.731523
