#	12_	12a	12b
-3.14159	0.100356	-0.167336
-3.03687	0.100159	-0.167654
-2.93215	0.0977399	-0.164046
-2.82743	0.0821389	-0.138211
-2.72271	0.0761474	-0.128351
-2.61799	0.0687012	-0.115974
-2.51327	0.0601972	-0.0994302
-2.40855	0.0491551	-0.0841566
-2.30383	0.0336897	-0.0569363
-2.19911	0.0254603	-0.042954
-2.0944	0.0182554	-0.0305532
-1.98968	0.0121627	-0.0199227
-1.88496	0.00849152	-0.0141994
-1.78024	0.00385142	-0.00643322
-1.67552	0.000976871	-0.00162995
-1.5708	0	0
-1.46608	0.000906531	-0.0014873
-1.36136	0.0036159	-0.00595742
-1.25664	0.00639977	-0.0105386
-1.15192	0.0110746	-0.0192086
-1.0472	0.017504	-0.0300029
-0.942478	0.0248396	-0.0421092
-0.837758	0.0438053	-0.0631153
-0.733038	0.0464462	-0.0789142
-0.628319	0.0519413	-0.0850307
-0.523599	0.0781282	-0.0681341
-0.418879	0.0754507	-0.11684
-0.314159	0.0664306	-0.112643
-0.20944	0.0639689	-0.10874
-0.10472	0.0711538	-0.0987989
-2.66454e-15	0.0619631	-0.105581
0.10472	0.066873	-0.113518
0.20944	0.0465264	-0.0793392
0.314159	0.0479003	-0.08153
0.418879	0.0370678	-0.0629946
0.523599	0.0362366	-0.0611129
0.628319	0.0260976	-0.043266
0.733038	0.0155654	-0.0265941
0.837758	0.01239	-0.0214005
0.942478	0.00541294	-0.00911891
1.0472	0.00304217	-0.00509216
1.15192	0.00724181	-0.00815388
1.25664	0.00487216	-0.0066195
1.36136	0.00361508	-0.00490098
1.46608	0.196168	0.186715
1.5708	0.03771	0.0220367
1.67552	0.0141148	-0.0210131
1.78024	0.0188501	-0.0297738
1.88496	0.0259915	-0.0426264
1.98968	0.0355037	-0.0594819
2.0944	0.0658281	-0.0614035
2.19911	0.0595192	-0.0989849
2.30383	0.0624829	-0.105112
2.40855	0.0777352	-0.128343
2.51327	0.0902219	-0.150612
2.61799	0.0910294	-0.15371
2.72271	0.102881	-0.173646
2.82743	0.101356	-0.171867
2.93215	0.104717	-0.175318
3.03687	0.112992	-0.191057
3.14159	0.100356	-0.167336
