#x	y	12_	12a	12b
0.0184709	1.98968	229.632	229.619	229.655
0.0184709	2.0944	217.203	217.197	217.213
0.0184709	2.19911	203.264	203.263	203.267
0.0184709	2.30383	188.233	188.233	188.233
0.0184709	2.40855	172.204	172.196	172.214
0.0184709	2.51327	155.687	155.678	155.699
0.0184709	2.61799	139.296	139.285	139.273
0.0184709	2.72271	123.448	123.355	123.391
0.0184709	2.82743	108.195	108.178	108.144
0.0184709	2.93215	93.9108	93.8936	93.9383
0.0184709	3.03687	80.8587	80.8397	80.8895
0.0184709	3.14159	68.9482	68.9226	68.988
0.0191243	-3.14159	60.6326	60.5996	60.6805
0.0191243	-3.03687	50.4938	50.4649	50.5417
0.0191243	-2.93215	41.7016	41.6741	41.7474
0.0191243	-2.82743	34.1866	34.1587	34.2331
0.0191243	-2.72271	27.9668	27.9427	28.0069
0.0191243	-2.61799	22.9136	22.894	22.9462
0.0191243	-2.51327	18.9137	18.8988	18.9384
0.0191243	-2.40855	15.838	15.8279	15.8549
0.0191243	-2.30383	13.5486	13.5425	13.5585
0.0191243	-2.19911	11.9049	11.902	11.9095
0.0191243	-2.0944	10.7707	10.7696	10.7721
0.0191243	-1.98968	10.0201	10.0193	10.0209
0.0191243	-1.88496	9.54053	9.53913	9.54251
0.0191243	-1.78024	9.18068	9.17709	9.18662
0.0191243	-1.67552	8.93958	8.93176	8.95267
0.0191243	-1.5708	8.78074	8.76661	8.80446
0.0191243	-1.46608	8.70406	8.68158	8.74185
0.0191243	-1.36136	8.73765	8.70479	8.79279
0.0191243	-1.25664	8.92014	8.87853	8.98926
0.0191243	-1.15192	9.301	9.24738	9.39071
0.0191243	-1.0472	10.0526	9.98542	10.1652
0.0191243	-0.942478	11.3078	11.2258	11.4453
0.0191243	-0.837758	13.2118	13.1142	13.3757
0.0191243	-0.733038	15.9176	15.8037	16.1089
0.0191243	-0.628319	19.5455	19.4223	19.751
0.0191243	-0.523599	24.2398	24.1019	24.4704
0.0191243	-0.418879	30.1629	30.0106	30.4177
0.0191243	-0.314159	37.4183	37.2524	37.6958
0.0191243	-0.20944	46.0778	45.8995	46.376
0.0191243	-0.10472	56.174	55.9849	56.4903
0.0191243	-2.66454e-15	67.6948	67.496	68.0283
0.0191243	0.10472	80.5778	80.3708	80.9247
0.0191243	0.20944	94.4814	94.2769	94.8233
0.0191243	0.314159	109.212	109.006	109.556
0.0191243	0.418879	124.713	124.508	125.055
0.0191243	0.523599	140.69	140.49	141.024
0.0191243	0.628319	156.798	156.605	157.119
0.0191243	0.733038	172.648	172.466	172.952
0.0191243	0.837758	187.702	187.536	187.978
0.0191243	0.942478	201.306	201.154	201.556
0.0191243	1.0472	213.425	213.289	213.647
0.0191243	1.15192	223.599	223.478	223.8
0.0191243	1.25664	231.545	231.443	231.714
0.0191243	1.36136	237.02	236.937	237.157
0.0191243	1.46608	239.842	239.777	239.949
0.0191243	1.5708	239.823	239.771	239.909
0.0191243	1.67552	237.048	237.012	237.109
0.0191243	1.78024	231.654	231.631	231.692
0.0191243	1.88496	223.838	223.826	223.86
0.0191243	1.98968	213.788	213.779	213.801
0.0191243	2.0944	201.921	201.918	201.926
0.0191243	2.19911	188.63	188.629	188.631
0.0191243	2.30383	174.243	174.239	174.248
0.0191243	2.40855	158.809	158.804	158.818
0.0191243	2.51327	143.127	143.118	143.142
0.0191243	2.61799	127.562	127.548	127.585
0.0191243	2.72271	112.438	112.419	112.469
0.0191243	2.82743	98.0287	98.0049	98.0685
0.0191243	2.93215	84.5568	84.5286	84.6055
0.0191243	3.03687	72.0986	72.0636	72.149
0.0191243	3.14159	60.6326	60.5996	60.6805
0.0197777	-3.14159	53.7332	53.6938	53.7984
0.0197777	-3.03687	44.1181	44.0788	44.1832
0.0197777	-2.93215	35.7559	35.7153	35.8235
0.0197777	-2.82743	28.6821	28.6447	28.7444
0.0197777	-2.72271	22.8075	22.7745	22.8625
0.0197777	-2.61799	18.0451	18.0174	18.0914
0.0197777	-2.51327	14.2868	14.2646	14.3236
0.0197777	-2.40855	11.4092	11.3927	11.4365
0.0197777	-2.30383	9.28074	9.26949	9.29928
0.0197777	-2.19911	7.76762	7.76075	7.77867
0.0197777	-2.0944	6.73994	6.73628	6.74546
0.0197777	-1.98968	6.02438	6.02289	6.02661
0.0197777	-1.88496	5.56107	5.56081	5.56136
0.0197777	-1.78024	5.26893	5.26811	5.27027
0.0197777	-1.67552	5.08827	5.08496	5.09386
0.0197777	-1.5708	4.98689	4.9791	5.00001
0.0197777	-1.46608	4.96199	4.94771	4.98591
0.0197777	-1.36136	4.99765	4.97725	5.0313
0.0197777	-1.25664	5.1575	5.12869	5.20564
0.0197777	-1.15192	5.56031	5.52147	5.62558
0.0197777	-1.0472	6.31334	6.26302	6.39808
0.0197777	-0.942478	7.5424	7.47937	7.64854
0.0197777	-0.837758	9.38611	9.30941	9.51515
0.0197777	-0.733038	11.9313	11.8461	12.0639
0.0197777	-0.628319	15.3726	15.2746	15.5369
0.0197777	-0.523599	19.8575	19.7466	20.0438
0.0197777	-0.418879	25.5072	25.3836	25.7148
0.0197777	-0.314159	32.4204	32.2843	32.6497
0.0197777	-0.20944	40.6685	40.5199	40.9185
0.0197777	-0.10472	50.2825	50.1231	50.5509
0.0197777	-2.66454e-15	61.2501	61.0712	61.5341
0.0197777	0.10472	73.4607	73.2761	73.7659
0.0197777	0.20944	86.8507	86.6745	87.1512
0.0197777	0.314159	100.932	100.759	101.222
0.0197777	0.418879	115.651	115.479	115.939
0.0197777	0.523599	130.816	130.648	131.097
0.0197777	0.628319	146.093	145.929	146.367
0.0197777	0.733038	161.114	160.959	161.373
0.0197777	0.837758	175.492	175.349	175.731
0.0197777	0.942478	188.498	188.375	188.702
0.0197777	1.0472	199.954	199.845	200.134
0.0197777	1.15192	209.633	209.54	209.787
0.0197777	1.25664	217.123	217.042	217.257
0.0197777	1.36136	222.251	222.187	222.358
0.0197777	1.46608	224.857	224.809	224.938
0.0197777	1.5708	224.859	224.824	224.916
0.0197777	1.67552	222.151	222.126	222.194
0.0197777	1.78024	216.952	216.937	216.977
0.0197777	1.88496	209.456	209.449	209.467
0.0197777	1.98968	199.925	199.923	199.928
0.0197777	2.0944	188.622	188.62	188.625
0.0197777	2.19911	175.94	175.938	175.942
0.0197777	2.30383	162.16	162.156	161.996
0.0197777	2.40855	147.277	147.266	147.293
0.0197777	2.51327	132.34	132.325	132.365
0.0197777	2.61799	117.524	117.503	117.558
0.0197777	2.72271	103.135	103.109	103.179
0.0197777	2.82743	89.4345	89.4024	89.4881
0.0197777	2.93215	76.6319	76.5951	76.6935
0.0197777	3.03687	64.6265	64.5868	64.6827
