#x	y	new0_fix	flux_lukas
0.426	0.002464	115.221	110.452
0.426	0.0024715	113.056	108.555
0.426	0.002479	111.907	107.388
0.426	0.0024865	110.855	107.063
0.426	0.002494	110.296	106.276
0.426	0.0025015	109.523	105.623
0.426	0.002509	109.546	106.065
0.426	0.0025165	109.262	106.015
0.426	0.002524	109.319	106.221
0.426	0.0025315	109.775	106.806
0.426	0.002539	110.63	107.784
0.426	0.0025465	111.878	109.151
0.426	0.002554	113.529	110.895
0.4345	0.002464	86.3449	82.8928
0.4345	0.0024715	83.7014	80.3687
0.4345	0.002479	81.8738	78.6626
0.4345	0.0024865	80.3701	77.3127
0.4345	0.002494	79.1661	76.2424
0.4345	0.0025015	78.394	75.7251
0.4345	0.002509	77.6511	75.3314
0.4345	0.0025165	77.2641	75.0848
0.4345	0.002524	77.2403	75.1935
0.4345	0.0025315	77.5847	75.6515
0.4345	0.002539	78.3475	76.5143
0.4345	0.0025465	79.5438	77.7964
0.4345	0.002554	81.1492	79.4843
0.443	0.002464	62.4736	60.0655
0.443	0.0024715	59.5591	57.3873
0.443	0.002479	56.9952	54.9678
0.443	0.0024865	55.2351	53.1424
0.443	0.002494	53.7213	51.9195
0.443	0.0025015	52.8285	51.1192
0.443	0.002509	52.0564	50.5708
0.443	0.0025165	51.62	50.2522
0.443	0.002524	51.5945	50.3077
0.443	0.0025315	51.8983	50.7288
0.443	0.002539	52.6317	51.5388
0.443	0.0025465	53.8101	52.78
0.443	0.002554	55.4502	54.4692
0.4515	0.002464	43.4726	41.8174
0.4515	0.0024715	40.3424	38.8883
0.4515	0.002479	37.8449	36.5877
0.4515	0.0024865	35.7675	34.5354
0.4515	0.002494	34.232	33.1302
0.4515	0.0025015	33.3144	32.2049
0.4515	0.002509	32.5849	31.706
0.4515	0.0025165	32.1664	31.4247
0.4515	0.002524	32.1287	31.4222
0.4515	0.0025315	32.5137	31.876
0.4515	0.002539	33.2011	32.6452
0.4515	0.0025465	34.3364	33.8183
0.4515	0.002554	35.9464	35.4521
0.46	0.002464	29.8404	28.5983
0.46	0.0024715	26.6217	25.6242
0.46	0.002479	23.9848	23.1487
0.46	0.0024865	21.9176	21.188
0.46	0.002494	20.3107	19.674
0.46	0.0025015	19.327	18.814
0.46	0.002509	18.7059	18.2389
0.46	0.0025165	18.3088	17.9035
0.46	0.002524	18.2601	17.9366
0.46	0.0025315	18.6392	18.3566
0.46	0.002539	19.4421	19.1877
0.46	0.0025465	20.6776	20.436
0.46	0.002554	22.4006	22.1579
0.4685	0.002464	19.931	19.0651
0.4685	0.0024715	17.1723	16.4689
0.4685	0.002479	14.7112	14.1745
0.4685	0.0024865	12.7098	12.3054
0.4685	0.002494	11.1301	10.7911
0.4685	0.0025015	10.0616	9.7994
0.4685	0.002509	9.50215	9.28489
0.4685	0.0025165	9.16153	9.00615
0.4685	0.002524	9.27296	9.14891
