#x	y	new0_fix	flux_lukas
0.0178175	0.426	163.279	162.079
0.0178175	0.4345	127.762	126.804
0.0178175	0.443	98.857	98.0241
0.0178175	0.4515	76.4464	76.0349
0.0178175	0.46	59.8667	59.6764
0.0178175	0.4685	48.1999	48.1121
0.0178175	0.477	40.4281	40.3543
0.0178175	0.4855	35.2801	35.2066
0.0178175	0.494	31.758	31.6536
0.0178175	0.5025	29.0985	28.9106
0.0178175	0.511	26.5589	26.4328
0.0178175	0.5195	24.1579	24.0749
0.0178175	0.528	22.1476	22.0873
0.0178175	0.5365	21.1454	21.1165
0.0178175	0.545	21.9995	21.9579
0.0178175	0.5535	25.8301	25.6965
0.0178175	0.562	34.0855	33.6737
0.0178175	0.5705	46.3954	45.6564
0.0178175	0.579	64.7251	63.2799
0.0184709	0.426	151.66	149.738
0.0184709	0.4345	117.187	117.507
0.0184709	0.443	87.9934	87.1196
0.0184709	0.4515	65.99	65.5462
0.0184709	0.46	49.7947	49.6005
0.0184709	0.4685	38.5615	38.4738
0.0184709	0.477	31.17	31.1141
0.0184709	0.4855	26.3861	26.33
0.0184709	0.494	23.3021	23.2174
0.0184709	0.5025	20.9704	20.8968
0.0184709	0.511	18.8427	18.7695
0.0184709	0.5195	16.868	16.7599
0.0184709	0.528	15.1318	15.1028
0.0184709	0.5365	14.4177	14.4019
0.0184709	0.545	15.5171	15.472
0.0184709	0.5535	19.739	19.5498
0.0184709	0.562	27.2965	26.9474
0.0184709	0.5705	39.9839	39.1669
0.0184709	0.579	58.1328	56.6915
0.0191243	0.426	142.312	139.421
0.0191243	0.4345	109.278	107.397
0.0191243	0.443	78.8066	78.3562
0.0191243	0.4515	57.1197	56.6581
0.0191243	0.46	41.3076	41.107
0.0191243	0.4685	30.4538	30.3735
0.0191243	0.477	23.3988	23.3626
0.0191243	0.4855	19.0191	18.9755
0.0191243	0.494	16.3245	16.2854
0.0191243	0.5025	14.347	14.2874
0.0191243	0.511	12.6167	12.5565
0.0191243	0.5195	10.952	10.9078
0.0191243	0.528	9.58105	9.56005
0.0191243	0.5365	9.10242	9.09129
0.0191243	0.545	10.3883	10.3433
0.0191243	0.5535	14.5609	14.3998
0.0191243	0.562	22.3071	21.9029
0.0191243	0.5705	34.9114	34.0969
0.0191243	0.579	52.9618	51.4
0.0197777	0.426	133.158	130.714
0.0197777	0.4345	100.238	98.7868
0.0197777	0.443	72.0385	71.6749
