#x	y	new0_fix	flux_lukas
0.443	2.0944	254.189	253.012
0.443	2.19911	239.321	238.171
0.443	2.30383	223.421	222.307
0.443	2.40855	206.959	205.831
0.443	2.51327	190.502	189.204
0.443	2.61799	174.733	172.878
0.443	2.72271	158.902	157.55
0.443	2.82743	143.354	142.041
0.443	2.93215	129.421	128.081
0.443	3.03687	116.678	115.324
0.443	3.14159	104.804	103.449
0.4515	-3.14159	83.5736	82.8159
0.4515	-3.03687	73.3046	72.6876
0.4515	-2.93215	64.3508	63.718
0.4515	-2.82743	56.776	56.1275
0.4515	-2.72271	50.2876	49.6556
0.4515	-2.61799	45.032	44.3861
0.4515	-2.51327	40.9195	40.2609
0.4515	-2.40855	37.8114	37.141
0.4515	-2.30383	35.5593	34.8786
0.4515	-2.19911	34.0122	33.3229
0.4515	-2.0944	33.0231	32.3269
0.4515	-1.98968	32.4556	31.7544
0.4515	-1.88496	32.1901	31.4852
0.4515	-1.78024	32.1287	31.4222
0.4515	-1.67552	32.2168	31.429
0.4515	-1.5708	32.3108	31.5255
0.4515	-1.46608	32.4902	31.7087
0.4515	-1.36136	32.783	32.0069
0.4515	-1.25664	33.2517	32.4441
0.4515	-1.15192	33.989	33.1397
0.4515	-1.0472	34.781	33.8914
0.4515	-0.942478	36.3172	35.4421
0.4515	-0.837758	38.5443	37.6845
0.4515	-0.733038	41.6287	40.7715
0.4515	-0.628319	45.7358	44.8298
0.4515	-0.523599	50.9777	50.0701
0.4515	-0.418879	57.4061	56.4881
0.4515	-0.314159	65.098	64.1959
0.4515	-0.20944	74.2425	73.3556
0.4515	-0.10472	84.8109	83.8721
0.4515	-2.66454e-15	96.4636	95.5024
0.4515	0.10472	109.463	108.485
0.4515	0.20944	123.157	122.163
0.4515	0.314159	137.821	136.838
0.4515	0.418879	153.25	152.278
0.4515	0.523599	169.149	168.185
0.4515	0.628319	185.168	184.212
0.4515	0.733038	200.915	199.965
0.4515	0.837758	215.914	215.02
0.4515	0.942478	229.754	228.921
0.4515	1.0472	242.01	241.181
0.4515	1.15192	252.278	251.451
0.4515	1.25664	260.206	259.382
0.4515	1.36136	265.42	264.692
0.4515	1.46608	267.807	267.081
0.4515	1.5708	267.308	266.582
0.4515	1.67552	263.938	263.225
0.4515	1.78024	257.742	257.098
0.4515	1.88496	249.062	248.416
0.4515	1.98968	238.207	237.558
0.4515	2.0944	225.55	224.897
0.4515	2.19911	211.494	210.84
0.4515	2.30383	196.425	195.812
0.4515	2.40855	180.821	180.215
0.4515	2.51327	165.077	164.46
0.4515	2.61799	149.553	148.921
0.4515	2.72271	134.56	133.913
0.4515	2.82743	120.491	119.752
0.4515	2.93215	107.277	106.519
0.4515	3.03687	94.848	94.0992
0.4515	3.14159	83.5736	82.8055
0.46	-3.14159	67.9206	67.642
0.46	-3.03687	58.0678	57.7797
0.46	-2.93215	49.5546	49.2566
0.46	-2.82743	42.1061	41.8181
0.46	-2.72271	35.8938	35.5965
0.46	-2.61799	30.8837	30.5775
0.46	-2.51327	26.9588	26.6443
0.46	-2.40855	23.9868	23.6647
0.46	-2.30383	21.8032	21.4952
0.46	-2.19911	20.248	19.9346
0.46	-2.0944	19.2429	18.9252
0.46	-1.98968	18.6522	18.3314
0.46	-1.88496	18.3569	18.0342
0.46	-1.78024	18.2601	17.936
0.46	-1.67552	18.2919	17.9035
0.46	-1.5708	18.3584	17.9566
0.46	-1.46608	18.5929	18.179
0.46	-1.36136	18.7976	18.39
0.46	-1.25664	19.1717	18.712
0.46	-1.15192	19.7525	19.2812
0.46	-1.0472	20.6834	20.222
0.46	-0.942478	22.1227	21.6717
0.46	-0.837758	24.222	23.7816
0.46	-0.733038	27.1403	26.6998
0.46	-0.628319	31.0349	30.5419
0.46	-0.523599	35.9955	35.5129
0.46	-0.418879	42.2185	41.7455
0.46	-0.314159	49.7389	49.2583
0.46	-0.20944	58.4386	57.9665
0.46	-0.10472	68.5569	68.0923
0.46	-2.66454e-15	79.9154	79.3756
0.46	0.10472	92.2727	91.7187
0.46	0.20944	105.634	105.069
0.46	0.314159	119.573	119.012
0.46	0.418879	134.238	133.681
0.46	0.523599	149.35	148.795
0.46	0.628319	164.574	164.021
0.46	0.733038	179.539	178.987
0.46	0.837758	193.806	193.287
0.46	0.942478	206.957	206.49
0.46	1.0472	218.6	218.134
0.46	1.15192	228.355	227.889
0.46	1.25664	235.889	235.422
0.46	1.36136	240.885	240.473
0.46	1.46608	243.157	242.765
0.46	1.5708	242.691	242.3
0.46	1.67552	239.512	239.123
0.46	1.78024	233.694	233.361
0.46	1.88496	225.464	225.138
0.46	1.98968	215.171	214.846
0.46	2.0944	203.168	202.843
0.46	2.19911	189.843	189.517
0.46	2.30383	175.598	175.269
0.46	2.40855	160.829	160.498
0.46	2.51327	145.892	145.581
0.46	2.61799	131.163	130.865
0.46	2.72271	116.936	116.633
0.46	2.82743	103.457	103.145
0.46	2.93215	90.7712	90.4205
0.46	3.03687	78.8448	78.4875
0.46	3.14159	67.9206	67.642
0.4685	-3.14159	57.183	57.0676
0.4685	-3.03687	47.8783	47.7733
0.4685	-2.93215	39.5472	39.4475
0.4685	-2.82743	32.392	32.2877
0.4685	-2.72271	26.4705	26.3612
0.4685	-2.61799	21.6918	21.5776
0.4685	-2.51327	17.8567	17.749
0.4685	-2.40855	14.8927	14.781
0.4685	-2.30383	12.7339	12.6186
0.4685	-2.19911	11.2371	11.1188
0.4685	-2.0944	10.2633	10.1425
0.4685	-1.98968	9.68336	9.56078
0.4685	-1.88496	9.38357	9.22719
0.4685	-1.78024	9.2143	9.05805
0.4685	-1.67552	9.16153	9.00615
0.4685	-1.5708	9.18875	9.03493
0.4685	-1.46608	9.38282	9.21105
0.4685	-1.36136	9.56454	9.39702
0.4685	-1.25664	9.89272	9.69
0.4685	-1.15192	10.4148	10.2179
0.4685	-1.0472	11.3054	11.1146
0.4685	-0.942478	12.7018	12.5169
0.4685	-0.837758	14.7554	14.5762
0.4685	-0.733038	17.6248	17.4484
0.4685	-0.628319	21.3305	21.1011
0.4685	-0.523599	26.0559	25.8316
0.4685	-0.418879	31.987	31.7669
0.4685	-0.314159	39.2268	39.0098
0.4685	-0.20944	47.7758	47.5529
0.4685	-0.10472	57.4182	57.1789
0.4685	-2.66454e-15	68.3999	68.1247
0.4685	0.10472	80.2855	79.992
0.4685	0.20944	93.1455	92.8513
0.4685	0.314159	106.612	106.308
0.4685	0.418879	120.557	120.251
0.4685	0.523599	134.923	134.615
0.4685	0.628319	149.395	149.083
0.4685	0.733038	163.616	163.301
0.4685	0.837758	177.204	176.885
0.4685	0.942478	189.731	189.454
0.4685	1.0472	200.789	200.528
0.4685	1.15192	210.05	209.788
0.4685	1.25664	217.201	216.937
0.4685	1.36136	221.993	221.729
0.4685	1.46608	224.186	223.974
0.4685	1.5708	223.738	223.529
0.4685	1.67552	220.717	220.511
0.4685	1.78024	215.244	215.041
0.4685	1.88496	207.488	207.325
0.4685	1.98968	197.714	197.56
0.4685	2.0944	186.318	186.168
0.4685	2.19911	173.666	173.52
0.4685	2.30383	160.14	159.997
