#	new0_fix	flux_lukas
-3.14159	0.0149693
-3.03687	0.0116773
-2.93215	0.0106798
-2.82743	0.00852799
-2.72271	0.00694219
-2.61799	0.00617985
-2.51327	0.00597539
-2.40855	0.0052997
-2.30383	0.00494581
-2.19911	0.00486609
-2.0944	0.00526139
-1.98968	0.00533222
-1.88496	0.00144313
-1.78024	0.000708931
-1.67552	0.000193455
-1.5708	0
-1.46608	0.000118561
-1.36136	0.000556611
-1.25664	0.00648298
-1.15192	0.00666472
-1.0472	0.00771137
-0.942478	0.00929775
-0.837758	0.0119263
-0.733038	0.0227759
-0.628319	0.0274828
-0.523599	0.0336258
-0.418879	0.0417515
-0.314159	0.0732768
-0.20944	0.0798395
-0.10472	0.0830561
-2.66454e-15	0.0912194
0.10472	0.0960047
0.20944	0.125851
0.314159	0.133434
0.418879	0.138013
0.523599	0.145497
0.628319	0.20924
0.733038	0.207709
0.837758	0.213918
0.942478	0.216543
1.0472	0.221476
1.15192	0.224827
1.25664	0.174208
1.36136	0.175051
1.46608	0.175922
1.5708	0.176307
1.67552	0.131553
1.78024	0.0900365
1.88496	0.126839
1.98968	0.125452
2.0944	0.123584
2.19911	0.0834876
2.30383	0.0804843
2.40855	0.0481163
2.51327	0.0433069
2.61799	0.0386014
2.72271	0.0357905
2.82743	0.0302746
2.93215	0.0186329
3.03687	0.0152637
3.14159	0.0149693
