#x	y	new0_fix	flux_lukas
-3.14159	0.002464	51.0094	50.5429
-3.14159	0.0024715	48.3174	47.9829
-3.14159	0.002479	46.051	45.8255
-3.14159	0.0024865	44.2157	44.0765
-3.14159	0.002494	42.8075	42.733
-3.14159	0.0025015	41.8539	41.8208
-3.14159	0.002509	41.3569	41.3434
-3.14159	0.0025165	41.3274	41.3124
-3.14159	0.002524	41.7719	41.7381
-3.14159	0.0025315	42.5945	42.5545
-3.14159	0.002539	43.8144	43.7384
-3.14159	0.0025465	45.5026	45.3883
-3.14159	0.002554	47.7248	47.5312
-3.03687	0.002464	43.2715	42.8579
-3.03687	0.0024715	40.6387	40.3495
-3.03687	0.002479	38.4315	38.2408
-3.03687	0.0024865	36.6237	36.4833
-3.03687	0.002494	35.2023	35.1277
-3.03687	0.0025015	34.2348	34.2028
-3.03687	0.002509	33.72	33.7088
-3.03687	0.0025165	33.6706	33.6589
-3.03687	0.002524	34.0606	34.0301
-3.03687	0.0025315	34.7789	34.7418
-3.03687	0.002539	35.9835	35.9113
-3.03687	0.0025465	37.6729	37.5622
-3.03687	0.002554	39.8938	39.7065
-2.93215	0.002464	36.4701	36.0536
-2.93215	0.0024715	33.8356	33.5444
-2.93215	0.002479	31.6243	31.4353
-2.93215	0.0024865	29.8421	29.7321
-2.93215	0.002494	28.4956	28.442
-2.93215	0.0025015	27.4753	27.442
-2.93215	0.002509	26.8747	26.8635
-2.93215	0.0025165	26.735	26.7243
-2.93215	0.002524	27.0642	27.0329
-2.93215	0.0025315	27.8473	27.7802
-2.93215	0.002539	29.0973	28.9814
-2.93215	0.0025465	30.8414	30.6668
-2.93215	0.002554	33.0936	32.8548
-2.82743	0.002464	30.6634	30.245
-2.82743	0.0024715	28.0306	27.7382
-2.82743	0.002479	25.819	25.6294
-2.82743	0.0024865	23.9962	23.8843
-2.82743	0.002494	22.5802	22.5098
-2.82743	0.0025015	21.5362	21.5039
-2.82743	0.002509	20.9288	20.9193
-2.82743	0.0025165	20.7816	20.7731
-2.82743	0.002524	21.1016	21.0731
-2.82743	0.0025315	21.886	21.8227
-2.82743	0.002539	23.1443	23.0327
-2.82743	0.0025465	24.8958	24.7203
-2.82743	0.002554	27.0598	26.8792
-2.72271	0.002464	25.7081	25.2879
-2.72271	0.0024715	23.02	22.7262
-2.72271	0.002479	20.7501	20.5593
-2.72271	0.0024865	18.9044	18.7935
-2.72271	0.002494	17.4896	17.4358
-2.72271	0.0025015	16.5136	16.4944
-2.72271	0.002509	15.9619	15.9535
-2.72271	0.0025165	15.8125	15.8056
-2.72271	0.002524	16.1292	16.1025
-2.72271	0.0025315	16.9218	16.8612
-2.72271	0.002539	18.152	18.041
-2.72271	0.0025465	19.797	19.6221
-2.72271	0.002554	21.9622	21.7086
-2.61799	0.002464	21.5204	21.1013
-2.61799	0.0024715	18.8428	18.5501
-2.61799	0.002479	16.5817	16.3921
-2.61799	0.0024865	14.7433	14.6336
-2.61799	0.002494	13.3344	13.2821
-2.61799	0.0025015	12.3631	12.3455
-2.61799	0.002509	11.8385	11.8335
-2.61799	0.0025165	11.758	11.7519
-2.61799	0.002524	12.076	12.0495
-2.61799	0.0025315	12.7634	12.7061
-2.61799	0.002539	13.9273	13.8187
-2.61799	0.0025465	15.5879	15.4155
-2.61799	0.002554	17.7685	17.7164
-2.51327	0.002464	18.1559	17.7392
-2.51327	0.0024715	15.4933	15.2028
-2.51327	0.002479	13.2459	13.0582
-2.51327	0.0024865	11.4198	11.3119
-2.51327	0.002494	10.0222	9.97134
-2.51327	0.0025015	9.06134	9.04504
-2.51327	0.002509	8.5462	8.54236
-2.51327	0.0025165	8.44591	8.43993
-2.51327	0.002524	8.70039	8.67529
-2.51327	0.0025315	9.40794	9.3496
-2.51327	0.002539	10.5923	10.4852
-2.51327	0.0025465	12.2733	12.1023
-2.51327	0.002554	14.4746	14.2248
-2.40855	0.002464	15.5075	15.0946
-2.40855	0.0024715	12.865	12.5778
-2.40855	0.002479	10.6366	10.4517
-2.40855	0.0024865	8.82856	8.72296
-2.40855	0.002494	7.44826	7.3992
-2.40855	0.0025015	6.50392	6.48893
-2.40855	0.002509	6.0048	6.00178
-2.40855	0.0025165	5.83083	5.82553
-2.40855	0.002524	6.10299	6.07885
-2.40855	0.0025315	6.83577	6.77813
-2.40855	0.002539	8.0453	7.93876
-2.40855	0.0025465	9.75203	9.58143
-2.40855	0.002554	11.9019	11.6493
-2.30383	0.002464	13.4617	13.0542
-2.30383	0.0024715	10.8451	10.5622
-2.30383	0.002479	8.64148	8.46026
-2.30383	0.0024865	6.85768	6.75498
-2.30383	0.002494	5.50104	5.4541
-2.30383	0.0025015	4.57998	4.56637
-2.30383	0.002509	4.04163	4.03629
-2.30383	0.0025165	3.8747	3.86975
-2.30383	0.002524	4.17409	4.15037
-2.30383	0.0025315	4.93712	4.87956
-2.30383	0.002539	6.17733	6.07059
-2.30383	0.0025465	7.88665	7.71356
-2.30383	0.002554	10.0144	9.76203
-2.19911	0.002464	11.9021	11.5023
-2.19911	0.0024715	9.31845	9.04179
-2.19911	0.002479	7.14672	6.97003
-2.19911	0.0024865	5.39369	5.2945
-2.19911	0.002494	4.06769	4.02323
-2.19911	0.0025015	3.17721	3.16147
-2.19911	0.002509	2.6002	2.59589
-2.19911	0.0025165	2.46578	2.46091
-2.19911	0.002524	2.80077	2.7769
-2.19911	0.0025315	3.60015	3.54208
-2.19911	0.002539	4.87686	4.76933
-2.19911	0.0025465	6.59065	6.41726
-2.19911	0.002554	8.75993	8.5047
-2.0944	0.002464	10.7185	10.3278
-2.0944	0.0024715	8.17427	7.90511
-2.0944	0.002479	6.04151	5.87079
-2.0944	0.0024865	4.32713	4.23215
-2.0944	0.002494	3.03912	2.99748
-2.0944	0.0025015	2.13561	2.11268
-2.0944	0.002509	1.58928	1.58597
-2.0944	0.0025165	1.49585	1.49059
-2.0944	0.002524	1.87482	1.85047
-2.0944	0.0025315	2.71557	2.65656
-2.0944	0.002539	4.03516	3.92622
-2.0944	0.0025465	5.7936	5.61914
-2.0944	0.002554	8.17854	7.76086
-1.98968	0.002464	9.81059	9.43004
-1.98968	0.0024715	7.3122	7.05137
-1.98968	0.002479	5.22516	5.06109
-1.98968	0.0024865	3.5567	3.46669
-1.98968	0.002494	2.31489	2.27648
-1.98968	0.0025015	1.40658	1.38605
-1.98968	0.002509	0.908417	0.906083
-1.98968	0.0025165	0.865417	0.860085
-1.98968	0.002524	1.29361	1.26848
-1.98968	0.0025315	2.18183	2.12145
-1.98968	0.002539	3.55124	3.44029
-1.98968	0.0025465	5.37981	5.20357
-1.98968	0.002554	7.65104	7.412
-1.88496	0.002464	9.09189	8.72248
-1.88496	0.0024715	6.64585	6.39409
-1.88496	0.002479	4.61127	4.45444
-1.88496	0.0024865	2.99577	2.91112
-1.88496	0.002494	1.79731	1.7413
-1.88496	0.0025015	0.912145	0.894133
-1.88496	0.002509	0.470199	0.468756
-1.88496	0.0025165	0.48767	0.48203
-1.88496	0.002524	0.967753	0.941574
-1.88496	0.0025315	1.91021	1.84772
