#x	y	new0_fix	flux_lukas
0.0178175	-3.14159	79.0646	79.0047
0.0178175	-3.03687	67.9519	67.8658
0.0178175	-2.93215	58.1221	58.0451
0.0178175	-2.82743	49.7293	49.6598
0.0178175	-2.72271	42.712	42.6486
0.0178175	-2.61799	36.9781	36.9195
0.0178175	-2.51327	32.4113	32.3564
0.0178175	-2.40855	28.8783	28.8261
0.0178175	-2.30383	26.237	26.1866
0.0178175	-2.19911	24.3106	24.2808
0.0178175	-2.0944	22.9607	22.9315
0.0178175	-1.98968	22.0773	22.0477
0.0178175	-1.88496	21.5484	21.5177
0.0178175	-1.78024	21.2591	21.2212
0.0178175	-1.67552	21.1454	21.1165
0.0178175	-1.5708	21.1698	21.1489
0.0178175	-1.46608	21.2586	21.246
0.0178175	-1.36136	21.517	21.4974
0.0178175	-1.25664	21.9976	21.9689
0.0178175	-1.15192	22.7978	22.7667
0.0178175	-1.0472	24.0367	24.0019
0.0178175	-0.942478	25.7969	25.7501
0.0178175	-0.837758	28.2716	28.2104
0.0178175	-0.733038	31.8279	31.7699
0.0178175	-0.628319	36.1701	36.1032
0.0178175	-0.523599	42.0619	41.9904
0.0178175	-0.418879	49.0979	49.0192
0.0178175	-0.314159	57.8665	57.6927
0.0178175	-0.20944	67.6177	67.4348
0.0178175	-0.10472	78.8274	78.7169
0.0178175	-2.66454e-15	91.4979	91.3774
0.0178175	0.10472	106.173	105.9
0.0178175	0.20944	121.388	121.102
0.0178175	0.314159	137.669	137.367
0.0178175	0.418879	154.752	154.435
0.0178175	0.523599	172.316	171.983
0.0178175	0.628319	189.929	189.634
0.0178175	0.733038	206.729	206.435
0.0178175	0.837758	222.747	222.445
0.0178175	0.942478	237.533	237.681
0.0178175	1.0472	250.5	250.228
0.0178175	1.15192	261.415	261.138
0.0178175	1.25664	269.96	269.711
0.0178175	1.36136	275.558	275.308
0.0178175	1.46608	278.425	278.145
0.0178175	1.5708	278.228	277.951
0.0178175	1.67552	274.57	274.767
0.0178175	1.78024	268.386	268.153
0.0178175	1.88496	259.32	259.114
0.0178175	1.98968	248.059	247.862
0.0178175	2.0944	234.847	234.659
0.0178175	2.19911	220.048	219.878
0.0178175	2.30383	204.122	203.962
0.0178175	2.40855	187.409	187.265
0.0178175	2.51327	170.045	169.917
0.0178175	2.61799	152.823	152.71
0.0178175	2.72271	136.089	135.989
0.0178175	2.82743	120.138	120.051
0.0178175	2.93215	105.207	105.13
0.0178175	3.03687	91.475	91.4076
0.0178175	3.14159	79.0646	79.0047
0.0184709	-3.14159	69.4485	69.3671
