#	new0	0_E	0_M
0.002464	6.5302	3.31231
0.0024715	4.5192	2.62262
0.002479	2.92481	1.98194
0.0024865	1.68787	1.34196
0.002494	0.777735	0.713489
0.0025015	0.192424	0.190901
0.002509	0	0
0.0025165	0.195653	0.193257
0.002524	0.79435	0.728126
0.0025315	1.80838	1.33757
0.002539	3.30172	2.13874
0.0025465	5.21968	3.03203
0.002554	7.55126	3.93609
