#x	y	new0	0_E	0_M
0.426	-3.14159	166.213	46.6297	77.6505
0.426	-3.03687	154.904	37.9394	77.6542
0.426	-2.93215	144.856	30.3903	77.6574
0.426	-2.82743	136.185	24.0054	77.6606
0.426	-2.72271	128.918	18.8405	77.664
0.426	-2.61799	123.083	14.7942	77.6682
0.426	-2.51327	118.542	11.7445	77.6741
0.426	-2.40855	115.139	9.55472	77.6824
0.426	-2.30383	112.711	8.06039	77.6939
0.426	-2.19911	111.088	7.12125	77.7095
0.426	-2.0944	109.996	6.61984	77.73
0.426	-1.98968	109.48	6.41648	77.7274
0.426	-1.88496	109.262	6.38868	77.7216
0.426	-1.78024	109.288	6.43536	77.7207
0.426	-1.67552	109.476	6.48846	77.7252
0.426	-1.5708	109.777	6.47018	77.7355
0.426	-1.46608	110.141	6.32642	77.7514
0.426	-1.36136	110.11	6.07306	77.7727
0.426	-1.25664	110.618	5.79262	77.7991
0.426	-1.15192	111.756	5.65217	77.8244
0.426	-1.0472	111.684	5.79574	77.8219
0.426	-0.942478	114.379	6.37559	77.8234
0.426	-0.837758	116.395	7.5593	77.8283
0.426	-0.733038	119.781	9.52176	77.8353
0.426	-0.628319	124.308	12.4368	77.8437
0.426	-0.523599	130.099	16.469	77.8522
0.426	-0.418879	137.166	21.6269	77.86
0.426	-0.314159	145.762	28.0045	77.8662
0.426	-0.20944	155.969	35.5625	77.8701
0.426	-0.10472	167.581	44.5358	77.8711
0.426	-2.66454e-15	180.611	54.9758	77.8689
0.426	0.10472	195.142	66.8412	77.8635
0.426	0.20944	211.04	80.1605	77.855
0.426	0.314159	228.12	93.7389	77.8438
0.426	0.418879	247.066	108.121	77.8305
0.426	0.523599	265.613	123.026	77.8158
0.426	0.628319	284.338	138.757	77.8007
0.426	0.733038	302.793	153.03	77.7863
0.426	0.837758	319.628	167.628	77.7735
0.426	0.942478	335.966	180.631	77.7636
0.426	1.0472	349.822	192.481	77.7575
0.426	1.15192	362.736	202.501	77.7561
0.426	1.25664	371.024	210.329	77.7305
0.426	1.36136	377.122	215.707	77.7018
0.426	1.46608	380.892	218.316	77.6787
0.426	1.5708	379.048	217.66	77.6619
0.426	1.67552	375.966	214.098	77.6517
0.426	1.78024	369.018	207.994	77.6479
0.426	1.88496	359.45	199.58	77.6504
0.426	1.98968	345.664	189.628	77.6585
0.426	2.0944	332.01	177.109	77.6671
0.426	2.19911	313.865	163.825	77.6504
0.426	2.30383	296.293	149.702	77.6393
0.426	2.40855	279.62	135.142	77.633
0.426	2.51327	261.159	120.536	77.6305
0.426	2.61799	242.938	106.21	77.631
0.426	2.72271	225.33	92.4575	77.6336
0.426	2.82743	207.356	79.515	77.6375
0.426	2.93215	193.118	67.565	77.6419
0.426	3.03687	178.936	56.6112	77.6463
0.426	3.14159	166.213	46.6297	77.6505
0.4345	-3.14159	132.249	44.886	53.84
0.4345	-3.03687	121.233	36.3379	53.8426
0.4345	-2.93215	111.746	28.907	53.8441
0.4345	-2.82743	103.367	22.7187	53.8447
0.4345	-2.72271	96.4336	17.7023	53.8449
0.4345	-2.61799	90.8862	13.7169	53.8453
0.4345	-2.51327	86.4859	10.6188	53.8467
0.4345	-2.40855	83.095	8.39624	53.8502
0.4345	-2.30383	80.6598	6.87891	53.8565
0.4345	-2.19911	79.0127	5.93745	53.8668
0.4345	-2.0944	77.9916	5.42286	53.8818
0.4345	-1.98968	77.4452	5.20183	53.9025
0.4345	-1.88496	77.2403	5.15669	53.9128
0.4345	-1.78024	77.2641	5.20767	53.9042
0.4345	-1.67552	77.3767	5.23662	53.9013
0.4345	-1.5708	77.5942	5.22712	53.9044
0.4345	-1.46608	77.9089	5.10582	53.9136
0.4345	-1.36136	78.3512	4.89176	53.9288
0.4345	-1.25664	78.9504	4.66358	53.9495
0.4345	-1.15192	79.6548	4.58094	53.9751
0.4345	-1.0472	80.7874	4.77357	54.0033
0.4345	-0.942478	82.8622	5.40054	53.9987
0.4345	-0.837758	85.2057	6.59598	53.9981
0.4345	-0.733038	88.4037	8.55141	54.0006
0.4345	-0.628319	92.7943	11.4066	54.0051
0.4345	-0.523599	98.3783	15.3617	54.0105
0.4345	-0.418879	105.357	20.3702	54.016
0.4345	-0.314159	113.798	26.9461	54.0205
0.4345	-0.20944	123.536	33.9802	54.0234
0.4345	-0.10472	134.845	42.8987	54.024
0.4345	-2.66454e-15	147.53	53.5369	54.0222
0.4345	0.10472	161.37	65.3013	54.0177
0.4345	0.20944	176.508	77.6001	54.0108
0.4345	0.314159	192.749	90.237	54.0017
0.4345	0.418879	209.833	104.679	53.9912
0.4345	0.523599	227.433	118.739	53.98
0.4345	0.628319	245.164	133.481	53.969
0.4345	0.733038	262.592	147.777	53.9594
0.4345	0.837758	279.245	161.49	53.952
0.4345	0.942478	294.637	174.214	53.9482
0.4345	1.0472	308.217	185.546	53.9488
0.4345	1.15192	319.565	195.109	53.9204
0.4345	1.25664	328.317	202.574	53.8922
0.4345	1.36136	334.157	207.676	53.8693
0.4345	1.46608	336.756	210.165	53.8526
0.4345	1.5708	336.147	209.564	53.8425
0.4345	1.67552	332.362	206.122	53.8392
0.4345	1.78024	325.456	200.246	53.8427
0.4345	1.88496	315.759	192.15	53.8525
0.4345	1.98968	303.646	182.147	53.8472
0.4345	2.0944	289.531	170.581	53.8291
0.4345	2.19911	273.869	157.834	53.8171
0.4345	2.30383	257.629	144.786	53.8106
0.4345	2.40855	240.881	130.314	53.8085
0.4345	2.51327	222.839	116.293	53.8099
0.4345	2.61799	205.582	102.537	53.8138
0.4345	2.72271	188.901	89.3202	53.8192
0.4345	2.82743	173.09	76.8703	53.8251
0.4345	2.93215	157.837	65.3448	53.8309
0.4345	3.03687	144.411	54.5166	53.836
0.4345	3.14159	132.249	44.886	53.84
0.443	-3.14159	104.804	43.2731	34.9452
0.443	-3.03687	94.3436	34.8517	34.8958
0.443	-2.93215	84.9222	27.6598	34.895
0.443	-2.82743	76.9558	21.6605	34.9049
0.443	-2.72271	70.3728	16.6091	34.9124
0.443	-2.61799	64.906	12.6274	34.8946
0.443	-2.51327	60.598	9.60613	34.8932
0.443	-2.40855	57.3498	7.41582	34.9203
0.443	-2.30383	55.0057	5.91875	34.9223
0.443	-2.19911	53.4063	4.97858	34.9269
0.443	-2.0944	52.3977	4.44723	34.9255
0.443	-1.98968	51.8356	4.20887	34.9461
0.443	-1.88496	51.5945	4.14711	34.97
0.443	-1.78024	51.62	4.17043	34.9669
0.443	-1.67552	51.6725	4.21574	34.9626
0.443	-1.5708	51.8214	4.20627	34.9638
0.443	-1.46608	52.0602	4.10455	34.9778
0.443	-1.36136	52.4185	3.92877	34.9694
0.443	-1.25664	53.0314	3.75103	34.9874
0.443	-1.15192	53.7924	3.72003	35.011
0.443	-1.0472	54.8619	3.96359	35.0405
0.443	-0.942478	56.443	4.61881	35.0512
0.443	-0.837758	58.6392	5.84128	35.0406
0.443	-0.733038	61.9145	7.7897	35.0493
0.443	-0.628319	66.2095	10.4925	35.0525
0.443	-0.523599	71.5408	14.4904	35.0687
0.443	-0.418879	78.201	19.3339	35.069
0.443	-0.314159	86.3037	25.5247	35.0728
0.443	-0.20944	95.9217	33.2048	35.0483
0.443	-0.10472	106.7	41.3013	35.0761
0.443	-2.66454e-15	118.939	52.2551	35.0747
0.443	0.10472	132.257	62.2024	35.0458
0.443	0.20944	146.637	75.4501	35.0396
0.443	0.314159	162.068	87.0132	35.0637
0.443	0.418879	178.304	101.467	35.0915
0.443	0.523599	195.032	115.29	35.0235
0.443	0.628319	211.887	129.051	35.0243
0.443	0.733038	228.456	142.902	35.0169
0.443	0.837758	244.282	156.039	34.9979
0.443	0.942478	258.844	168.221	35.0364
0.443	1.0472	271.737	179.06	34.9969
0.443	1.15192	282.536	188.198	34.9688
0.443	1.25664	290.871	195.32	34.9413
0.443	1.36136	296.364	200.174	34.9839
0.443	1.46608	298.86	202.547	34.9281
