
# Surface 0 of 1 surfaces

# Curve title: "file u (getx($1)):(gety($2)):(sqrt(column(c)))"

# Contour 0, label:        3
 0.462627 -3.14159  3 
 0.462629 -3.03687  3 
 0.462632 -2.93215  3 
 0.462636 -2.82743  3 
 0.462642 -2.72271  3 
 0.462641 -2.61799  3 
 0.46264 -2.51327  3 
 0.462641 -2.40855  3 
 0.462653 -2.30383  3 
 0.462666 -2.19911  3 
 0.462671 -2.09439  3 
 0.462663 -1.98967  3 
 0.462664 -1.88495  3 
 0.462672 -1.78023  3 
 0.462684 -1.67551  3 
 0.462684 -1.5708  3 
 0.462694 -1.46608  3 
 0.462719 -1.36136  3 
 0.462725 -1.25664  3 
 0.462723 -1.15192  3 
 0.462729 -1.0472  3 
 0.462741 -0.942477  3 
 0.462754 -0.837757  3 
 0.462755 -0.733038  3 
 0.462759 -0.628318  3 
 0.462765 -0.523598  3 
 0.462776 -0.418879  3 
 0.462786 -0.314159  3 
 0.462792 -0.209439  3 
 0.462796 -0.10472  3 
 0.462796 -1.94289e-16  3 
 0.462793  0.10472  3 
 0.462786  0.209439  3 
 0.462778  0.314159  3 
 0.462765  0.418879  3 
 0.462751  0.523598  3 
 0.462742  0.628318  3 
 0.462735  0.733038  3 
 0.462732  0.837757  3 
 0.462718  0.942477  3 
 0.462704  1.0472  3 
 0.462697  1.15192  3 
 0.462697  1.25664  3 
 0.462692  1.36136  3 
 0.462668  1.46608  3 
 0.462655  1.5708  3 
 0.462654  1.67551  3 
 0.462644  1.78023  3 
 0.462635  1.88495  3 
 0.462636  1.98967  3 
 0.462644  2.09439  3 
 0.462643  2.19911  3 
 0.462631  2.30383  3 
 0.462621  2.40855  3 
 0.462621  2.51327  3 
 0.462625  2.61799  3 
 0.46263  2.72271  3 
 0.462627  2.82743  3 
 0.462625  2.93215  3 
 0.462626  3.03687  3 
 0.462627  3.14159  3 

 0.559988 -3.14159  3 
 0.559986 -3.03687  3 
 0.559986 -2.93215  3 
 0.559985 -2.82743  3 
 0.559983 -2.72271  3 
 0.559979 -2.61799  3 
 0.559972 -2.51327  3 
 0.55996 -2.40855  3 
 0.559957 -2.30383  3 
 0.559944 -2.19911  3 
 0.55992 -2.09439  3 
 0.559898 -1.98967  3 
 0.559907 -1.88495  3 
 0.559905 -1.78023  3 
 0.559891 -1.67551  3 
 0.559886 -1.5708  3 
 0.559865 -1.46608  3 
 0.559843 -1.36136  3 
 0.559845 -1.25664  3 
 0.559849 -1.15192  3 
 0.559844 -1.0472  3 
 0.559833 -0.942477  3 
 0.559833 -0.837757  3 
 0.559816 -0.733038  3 
 0.559773 -0.628318  3 
 0.559793 -0.523598  3 
 0.559797 -0.418879  3 
 0.559803 -0.314159  3 
 0.559808 -0.209439  3 
 0.55981 -0.10472  3 
 0.559812 -1.94289e-16  3 
 0.559814  0.10472  3 
 0.559814  0.209439  3 
 0.559813  0.314159  3 
 0.559809  0.418879  3 
 0.559807  0.523598  3 
 0.559824  0.628318  3 
 0.559836  0.733038  3 
 0.559854  0.837757  3 
 0.559857  0.942477  3 
 0.559869  1.0472  3 
 0.559877  1.15192  3 
 0.559875  1.25664  3 
 0.559872  1.36136  3 
 0.559895  1.46608  3 
 0.559917  1.5708  3 
 0.559921  1.67551  3 
 0.559935  1.78023  3 
