#	new0	0_E	0_M
0.426	103.61	31.6315
0.4345	72.6594	23.4318
0.443	47.8745	16.7283
0.4515	29.1659	11.3442
0.46	16.0631	7.15268
0.4685	7.55377	4.10686
0.477	2.78227	2.22992
0.4855	0.824898	1.26738
0.494	0.204142	0.623609
0.5025	0.182823	0.318064
0.511	0.252474	0.245746
0.5195	0.14755	0.125422
0.528	0	0
0.5365	0.378092	0.149059
0.545	2.09025	0.706648
0.5535	6.17789	1.88703
0.562	13.6958	3.81979
0.5705	25.4224	6.46475
0.579	42.0794	9.83641
