#x	y	new0	0_E	0_M
0.0210845	0.5535	6.96345	0.488023	5.41864
0.0210845	0.562	14.7019	0.683883	11.4879
0.0210845	0.5705	26.814	0.986684	21.2665
0.0210845	0.579	44.023	1.39039	35.5227
0.021738	0.426	115.499	10.6446	78.186
0.021738	0.4345	82.4935	8.70689	54.1889
0.021738	0.443	55.9317	7.0176	35.0903
0.021738	0.4515	35.7768	5.55116	20.84
0.021738	0.46	21.6579	4.29454	11.1074
0.021738	0.4685	11.5334	3.2232	5.05467
0.021738	0.477	5.77918	2.30258	1.74876
0.021738	0.4855	2.77532	1.56059	0.349695
0.021738	0.494	1.50009	0.986486	0.0312632
0.021738	0.5025	0.915483	0.552452	0.100993
0.021738	0.511	0.56834	0.248438	0.160476
0.021738	0.5195	0.222243	0.074694	0.0968211
0.021738	0.528	0.0155386	0.0155386	0.0155386
0.021738	0.5365	0.456073	0.0779816	0.307014
0.021738	0.545	2.3509	0.260655	1.64425
0.021738	0.5535	6.66591	0.556378	4.84341
0.021738	0.562	14.3797	0.959158	10.7676
0.021738	0.5705	26.4091	1.46223	20.3478
0.021738	0.579	43.4698	2.05848	34.3756
0.0223914	0.426	112.28	7.98344	79.2302
0.0223914	0.4345	79.6045	6.36322	55.0807
0.0223914	0.443	53.3531	4.95034	35.8139
0.0223914	0.4515	33.3671	3.76448	21.4082
0.0223914	0.46	19.1356	2.78119	11.5264
0.0223914	0.4685	9.9831	1.94088	5.3586
0.0223914	0.477	4.34098	1.28104	1.96429
0.0223914	0.4855	1.6733	0.79218	0.507469
0.0223914	0.494	0.654873	0.450731	0.159614
0.0223914	0.5025	0.419057	0.236234	0.22396
0.0223914	0.511	0.406222	0.153748	0.287327
0.0223914	0.5195	0.363064	0.183625	0.228227
0.0223914	0.528	0.418956	0.338221	0.143214
0.0223914	0.5365	1.06159	0.61342	0.405955
0.0223914	0.545	3.0918	1.00249	1.68104
0.0223914	0.5535	7.4494	1.49895	4.77888
0.0223914	0.562	15.1232	2.09476	10.5599
0.0223914	0.5705	27.0579	2.7828	19.9443
0.0223914	0.579	43.9654	3.56114	33.7447
0.0230448	0.426	110.262	6.33621	80.7854
0.0230448	0.4345	77.8691	4.99051	56.484
0.0230448	0.443	51.9177	3.866	37.0547
0.0230448	0.4515	32.2112	2.9628	22.487
0.0230448	0.46	18.2601	2.19698	12.4558
0.0230448	0.4685	9.16153	1.60777	6.17137
0.0230448	0.477	3.97868	1.19642	2.68779
0.0230448	0.4855	1.61708	0.940828	1.1725
0.0230448	0.494	0.862223	0.808789	0.794368
0.0230448	0.5025	0.963056	0.808914	0.852311
0.0230448	0.511	1.27331	0.919528	0.91925
0.0230448	0.5195	1.53141	1.15989	0.864976
0.0230448	0.528	1.84226	1.5226	0.776825
0.0230448	0.5365	2.67456	1.99976	1.01207
0.0230448	0.545	4.82741	2.58406	2.22659
0.0230448	0.5535	9.2345	3.269	5.22497
0.0230448	0.562	16.9188	4.047	10.8645
0.0230448	0.5705	28.7037	4.91533	20.055
0.0230448	0.579	45.4536	5.86864	33.6334
0.0236982	0.426	109.262	5.65217	82.8516
0.0236982	0.4345	77.2403	4.58094	58.3987
0.0236982	0.443	51.5945	3.72003	38.8088
0.0236982	0.4515	32.1287	3.0411	24.0776
0.0236982	0.46	18.4111	2.52124	13.8997
0.0236982	0.4685	9.55194	2.17978	7.49378
0.0236982	0.477	4.64969	2.00347	3.91995
0.0236982	0.4855	2.49213	1.94646	2.34482
0.0236982	0.494	2.07146	2.01454	1.93523
0.0236982	0.5025	2.49996	2.20835	1.98607
0.0236982	0.511	3.09034	2.52925	2.05624
0.0236982	0.5195	3.63607	2.97322	2.00704
0.0236982	0.528	4.23253	3.5325	1.91633
0.0236982	0.5365	5.25006	4.20093	2.12484
0.0236982	0.545	7.51487	4.9705	3.28082
0.0236982	0.5535	11.9588	5.83366	6.1816
0.0236982	0.562	19.6136	6.78735	11.6815
0.0236982	0.5705	31.3904	7.82606	20.6806
0.0236982	0.579	47.8824	8.94459	34.0416
0.0243516	0.426	109.332	5.89685	85.4288
0.0243516	0.4345	77.6189	5.07729	60.8249
0.0243516	0.443	52.231	4.46751	41.0744
0.0243516	0.4515	33.0251	4.00498	26.181
0.0243516	0.46	19.5028	3.72575	15.8509
0.0243516	0.4685	10.9143	3.61433	9.32589
0.0243516	0.477	6.25854	3.63115	5.66
0.0243516	0.4855	4.33846	3.76114	4.02415
0.0243516	0.494	4.23993	4.03337	3.58169
0.0243516	0.5025	4.97373	4.43003	3.62526
0.0243516	0.511	5.8357	4.94976	3.6983
0.0243516	0.5195	6.65362	5.5871	3.6544
0.0243516	0.528	7.50636	6.3347	3.56103
0.0243516	0.5365	8.74242	7.18417	3.74463
0.0243516	0.545	11.0997	8.1279	4.84368
0.0243516	0.5535	15.5971	9.16257	7.6487
0.0243516	0.562	23.208	10.2825	13.0108
0.0243516	0.5705	34.8104	11.4822	21.822
0.0243516	0.579	51.1862	12.7568	34.9708
0.025005	0.426	110.184	7.0065	88.5169
0.025005	0.4345	78.9824	6.44662	63.7625
0.025005	0.443	53.8364	6.04517	43.8516
0.025005	0.4515	34.864	5.82052	28.7934
0.025005	0.46	21.5834	5.76449	18.3115
0.025005	0.4685	13.1822	5.84459	11.6677
0.025005	0.477	8.71107	6.03879	7.90866
0.025005	0.4855	7.11813	6.37808	6.21012
0.025005	0.494	7.32614	6.84919	5.73431
0.025005	0.5025	8.32446	7.44016	5.76991
0.025005	0.511	9.47231	8.15042	5.84543
0.025005	0.5195	10.5549	8.97234	5.80641
0.025005	0.528	11.6336	9.89714	5.71097
0.025005	0.5365	13.0963	10.917	5.8714
0.025005	0.545	15.5608	12.0285	6.91507
0.025005	0.5535	20.0867	13.2256	9.62618
0.025005	0.562	27.6497	14.5027	14.8523
0.025005	0.5705	39.2314	15.8547	23.4764
0.025005	0.579	55.255	17.2766	36.3853
0.0256584	0.426	111.954	8.97376	92.116
0.0256584	0.4345	81.1005	8.63036	67.2116
0.0256584	0.443	56.1973	8.45119	47.1402
0.0256584	0.4515	37.468	8.44501	31.9184
0.0256584	0.46	24.4788	8.57471	21.2824
0.0256584	0.4685	16.2836	8.83595	14.5193
0.0256584	0.477	12.1132	9.23629	10.6661
0.0256584	0.4855	10.7882	9.77517	8.90352
0.0256584	0.494	11.2918	10.4331	8.39285
0.0256584	0.5025	12.5424	11.2113	8.41921
0.0256584	0.511	13.9648	12.1028	8.49763
0.0256584	0.5195	15.3062	13.0985	8.46335
0.0256584	0.528	16.6038	14.1903	8.36669
0.0256584	0.5365	18.232	15.3745	8.50508
0.0256584	0.545	20.8564	16.6449	9.49494
0.0256584	0.5535	25.4178	17.9958	12.114
0.0256584	0.562	32.9047	19.4217	17.2059
0.0256584	0.5705	44.2177	20.9176	25.6464
0.0256584	0.579	60.3544	22.4787	38.3347
