#	new0	0_E	0_M
0.0178175	8.60597	11.2689
0.0184709	6.25125	7.44955
0.0191243	4.1708	4.53705
0.0197777	2.39045	2.49042
0.0204311	1.15965	1.20375
0.0210845	0.280294	0.291798
0.021738	0	0
0.0223914	0.209316	0.21985
0.0230448	0.0534343	0.0853977
0.0236982	0.125002	0.155126
0.0243516	0.625594	0.678901
0.025005	1.35365	1.40716
0.0256584	2.34321	2.42154
