#	new0_fix	new11a	new11b
-3.14159	0.00590917	-0.00738672
-3.03687	0.00753749	-0.00943617
-2.93215	0.00799762	-0.00988662
-2.82743	0.00856871	-0.0106105
-2.72271	0.00861795	-0.0106816
-2.61799	0.00814791	-0.0100827
-2.51327	0.00619991	-0.0078595
-2.40855	0.00513083	-0.00637471
-2.30383	0.00377087	-0.00468026
-2.19911	0.0023929	-0.00319128
-2.0944	0.00141132	-0.00141051
-1.98968	0.000228536	-0.000241599
-1.88496	0.00365032	-0.00458808
-1.78024	0.00169514	-0.00213405
-1.67552	0.00043848	-0.000553129
-1.5708	0	0
-1.46608	0.00043646	-0.000497841
-1.36136	0.00174743	-0.00199095
-1.25664	0.0011519	-0.000155134
-1.15192	0.00129495	-0.00161362
-1.0472	0.00359566	-0.00453473
-0.942478	0.00448248	-0.0052764
-0.837758	0.00734152	-0.00863378
-0.733038	0.00791951	-0.00973296
-0.628319	0.0120574	-0.0149919
-0.523599	0.0167171	-0.0209624
-0.418879	0.0164343	-0.020878
-0.314159	0.008143	-0.0101345
-0.20944	0.0113512	-0.0142327
-0.10472	0.0140234	-0.0175874
-2.66454e-15	0.0170972	-0.0215727
0.10472	0.0192185	-0.0240899
0.20944	0.0122699	-0.0170121
0.314159	0.0147818	-0.0189801
0.418879	0.0150657	-0.0192818
0.523599	0.0155038	-0.0198527
0.628319	0.0738852	0.0410787
0.733038	0.00525111	-0.00694356
0.837758	0.00442987	-0.00590341
0.942478	0.00296845	-0.00394786
1.0472	0.00186851	-0.0025175
1.15192	0.0075221	-0.0030526
1.25664	0.00480069	-0.00641976
1.36136	0.00259647	-0.00353021
1.46608	0.000915415	-0.00130126
1.5708	5.45586e-05	-0.000104515
1.67552	0.00157591	-0.00221722
1.78024	-0.0395008	-0.000325036
1.88496	0.00017101	-0.000145788
1.98968	0.00168802	-0.00191432
2.0944	0.0048621	-0.00575445
2.19911	0.00123139	-0.00138117
2.30383	0.00406043	-0.00468539
2.40855	0.00179141	-0.00218188
2.51327	0.0041926	-0.0340544
2.61799	0.00803121	-0.00988558
2.72271	0.0119368	-0.0146306
2.82743	0.0148572	-0.00574295
2.93215	0.00708066	-0.00855628
3.03687	0.00997968	-0.0121044
3.14159	0.00590917	-0.00738672
