#x	y	new0_fix	new11a	new11b
0.426	0.002464	115.25	114.702	115.855
0.426	0.0024715	113.055	113.132	113.587
0.426	0.002479	111.654	111.156	111.978
0.426	0.0024865	111.33	110.694	110.959
0.426	0.002494	110.296	109.979	110.685
0.426	0.0025015	109.523	109.273	109.867
0.426	0.002509	109.546	109.333	109.358
0.426	0.0025165	109.262	109.076	109.469
0.426	0.002524	109.319	109.172	109.48
0.426	0.0025315	109.771	109.659	109.894
0.426	0.002539	110.63	110.548	110.721
0.426	0.0025465	111.878	111.812	111.95
0.426	0.002554	113.529	113.486	113.577
0.4345	0.002464	86.2748	86.1841	86.6409
0.4345	0.0024715	84.1189	83.6913	84.6444
0.4345	0.002479	81.8683	81.5592	82.0888
0.4345	0.0024865	80.3701	80.002	80.5291
0.4345	0.002494	79.1661	78.9206	79.2549
0.4345	0.0025015	78.394	78.2251	78.4673
0.4345	0.002509	77.6511	77.5074	77.8081
0.4345	0.0025165	77.2641	77.1562	77.3822
0.4345	0.002524	77.2403	77.1526	77.3363
0.4345	0.0025315	77.5847	77.5244	77.6507
0.4345	0.002539	78.3475	78.3096	78.389
0.4345	0.0025465	79.5438	79.523	79.5665
0.4345	0.002554	81.1492	81.1368	81.1626
0.443	0.002464	62.4998	62.056	62.909
0.443	0.0024715	59.7361	59.258	60.0069
0.443	0.002479	57.0337	56.7523	57.3135
0.443	0.0024865	55.1007	55.067	55.2791
0.443	0.002494	53.6688	53.5399	53.8642
0.443	0.0025015	52.8285	52.7135	52.9498
0.443	0.002509	52.0564	51.9744	52.1712
0.443	0.0025165	51.62	51.5563	51.6895
0.443	0.002524	51.5945	51.5471	51.6464
0.443	0.0025315	51.8983	51.8712	51.928
0.443	0.002539	52.6317	52.6192	52.6453
0.443	0.0025465	53.8101	53.8065	53.8138
0.443	0.002554	55.4502	55.4502	55.4503
0.4515	0.002464	43.4726	43.1346	43.8705
0.4515	0.0024715	40.3424	40.0561	40.6938
0.4515	0.002479	37.8589	37.6299	38.1168
0.4515	0.0024865	35.7599	35.5828	35.9358
0.4515	0.002494	34.2614	34.1333	34.3512
0.4515	0.0025015	33.3144	33.2441	33.2897
0.4515	0.002509	32.5849	32.5356	32.6388
0.4515	0.0025165	32.1664	32.1322	32.2473
0.4515	0.002524	32.1287	32.1118	32.1471
0.4515	0.0025315	32.5137	32.5081	32.5196
0.4515	0.002539	33.2011	33.1997	33.2026
0.4515	0.0025465	34.3364	34.3362	34.3367
0.4515	0.002554	35.9464	35.9416	35.9519
0.46	0.002464	29.8404	29.5775	30.1301
0.46	0.0024715	26.6217	26.4288	26.8503
0.46	0.002479	23.9848	23.8209	24.1785
0.46	0.0024865	21.9399	21.8191	22.042
0.46	0.002494	20.3107	20.2518	20.3789
0.46	0.0025015	19.3069	19.2901	19.4105
0.46	0.002509	18.7059	18.68	18.7355
0.46	0.0025165	18.3088	18.2975	18.3212
0.46	0.002524	18.2601	18.2555	18.2651
0.46	0.0025315	18.6392	18.6391	18.6394
0.46	0.002539	19.4421	19.4415	19.4429
0.46	0.0025465	20.6776	20.6713	20.6848
0.46	0.002554	22.4006	22.3833	22.4205
0.4685	0.002464	19.931	19.7544	20.1336
0.4685	0.0024715	17.1723	17.0317	17.3402
0.4685	0.002479	14.7112	14.6043	14.839
0.4685	0.0024865	12.7098	12.6397	12.7929
0.4685	0.002494	11.1213	11.0828	11.1679
0.4685	0.0025015	10.0655	10.0451	10.0894
0.4685	0.002509	9.50215	9.49184	9.51353
0.4685	0.0025165	9.16153	9.15841	9.16494
0.4685	0.002524	9.27296	9.27265	9.2733
0.4685	0.0025315	9.77435	9.77284	9.77607
0.4685	0.002539	10.726	10.7201	10.7326
0.4685	0.0025465	12.1058	12.0888	12.1252
0.4685	0.002554	13.9862	13.9533	14.024
0.477	0.002464	13.4377	13.311	13.5914
0.477	0.0024715	10.9009	10.7998	11.0235
0.477	0.002479	8.74449	8.67861	8.82409
0.477	0.0024865	6.97542	6.93413	7.02527
0.477	0.002494	5.57572	5.54807	5.60882
0.477	0.0025015	4.6163	4.60203	4.62634
0.477	0.002509	4.14458	4.14085	4.14872
0.477	0.0025165	3.97868	3.97842	3.97897
0.477	0.002524	4.2424	4.24165	4.24296
0.477	0.0025315	4.89524	4.88895	4.90233
0.477	0.002539	6.0144	6.00072	6.02988
0.477	0.0025465	7.56626	7.53748	7.59917
0.477	0.002554	9.54572	9.49707	9.60217
0.4855	0.002464	9.72839	9.63033	9.84923
0.4855	0.0024715	7.39703	7.32175	7.48982
0.4855	0.002479	5.45358	5.40862	5.50898
0.4855	0.0024865	3.92796	3.9003	3.95568
0.4855	0.002494	2.74513	2.73251	2.76053
0.4855	0.0025015	1.98018	1.97377	1.98792
0.4855	0.002509	1.61708	1.61625	1.61801
0.4855	0.0025165	1.62912	1.62892	1.62933
0.4855	0.002524	1.99993	1.99431	2.00622
0.4855	0.0025315	2.73168	2.71894	2.746
0.4855	0.002539	3.93306	3.9023	3.96096
0.4855	0.0025465	5.57005	5.52958	5.61685
0.4855	0.002554	7.73507	7.67591	7.8014
0.494	0.002464	7.92268	7.84131	8.02313
0.494	0.0024715	5.74353	5.68851	5.81236
0.494	0.002479	3.94773	3.91828	3.98473
0.494	0.0024865	2.56263	2.54479	2.5845
0.494	0.002494	1.53185	1.52679	1.53822
0.494	0.0025015	0.905971	0.904864	0.907001
0.494	0.002509	0.654873	0.654851	0.654901
0.494	0.0025165	0.741479	0.740012	0.743076
0.494	0.002524	1.21118	1.20194	1.22153
0.494	0.0025315	2.09062	2.07271	2.11082
0.494	0.002539	3.44579	3.41118	3.48137
0.494	0.0025465	5.24739	5.19976	5.30259
0.494	0.002554	7.585	7.53834	7.66235
