#x	y	new0_fix	new11a	new11b
0.426	-3.14159	166.213	165.889	166.241
0.426	-3.03687	154.904	154.598	154.879
0.426	-2.93215	144.856	144.551	145.111
0.426	-2.82743	136.185	135.954	136.44
0.426	-2.72271	128.918	128.689	129.169
0.426	-2.61799	123.087	122.859	123.329
0.426	-2.51327	118.542	118.325	118.778
0.426	-2.40855	115.139	114.931	115.366
0.426	-2.30383	112.711	112.514	112.928
0.426	-2.19911	111.027	110.836	111.226
0.426	-2.0944	109.996	109.822	110.187
0.426	-1.98968	109.476	109.278	109.652
0.426	-1.88496	109.262	109.076	109.469
0.426	-1.78024	109.288	109.117	109.476
0.426	-1.67552	109.476	109.273	109.358
0.426	-1.5708	109.614	109.636	109.521
0.426	-1.46608	109.291	110.053	110.324
0.426	-1.36136	110.11	109.917	110.841
0.426	-1.25664	110.618	110.766	110.809
0.426	-1.15192	111.756	111.298	111.599
0.426	-1.0472	111.684	111.522	113.165
0.426	-0.942478	114.379	113.646	113.57
0.426	-0.837758	116.395	116.227	116.932
0.426	-0.733038	119.781	119.628	119.948
0.426	-0.628319	124.308	124.168	124.459
0.426	-0.523599	130.099	130.018	130.236
0.426	-0.418879	137.166	137.33	137.292
0.426	-0.314159	145.762	145.655	145.877
0.426	-0.20944	155.969	155.87	156.076
0.426	-0.10472	167.581	167.48	167.68
0.426	-2.66454e-15	180.611	180.524	180.703
0.426	0.10472	196.188	195.114	195.229
0.426	0.20944	211.04	210.962	211.124
0.426	0.314159	228.12	228.044	228.652
0.426	0.418879	246.124	246.935	247.204
0.426	0.523599	264.908	264.809	265.749
0.426	0.628319	284.338	284.206	283.303
0.426	0.733038	302.793	302.658	302.117
0.426	0.837758	319.34	319.518	319.385
0.426	0.942478	335.957	335.146	335.282
0.426	1.0472	349.822	349.473	350.615
0.426	1.15192	362.736	362.605	362.007
0.426	1.25664	371.386	371.276	371.504
0.426	1.36136	377.773	377.651	376.944
0.426	1.46608	379.716	380.007	379.792
0.426	1.5708	379.178	378.982	379.12
0.426	1.67552	376.927	376.755	375.122
0.426	1.78024	367.844	367.753	367.943
0.426	1.88496	359.45	358.96	359.555
0.426	1.98968	345.675	346.469	346.993
0.426	2.0944	332.004	331.851	332.178
0.426	2.19911	315.182	313.705	315.719
0.426	2.30383	296.293	297.347	297.646
0.426	2.40855	279.187	279.403	280.407
0.426	2.51327	260.523	260.922	261.168
0.426	2.61799	242.938	242.683	243.215
0.426	2.72271	225.33	223.745	225.626
0.426	2.82743	207.356	208.353	208.66
0.426	2.93215	193.118	192.815	193.447
0.426	3.03687	178.936	178.621	178.716
0.426	3.14159	166.213	165.889	166.235
0.4345	-3.14159	132.249	132.108	132.464
0.4345	-3.03687	121.233	121.293	121.621
0.4345	-2.93215	111.746	111.589	111.918
0.4345	-2.82743	103.367	103.21	103.539
0.4345	-2.72271	96.4336	96.295	96.6184
0.4345	-2.61799	90.8862	90.7362	91.0508
0.4345	-2.51327	86.4859	86.3424	86.6435
0.4345	-2.40855	83.095	82.9588	83.2446
0.4345	-2.30383	80.6598	80.5318	80.8002
0.4345	-2.19911	79.0127	78.894	79.1429
0.4345	-2.0944	77.9916	77.8828	78.1108
