#x	y	new0_fix	new11a	new11b
-3.14159	0.002464	51.0094	50.7374	51.3452
-3.14159	0.0024715	48.3174	48.1067	48.5782
-3.14159	0.002479	46.051	45.8937	46.2461
-3.14159	0.0024865	44.2157	44.104	44.3546
-3.14159	0.002494	42.8075	42.7371	42.8949
-3.14159	0.0025015	41.8539	41.8127	41.9055
-3.14159	0.002509	41.3569	41.3374	41.3813
-3.14159	0.0025165	41.3274	41.3214	41.3347
-3.14159	0.002524	41.7719	41.7692	41.775
-3.14159	0.0025315	42.5945	42.5944	42.5948
-3.14159	0.002539	43.8144	43.8101	43.8194
-3.14159	0.0025465	45.5026	45.5009	45.5177
-3.14159	0.002554	47.7248	47.6983	47.7585
-3.03687	0.002464	43.2715	43.0126	43.5925
-3.03687	0.0024715	40.6387	40.44	40.8859
-3.03687	0.002479	38.4315	38.285	38.6141
-3.03687	0.0024865	36.6237	36.5056	36.7706
-3.03687	0.002494	35.2023	35.1268	35.296
-3.03687	0.0025015	34.2348	34.1895	34.2911
-3.03687	0.002509	33.72	33.6976	33.7483
-3.03687	0.0025165	33.6706	33.663	33.68
-3.03687	0.002524	34.0606	34.0572	34.0647
-3.03687	0.0025315	34.7789	34.7784	34.7784
-3.03687	0.002539	35.9835	35.9798	35.9876
-3.03687	0.0025465	37.6729	37.6719	37.6875
-3.03687	0.002554	39.8938	39.8665	39.9251
-2.93215	0.002464	36.4701	36.2038	36.8002
-2.93215	0.0024715	33.8356	33.6305	34.0905
-2.93215	0.002479	31.6243	31.4726	31.8136
-2.93215	0.0024865	29.8421	29.7356	29.9755
-2.93215	0.002494	28.4956	28.4262	28.5828
-2.93215	0.0025015	27.4753	27.4288	27.5333
-2.93215	0.002509	26.8747	26.8522	26.9026
-2.93215	0.0025165	26.735	26.727	26.7448
-2.93215	0.002524	27.0642	27.0633	27.0652
-2.93215	0.0025315	27.8473	27.847	27.8479
-2.93215	0.002539	29.0973	29.091	29.1042
-2.93215	0.0025465	30.8414	30.8237	30.8614
-2.93215	0.002554	33.0936	33.0669	33.1243
-2.82743	0.002464	30.6634	30.3929	30.9988
-2.82743	0.0024715	28.0306	27.822	28.29
-2.82743	0.002479	25.819	25.6643	26.0121
-2.82743	0.0024865	23.9962	23.894	24.1239
-2.82743	0.002494	22.5802	22.5075	22.6629
-2.82743	0.0025015	21.5362	21.4883	21.596
-2.82743	0.002509	20.9288	20.9054	20.9579
-2.82743	0.0025165	20.7816	20.773	20.7922
-2.82743	0.002524	21.1016	21.1005	21.1029
-2.82743	0.0025315	21.886	21.8855	21.8866
-2.82743	0.002539	23.1443	23.1381	23.1513
-2.82743	0.0025465	24.8958	24.8779	24.9159
-2.82743	0.002554	27.0598	27.032	27.0917
-2.72271	0.002464	25.7081	25.4472	26.0312
-2.72271	0.0024715	23.02	22.8199	23.2686
-2.72271	0.002479	20.7501	20.6028	20.9337
-2.72271	0.0024865	18.9044	18.8017	19.0328
-2.72271	0.002494	17.4896	17.4234	17.5727
-2.72271	0.0025015	16.5136	16.4758	16.5613
-2.72271	0.002509	15.9619	15.9383	15.9913
-2.72271	0.0025165	15.8125	15.8039	15.8232
-2.72271	0.002524	16.1292	16.1281	16.1306
