#x	y	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
0.0178175	0.426	608.402	598.176	583.407	574.108	568.526	564.567
0.0178175	0.4345	478.119	468.639	454.871	446.013	440.647	437.133
0.0178175	0.443	377.151	368.366	355.697	347.635	342.597	339.009
0.0178175	0.4515	301.771	293.648	281.725	273.999	269.233	266.047
0.0178175	0.46	245.942	238.46	227.594	220.63	216.365	213.113
0.0178175	0.4685	206.228	199.343	189.436	182.862	178.545	175.666
0.0178175	0.477	177.905	171.531	162.21	156.143	152.367	149.841
0.0178175	0.4855	156.77	150.996	142.509	137.069	133.746	131.168
0.0178175	0.494	140.205	134.937	127.28	122.415	119.109	116.751
0.0178175	0.5025	125.772	120.982	114.083	109.655	106.539	104.446
0.0178175	0.511	112.045	107.705	101.483	97.4934	94.694	92.829
0.0178175	0.5195	98.7072	94.7908	89.1795	85.5831	83.2558	81.582
0.0178175	0.528	86.5698	83.0505	77.9863	74.7474	72.8969	71.5096
0.0178175	0.5365	77.5144	74.3669	69.771	66.874	65.1685	64.1114
0.0178175	0.545	74.2555	71.4494	67.3694	64.7514	63.1873	62.1802
0.0178175	0.5535	79.5709	77.0882	73.5407	71.3498	70.1442	69.455
0.0178175	0.562	98.3972	96.2146	93.0979	91.1417	90.0343	89.4015
0.0178175	0.5705	134.709	132.799	130.031	128.317	127.376	126.839
0.0178175	0.579	193.044	191.39	189.03	187.578	186.782	186.327
0.0184709	0.426	565.34	556.77	544.414	536.658	531.901	528.458
0.0184709	0.4345	435.614	427.749	416.309	408.939	404.429	401.428
0.0184709	0.443	335.298	328.086	317.705	311.099	306.908	303.834
0.0184709	0.4515	260.737	254.144	244.488	238.177	234.21	231.535
0.0184709	0.46	205.954	199.957	191.241	185.653	182.235	179.503
0.0184709	0.4685	167.406	161.96	154.14	148.932	145.425	143.054
0.0184709	0.477	140.459	135.459	128.18	123.411	120.413	118.391
0.0184709	0.4855	120.809	116.38	109.848	105.665	103.093	101.08
0.0184709	0.494	105.861	101.889	96.1174	92.459	89.9521	88.0919
0.0184709	0.5025	93.1439	89.6001	84.515	81.2512	78.9092	77.3076
0.0184709	0.511	81.1913	78.047	73.548	70.6774	68.6438	67.2642
0.0184709	0.5195	69.641	66.8681	62.9036	60.3761	58.7931	57.5573
0.0184709	0.528	59.2566	56.8281	53.3531	51.1138	49.8756	49.0067
0.0184709	0.5365	51.8729	49.7624	46.6774	44.7293	43.6093	42.9246
0.0184709	0.545	50.1938	48.3714	45.6884	44.0022	42.962	42.3456
0.0184709	0.5535	56.9026	55.3483	53.1322	51.7691	51.0216	50.5951
0.0184709	0.562	76.9305	75.62	73.753	72.6055	71.9378	71.557
0.0184709	0.5705	114.271	113.148	111.55	110.568	110.031	109.725
0.0184709	0.579	173.375	172.479	171.205	170.424	169.998	169.755
0.0191243	0.426	527.197	520.126	509.949	503.58	499.598	496.638
0.0191243	0.4345	398.08	391.668	382.321	376.286	372.552	370.027
