#	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
0.002464	0.42155	1.18733	1.95592	2.57355	3.01813
0.0024715	0.334089	0.937499	1.46732	1.89023	2.20241
0.002479	0.169106	0.506029	0.877797	1.08041	1.33721
0.0024865	0.109772	0.352796	0.500706	0.593488	0.745787
0.002494	0.0696197	0.168215	0.228104	0.260611	0.292128
0.0025015	0.015572	0.0376013	0.0509591	0.0581988	0.0622965
0.002509	0	0	0	0	0
0.0025165	0.00749083	0.0180971	0.0245222	0.028003	0.0299726
0.002524	0.0433202	0.10464	0.141861	0.172489	0.210934
0.0025315	0.0648945	0.211695	0.336039	0.505338	0.601968
0.002539	0.0647299	0.353488	0.547751	0.653429	0.940904
0.0025465	0.224151	0.542025	0.970943	1.27419	1.74936
0.002554	0.223745	0.902291	1.37827	2.06441	2.62718
