#	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
0.426	0.103185	0.249397	0.338322	0.38668	0.414162
0.4345	0.0309887	0.0748569	0.101502	0.115988	0.124233
0.443	0.00067813	0.00296582	0.06163	0.104078	0.128182
0.4515	0.0151184	0.0365142	0.0495049	0.0565687	0.0605941
0.46	5.20184e-05	0.00013981	0.000196084	0.000234584	0.000265798
0.4685	0.0058852	0.0142226	0.019283	0.0220381	0.0236133
0.477	0.0010074	0.00245026	0.00332132	0.00379593	0.00406813
0.4855	0.0115751	0.0279695	0.0483981	0.0626308	0.0706699
0.494	0.00480487	0.0115934	0.0157107	0.0179346	0.0191931
0.5025	0.00746916	0.0424547	0.0788656	0.0985307	0.109645
0.511	0.00209323	0.00505101	0.00684075	0.0078092	0.00835695
0.5195	0.0158192	0.0571191	0.0837259	0.0981017	0.106224
0.528	0	0	0	0	0
0.5365	0.0154873	0.0373596	0.0505817	0.0577316	0.0617749
0.545	0.00721023	0.0174191	0.0236033	0.0269537	0.0288495
0.5535	0.00109481	0.0026628	0.00360927	0.00412483	0.00442035
0.562	0.0273848	0.0660511	0.0894185	0.102057	0.10921
0.5705	0.00405375	0.00978728	0.0132637	0.0151605	0.0162326
0.579	0.00376121	0.00907973	0.0123061	0.0140727	0.0150812
