#	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
0.0178175	2.80608	6.8861	9.50404	11.0682	12.0752
0.0184709	1.82241	4.50537	6.19155	7.23182	7.84823
0.0191243	1.23607	3.11554	4.3107	4.96563	5.3795
0.0197777	0.66603	1.63744	2.2685	2.61319	2.80931
0.0204311	0.250735	0.606381	0.853419	0.989065	1.06608
0.0210845	0.0350549	0.0846683	0.114778	0.131109	0.148555
0.0217379	0	0	0	0	0
0.0223914	0.00209323	0.0152969	0.0419037	0.0562795	0.0644014
0.0230448	0.00480487	0.0115934	0.0157107	0.0179346	0.0191931
0.0236982	0.127493	0.307262	0.415586	0.473998	0.506954
0.0243516	0.20942	0.504468	0.697691	0.810304	0.873781
0.025005	0.449497	1.22433	1.73382	2.00733	2.16122
0.0256584	0.488157	1.85327	2.78917	3.29009	3.57141
