#x	y	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
-3.14159	0.002464	197.948	179.323	149.553	129.241	117.119	109.701
-3.14159	0.0024715	176.872	158.381	128.717	108.349	96.3793	88.9951
-3.14159	0.002479	158.805	140.331	110.808	90.4657	78.5851	71.2979
-3.14159	0.0024865	143.747	125.293	95.9062	75.59	63.7632	56.6093
-3.14159	0.002494	131.699	113.062	84.0111	63.7218	51.9475	44.929
-3.14159	0.0025015	122.496	103.706	74.8425	54.8604	43.1368	36.2562
-3.14159	0.002509	116.06	97.3533	68.5461	49.0037	37.22	30.0871
-3.14159	0.0025165	112.627	94.0003	65.2496	45.9326	33.9924	26.8881
-3.14159	0.002524	111.888	93.6439	64.9496	45.7106	33.7608	26.6843
-3.14159	0.0025315	113.857	95.9251	67.6422	47.9814	36.5213	29.4716
-3.14159	0.002539	118.811	100.885	72.78	53.0627	41.7001	35.0821
-3.14159	0.0025465	126.742	108.824	80.8242	61.1208	49.7996	43.2059
-3.14159	0.002554	137.646	119.737	91.8379	72.1495	60.8682	54.2981
-3.03687	0.002464	175.883	160.716	136.965	120.987	111.197	105.376
-3.03687	0.0024715	154.91	139.746	116.201	100.151	90.5047	84.7133
-3.03687	0.002479	136.944	121.786	98.4451	82.3225	72.8213	67.0581
-3.03687	0.0024865	121.987	106.835	83.6989	67.5009	58.147	52.4112
-3.03687	0.002494	109.972	94.893	71.9617	55.6863	46.4814	40.7722
-3.03687	0.0025015	100.629	85.9598	62.8933	46.8777	37.7294	32.1402
-3.03687	0.002509	94.2898	79.8634	56.6615	41.0733	31.7114	26.1112
-3.03687	0.0025165	90.9517	76.5922	53.4289	38.1217	28.5281	22.9516
-3.03687	0.002524	90.6116	76.3167	53.192	37.8949	28.3403	22.7869
-3.03687	0.0025315	93.2045	78.3887	55.9469	40.3743	31.1441	25.6128
-3.03687	0.002539	98.2475	83.4276	61.2562	45.5048	36.6234	31.4097
-3.03687	0.0025465	106.268	91.4449	69.304	53.6116	44.764	39.5186
-3.03687	0.002554	117.258	102.434	80.3241	64.6884	55.8733	50.5986
-2.93215	0.002464	155.743	144.03	125.567	113.215	105.539	101.088
-2.93215	0.0024715	134.984	123.194	104.917	92.5715	84.9409	80.5141
-2.93215	0.002479	117.235	105.366	87.2753	74.8431	67.3511	62.9476
-2.93215	0.0024865	102.393	90.5469	72.6126	60.1215	52.7698	48.3888
-2.93215	0.002494	90.5191	78.7362	60.8348	48.4064	41.1968	36.8376
-2.93215	0.0025015	81.5403	69.9326	52.0645	39.6967	32.6311	28.2928
-2.93215	0.002509	75.3409	64.1345	46.168	33.9906	26.7073	22.4205
-2.93215	0.0025165	72.1415	61.0054	43.0447	30.979	23.6153	19.3477
-2.93215	0.002524	71.9386	60.7961	42.9163	30.8504	23.5183	19.2693
-2.93215	0.0025315	74.5752	63.1881	45.7788	33.7019	26.4123	22.1811
-2.93215	0.002539	79.6882	68.3503	50.9678	38.9283	32.1709	27.9528
-2.93215	0.0025465	87.7807	76.4899	59.1226	47.1303	40.3998	36.1479
-2.93215	0.002554	98.8461	87.6004	70.2488	58.3017	51.597	47.3136
-2.82743	0.002464	138.15	129.195	115.355	105.862	100.142	96.8358
-2.82743	0.0024715	117.434	108.617	94.8625	85.3697	79.6832	76.3965
-2.82743	0.002479	99.7277	91.0501	77.3121	67.8867	62.2322	58.9641
-2.82743	0.0024865	85.0305	76.4307	62.6833	53.4129	47.7893	44.5392
-2.82743	0.002494	73.3423	64.7929	51.0623	41.8744	36.3542	33.1214
-2.82743	0.0025015	64.6623	56.1612	42.448	33.3085	27.9258	24.7094
-2.82743	0.002509	58.9884	50.3071	36.8387	27.7208	22.2013	19.012
-2.82743	0.0025165	56.199	47.2703	34.086	24.7401	19.2466	16.0725
-2.82743	0.002524	56.1747	47.2306	34.1101	24.755	19.2864	16.1268
