#x	y	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
0.426	0.002464	479.713	478.387	475.771	473.257	471.224	469.633
0.426	0.0024715	456.832	455.752	453.329	451.108	449.398	448.145
0.426	0.002479	436.892	435.804	433.765	431.899	430.5	429.282
0.426	0.0024865	419.75	418.797	417.141	415.539	414.221	413.328
0.426	0.002494	405.263	404.63	403.154	401.841	400.879	400.069
0.426	0.0025015	393.712	393.072	392.006	391.033	390.185	389.657
0.426	0.002509	384.76	384.4	383.527	382.808	382.27	381.833
0.426	0.0025165	378.6	378.262	377.745	377.251	376.941	376.659
0.426	0.002524	374.936	374.728	374.433	374.204	374.029	373.93
0.426	0.0025315	373.628	373.525	373.379	373.29	373.242	373.214
0.426	0.002539	374.555	374.387	374.15	374.005	373.89	373.813
0.426	0.0025465	377.762	377.474	377.064	376.679	376.435	376.249
0.426	0.002554	383.465	383.129	382.397	381.79	381.36	381.002
0.4345	0.002464	346.169	345.12	343.133	341.064	339	337.549
0.4345	0.0024715	324.545	323.769	321.89	320.182	318.503	317.181
0.4345	0.002479	305.873	305.09	303.597	302.243	300.827	299.631
0.4345	0.0024865	290.056	289.362	288.239	287.007	285.901	285.012
0.4345	0.002494	276.859	276.453	275.449	274.602	273.864	273.031
0.4345	0.0025015	266.608	266.197	265.604	264.904	264.449	263.891
0.4345	0.002509	258.949	258.756	258.293	257.932	257.607	257.387
0.4345	0.0025165	254.037	253.941	253.662	253.491	253.346	253.233
0.4345	0.002524	251.594	251.555	251.495	251.419	251.378	251.355
0.4345	0.0025315	251.38	251.349	251.306	251.279	251.264	251.256
0.4345	0.002539	253.251	253.189	253.021	252.899	252.832	252.795
0.4345	0.0025465	257.525	257.383	257.035	256.766	256.566	256.397
0.4345	0.002554	264.44	264.129	263.65	263.108	262.766	262.453
0.443	0.002464	244.595	243.781	242.003	239.883	238.244	237.111
0.443	0.0024715	224.234	223.71	222.088	220.326	219.013	217.876
0.443	0.002479	206.835	206.306	205.135	203.697	202.446	201.602
0.443	0.0024865	192.339	191.86	190.924	189.697	188.806	188.067
0.443	0.002494	180.434	180.204	179.495	178.644	177.857	177.382
0.443	0.0025015	171.485	171.251	170.817	170.165	169.696	169.309
0.443	0.002509	165.114	165.034	164.847	164.399	164.138	163.897
0.443	0.0025165	161.442	161.424	161.367	161.162	161.023	160.944
0.443	0.002524	160.199	160.198	160.196	160.137	160.095	160.07
0.443	0.0025315	160.858	160.85	160.839	160.829	160.772	160.739
0.443	0.002539	163.703	163.656	163.588	163.502	163.299	163.184
0.443	0.0025465	169.145	168.986	168.76	168.551	168.177	167.941
0.443	0.002554	177.171	177.011	176.536	176.19	175.591	175.22
0.4515	0.002464	170.074	169.374	167.582	165.944	164.712	163.747
0.4515	0.0024715	151.017	150.337	148.91	147.632	146.584	145.757
0.4515	0.002479	134.932	134.247	133.21	132.095	131.237	130.636
0.4515	0.0024865	121.443	121.108	120.145	119.357	118.742	118.255
0.4515	0.002494	110.871	110.532	109.986	109.379	108.968	108.615
0.4515	0.0025015	103.026	102.879	102.437	102.14	101.846	101.655
0.4515	0.002509	97.9259	97.7904	97.5782	97.4492	97.3206	97.2274
0.4515	0.0025165	95.3005	95.2796	95.2017	95.1521	95.1251	95.1098
0.4515	0.002524	94.9687	94.9536	94.9322	94.9192	94.9121	94.9081
0.4515	0.0025315	96.6648	96.6264	96.5579	96.4683	96.4197	96.392
0.4515	0.002539	100.768	100.664	100.429	100.211	100.092	99.9827
0.4515	0.0025465	107.512	107.259	106.9	106.443	106.188	105.942
0.4515	0.002554	116.924	116.67	115.91	115.327	114.837	114.499
0.46	0.002464	117.763	117.274	115.932	114.736	113.681	112.607
0.46	0.0024715	99.8945	99.4407	98.4512	97.6162	96.7124	95.875
0.46	0.002479	85.0063	84.5481	83.8972	83.1149	82.6288	81.9384
0.46	0.0024865	72.7546	72.572	71.9765	71.5747	71.1249	70.8329
0.46	0.002494	63.3954	63.2098	62.9467	62.6262	62.4045	62.2786
0.46	0.0025015	56.7427	56.6891	56.5549	56.3918	56.3032	56.2529
0.46	0.002509	52.7893	52.7821	52.7509	52.7033	52.6775	52.6629
0.46	0.0025165	51.2709	51.2708	51.2707	51.2707	51.2706	51.2706
0.46	0.002524	51.7879	51.786	51.7834	51.7818	51.781	51.7805
0.46	0.0025315	54.3552	54.3261	54.2848	54.2598	54.2462	54.2385
0.46	0.002539	59.5187	59.3954	59.2206	59.1143	58.9879	58.8969
0.46	0.0025465	67.2561	67.1326	66.7671	66.4735	66.253	66.0516
0.46	0.002554	77.8594	77.5205	77.0396	76.4939	76.1409	75.8186
0.4685	0.002464	83.8797	83.522	82.078	80.7976	79.8147	78.9674
0.4685	0.0024715	67.1143	66.807	65.7583	64.7252	63.8538	63.2896
0.4685	0.002479	53.3355	53.0574	52.1881	51.3873	50.8179	50.3137
0.4685	0.0024865	42.2367	42.0146	41.4428	40.8916	40.4634	40.1365
0.4685	0.002494	34.0002	33.8338	33.4056	33.1272	32.8233	32.6505
0.4685	0.0025015	28.3696	28.2454	28.0694	27.9388	27.7947	27.7129
0.4685	0.002509	25.3356	25.2926	25.2316	25.1946	25.1745	25.1631
0.4685	0.0025165	24.6425	24.6367	24.6283	24.6233	24.6205	24.6189
0.4685	0.002524	26.0099	25.9823	25.9434	25.9198	25.9069	25.8997
0.4685	0.0025315	29.5801	29.5797	29.4938	29.3221	29.218	29.1589
0.4685	0.002539	35.5919	35.5515	35.4944	35.1738	34.9421	34.8104
0.4685	0.0025465	44.4734	44.2865	44.0215	43.6797	43.2249	42.9659
0.4685	0.002554	55.9183	55.7317	55.3704	54.7738	54.2083	53.7457
0.477	0.002464	62.8194	62.4071	61.3534	60.4736	59.6825	59.1384
0.477	0.0024715	47.0843	46.6684	46.0113	45.2364	44.7009	44.247
0.477	0.002479	34.1581	33.9242	33.3278	32.8827	32.4558	32.2128
0.477	0.0024865	23.9802	23.8193	23.571	23.2029	23.0022	22.8467
0.477	0.002494	16.6617	16.6201	16.3991	16.258	16.1813	16.1153
0.477	0.0025015	12.0152	11.9722	11.9113	11.8744	11.8543	11.843
0.477	0.002509	9.87725	9.87625	9.8748	9.87393	9.87346	9.87319
0.477	0.0025165	9.8979	9.89517	9.89131	9.88898	9.88771	9.88699
0.477	0.002524	11.9541	11.9326	11.9022	11.8837	11.8737	11.868
0.477	0.0025315	16.4251	16.3776	16.2273	16.136	16.0864	16.0582
0.477	0.002539	23.4874	23.3815	23.1643	22.898	22.7529	22.6401
0.477	0.0025465	33.459	33.1539	32.7181	32.3202	31.9917	31.8048
0.477	0.002554	45.9757	45.6689	45.0453	44.4453	43.9373	43.5739
0.4855	0.002464	51.6323	51.3834	50.4924	49.4713	48.5174	47.9014
0.4855	0.0024715	36.7134	36.4618	35.9283	35.0113	34.4009	33.8534
0.4855	0.002479	24.6679	24.5387	24.0427	23.5151	22.9742	22.66
0.4855	0.0024865	15.3143	15.248	15.0257	14.6249	14.3344	14.1682
0.4855	0.002494	8.82956	8.82591	8.70718	8.45634	8.3198	8.24229
0.4855	0.0025015	5.00423	4.9852	4.92987	4.8449	4.78955	4.75818
0.4855	0.002509	3.53289	3.52132	3.50492	3.48449	3.47026	3.46222
0.4855	0.0025165	4.09166	4.07626	4.0545	4.03767	4.01995	4.00994
0.4855	0.002524	6.64057	6.64056	6.64055	6.64055	6.64054	6.64054
0.4855	0.0025315	11.7508	11.7178	11.671	11.6426	11.5879	11.4607
0.4855	0.002539	19.6049	19.5505	19.311	19.1652	18.9751	18.724
0.4855	0.0025465	30.1251	29.9566	29.7179	29.3525	29.0128	28.6038
0.4855	0.002554	43.4966	43.3285	42.7426	42.3334	41.6954	41.2261
0.494	0.002464	46.0402	45.637	44.799	44.0472	43.3527	42.9121
0.494	0.0024715	31.7803	31.3736	30.7962	30.1801	29.7664	29.4132
0.494	0.002479	20.1211	19.9661	19.5313	19.1754	18.8996	18.6624
0.494	0.0024865	11.4329	11.2755	11.0524	10.9097	10.7136	10.6023
0.494	0.002494	5.36754	5.32668	5.26885	5.22167	5.14665	5.10412
0.494	0.0025015	1.99885	1.99537	1.99044	1.98745	1.98583	1.98491
0.494	0.002509	1.02917	1.02436	1.01758	1.01346	1.01123	1.00998
0.494	0.0025165	2.01897	2.01857	2.01802	2.01767	2.01749	2.01738
0.494	0.002524	5.24659	5.22552	5.19572	5.17764	5.15645	5.12888
0.494	0.0025315	11.0791	10.9754	10.8286	10.7302	10.588	10.5074
0.494	0.002539	19.5947	19.4912	19.0835	18.8235	18.5825	18.3995
0.494	0.0025465	30.8781	30.5783	30.1529	29.5778	29.2572	28.9134
0.494	0.002554	44.9169	44.6174	43.8077	43.1713	42.5493	42.1667
0.5025	0.002464	43.9586	43.7107	43.0743	42.0715	41.2295	40.6851
0.5025	0.0024715	30.0956	29.845	29.3946	28.6282	28.076	27.6134
0.5025	0.002479	18.9383	18.8724	18.5535	18.015	17.6362	17.3196
0.5025	0.0024865	10.6484	10.5811	10.4045	10.1464	9.87947	9.71094
0.5025	0.002494	5.03644	5.03223	4.95795	4.84977	4.73491	4.65418
0.5025	0.0025015	2.07814	2.07201	2.02318	1.98414	1.96296	1.95096
0.5025	0.002509	1.3573	1.34983	1.31485	1.27843	1.25877	1.24765
0.5025	0.0025165	2.58399	2.57017	2.55067	2.53888	2.5325	2.5289
0.5025	0.002524	6.05022	6.05016	6.05007	6.03818	6.01159	5.95193
0.5025	0.0025315	12.0848	12.0507	12.0026	11.9303	11.7591	11.6286
0.5025	0.002539	20.9778	20.8091	20.5699	20.4244	20.067	19.8131
0.5025	0.0025465	32.4473	32.2792	31.9502	31.5443	31.0693	30.6189
0.5025	0.002554	46.8884	46.6567	45.9944	45.4946	44.7547	44.1698
0.511	0.002464	43.1522	42.7307	41.9649	41.1963	40.5787	40.1341
0.511	0.0024715	29.3729	29.0388	28.4354	27.9056	27.4827	27.2161
0.511	0.002479	18.251	18.0819	17.745	17.3732	17.1706	16.9527
0.511	0.0024865	10.0735	9.96372	9.7207	9.57279	9.48	9.36373
0.511	0.002494	4.5016	4.45228	4.38247	4.34007	4.31707	4.30404
0.511	0.0025015	1.56239	1.55585	1.54659	1.54098	1.53794	1.53622
0.511	0.002509	0.912324	0.910231	0.907273	0.905484	0.904515	0.903968
0.511	0.0025165	2.28988	2.2881	2.28559	2.28406	2.28324	2.28277
0.511	0.002524	6.00975	5.9823	5.94346	5.88039	5.82609	5.79531
0.511	0.0025315	12.3402	12.2246	12.0608	11.8884	11.7384	11.6532
0.511	0.002539	21.4048	21.2505	20.8003	20.5258	20.2123	20.0242
0.511	0.0025465	33.1817	32.8653	32.3618	31.7584	31.3745	31.0143
0.511	0.002554	47.7693	47.4534	46.5487	45.8241	45.1945	44.7394
0.5195	0.002464	43.4111	43.1425	42.5681	41.5807	40.7348	40.1741
0.5195	0.0024715	29.6285	29.3572	28.972	28.2012	27.6225	27.1705
0.5195	0.002479	18.4796	18.401	18.187	17.6097	17.2456	16.9138
0.5195	0.0024865	10.2638	10.1837	10.0404	9.75022	9.50908	9.3277
0.5195	0.002494	4.64402	4.63572	4.58597	4.45496	4.37301	4.28232
0.5195	0.0025015	1.67677	1.67427	1.641	1.58698	1.55766	1.54105
0.5195	0.002509	0.954147	0.938328	0.897028	0.870421	0.856045	0.847923
0.5195	0.0025165	2.16799	2.16012	2.14898	2.14224	2.1386	2.13654
0.5195	0.002524	5.68905	5.68786	5.68616	5.67546	5.58587	5.51736
0.5195	0.0025315	11.7805	11.7369	11.6752	11.5925	11.3422	11.1999
0.5195	0.002539	20.7242	20.5377	20.2733	20.0927	19.6503	19.3822
0.5195	0.0025465	32.2141	32.0283	31.6733	31.1957	30.6413	30.1752
0.5195	0.002554	46.6748	46.4284	45.7324	45.1318	44.3175	43.7008
0.528	0.002464	44.9475	44.4786	43.6218	42.801	42.1137	41.6503
0.528	0.0024715	30.7201	30.3527	29.6818	29.0806	28.629	28.3069
0.528	0.002479	19.1552	18.9525	18.5528	18.1396	17.9073	17.6484
0.528	0.0024865	10.5141	10.3868	10.0958	9.9187	9.78047	9.65127
0.528	0.002494	4.48554	4.41592	4.31733	4.25744	4.22493	4.19342
0.528	0.0025015	1.0757	1.06012	1.0381	1.02474	1.0175	1.0134
0.528	0.002509	0	0	0	0	0	0
0.528	0.0025165	1.03898	1.03149	1.02088	1.01445	1.01097	1.009
0.528	0.002524	4.36269	4.31937	4.25805	4.22083	4.1902	4.15175
0.528	0.0025315	10.2973	10.153	9.94864	9.8243	9.655	9.55837
0.528	0.002539	18.8431	18.6991	18.2504	17.9391	17.6654	17.4623
0.528	0.0025465	30.206	29.8475	29.3386	28.7056	28.3446	27.9667
0.528	0.002554	44.2619	43.9038	43.0075	42.2847	41.6242	41.1854
0.5365	0.002464	49.3459	49.0325	48.3081	47.6871	46.7425	46.1117
0.5365	0.0024715	34.6581	34.3419	33.8933	33.4039	32.8109	32.227
0.5365	0.002479	22.6358	22.5299	22.1944	21.9181	21.504	21.1435
0.5365	0.0024865	13.4946	13.3869	13.2344	13.1417	12.924	12.7193
0.5365	0.002494	6.9841	6.96472	6.93731	6.92068	6.91167	6.82562
0.5365	0.0025015	3.12948	3.12948	3.12948	3.12947	3.12947	3.12946
0.5365	0.002509	1.65755	1.64206	1.62019	1.60697	1.59982	1.59577
0.5365	0.0025165	2.17735	2.17591	2.17386	2.17263	2.17195	2.17157
0.5365	0.002524	4.88535	4.8784	4.86857	4.86261	4.85938	4.85754
0.5365	0.0025315	10.1603	10.0954	10.0035	9.94773	9.91743	9.87899
0.5365	0.002539	18.0838	18.019	17.7303	17.536	17.4303	17.1429
0.5365	0.0025465	28.7315	28.5073	28.1895	27.7605	27.4573	26.9821
0.5365	0.002554	42.1526	41.9289	41.2503	40.7744	40.0882	39.5255
0.545	0.002464	59.8011	59.2513	58.1392	57.1996	56.3273	55.7808
0.545	0.0024715	44.3107	43.7718	42.9856	42.1573	41.6407	41.1404
0.545	0.002479	31.3768	31.116	30.4917	30.0076	29.5731	29.2856
0.545	0.0024865	21.4335	21.17	20.7962	20.4996	20.2334	20.082
0.545	0.002494	14.0321	13.9249	13.7731	13.6043	13.4789	13.4078
0.545	0.0025015	9.33356	9.29725	9.24585	9.21466	9.18631	9.15741
0.545	0.002509	7.10889	7.09801	7.08261	7.07328	7.06822	7.06536
0.545	0.0025165	7.05438	7.04717	7.03696	7.03077	7.02742	7.02553
0.545	0.002524	9.25072	9.22718	9.14613	9.08229	9.04764	9.02801
0.545	0.0025315	13.8667	13.7925	13.5803	13.4124	13.321	13.2692
0.545	0.002539	21.101	20.9067	20.6036	20.2292	20.0252	19.8679
0.545	0.0025465	31.1162	30.7932	30.1815	29.6684	29.267	29.0087
0.545	0.002554	43.7593	43.3291	42.5287	41.7963	41.1696	40.761
0.5535	0.002464	78.2713	77.8837	76.8595	76.0327	75.3117	74.8215
0.5535	0.0024715	61.8612	61.4707	60.8622	60.1484	59.694	59.2807
0.5535	0.002479	48.2379	48.04	47.481	47.1282	46.7354	46.5119
0.5535	0.0024865	37.3421	37.1864	36.9657	36.6819	36.4942	36.3876
0.5535	0.002494	29.2128	29.1692	29.0444	28.9081	28.834	28.792
0.5535	0.0025015	23.7466	23.7414	23.6964	23.6579	23.637	23.6251
0.5535	0.002509	20.7172	20.717	20.7168	20.7166	20.7165	20.7164
0.5535	0.0025165	19.9432	19.9421	19.9406	19.9396	19.9391	19.9388
0.5535	0.002524	21.2334	21.2321	21.2304	21.2293	21.2287	21.2284
0.5535	0.0025315	24.9011	24.8774	24.8439	24.7661	24.7175	24.69
0.5535	0.002539	31.1402	31.0366	30.8898	30.7151	30.5789	30.5016
0.5535	0.0025465	40.1302	39.9265	39.5173	39.2647	38.9623	38.7903
0.5535	0.002554	51.7161	51.4282	50.9096	50.3573	49.9828	49.6522
0.562	0.002464	110.106	109.727	108.853	108.094	107.249	106.399
0.562	0.0024715	92.6338	92.3768	91.7959	91.2579	90.5331	89.9811
0.562	0.002479	78.1341	77.8745	77.5062	77.1681	76.6727	76.2362
0.562	0.0024865	66.2477	66.1709	65.9707	65.7437	65.5131	65.1809
0.562	0.002494	57.2388	57.1605	57.0495	56.9821	56.9226	56.7364
0.562	0.0025015	50.7688	50.7599	50.7473	50.7397	50.7355	50.7331
0.562	0.002509	46.9051	46.9034	46.9008	46.8993	46.8985	46.898
0.562	0.0025165	45.3053	45.2779	45.2392	45.2158	45.2032	45.196
0.562	0.002524	45.6888	45.6821	45.6726	45.6668	45.6637	45.6619
0.562	0.0025315	48.2969	48.2955	48.2936	48.2925	48.2918	48.2914
0.562	0.002539	53.4279	53.3862	53.3272	53.2914	53.238	53.0923
0.562	0.0025465	61.2523	61.1645	60.9158	60.7644	60.4953	60.2279
0.562	0.002554	71.6655	71.4904	71.235	70.828	70.3596	69.9115
0.5705	0.002464	159.401	158.957	158.031	156.789	155.905	155.146
0.5705	0.0024715	140.878	140.726	139.775	138.921	138.107	137.627
0.5705	0.002479	125.213	125.059	124.381	123.635	123.17	122.731
0.5705	0.0024865	112.408	112.176	111.627	111.185	110.832	110.566
0.5705	0.002494	102.171	101.936	101.602	101.387	101.144	101.006
0.5705	0.0025015	94.4271	94.3354	94.2056	94.1106	93.9985	93.9349
0.5705	0.002509	89.3394	89.311	89.2708	89.2464	89.2331	89.2256
0.5705	0.0025165	86.6899	86.6829	86.673	86.667	86.6637	86.6619
0.5705	0.002524	86.1744	86.1703	86.1646	86.1611	86.1592	86.1581
0.5705	0.0025315	87.8995	87.8825	87.8344	87.7824	87.7541	87.7381
0.5705	0.002539	92.0095	91.9488	91.783	91.6374	91.5583	91.5134
0.5705	0.0025465	98.6924	98.5237	98.2782	97.9433	97.7608	97.6572
0.5705	0.002554	108.127	107.818	107.27	106.827	106.461	106.253
0.579	0.002464	230.433	229.726	228.654	227.455	226.604	225.949
0.579	0.0024715	210.562	210.206	209.186	208.375	207.699	207.218
0.579	0.002479	193.627	193.268	192.668	192.004	191.566	191.178
0.579	0.0024865	179.504	179.281	178.767	178.432	178.066	177.858
0.579	0.002494	168.015	167.875	167.677	167.407	167.234	167.136
0.579	0.0025015	159.289	159.252	159.129	159.007	158.941	158.903
0.579	0.002509	153.181	153.177	153.124	153.092	153.074	153.064
0.579	0.0025165	149.473	149.472	149.471	149.471	149.47	149.47
0.579	0.002524	148.029	148.025	148.019	148.016	148.014	148.013
0.579	0.0025315	148.608	148.608	148.608	148.607	148.607	148.607
0.579	0.002539	151.513	151.495	151.469	151.453	151.443	151.419
0.579	0.0025465	156.94	156.85	156.724	156.647	156.526	156.456
0.579	0.002554	165.022	164.88	164.512	164.288	164.084	163.926
