#x	y	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
0.0178175	-3.14159	249.751	213.854	160.613	126.054	106.255	94.6387
0.0178175	-3.03687	219.961	189.111	143.898	114.688	98.0156	88.2563
0.0178175	-2.93215	193.058	167.089	129.134	104.73	90.8535	82.7504
0.0178175	-2.82743	169.441	147.826	116.323	96.1633	84.7437	78.0918
0.0178175	-2.72271	149.078	131.282	105.413	88.937	79.6393	74.2366
0.0178175	-2.61799	131.852	117.344	96.31	82.974	75.4761	71.1296
0.0178175	-2.51327	117.575	105.847	88.8835	78.1754	72.1762	68.7067
0.0178175	-2.40855	106.004	96.5787	82.9776	74.4267	69.6521	66.8967
0.0178175	-2.30383	96.858	89.3013	78.4194	71.6036	67.8096	65.6244
0.0178175	-2.19911	89.836	83.7608	75.0285	69.5775	66.5514	64.8117
0.0178175	-2.0944	84.247	79.3085	72.2213	67.8099	65.3668	63.9644
0.0178175	-1.98968	80.1085	76.0275	70.1788	66.5471	64.5398	63.389
0.0178175	-1.88496	77.2222	73.7517	68.7832	65.704	64.0046	63.0313
0.0178175	-1.78024	75.3773	72.3067	67.9141	65.1953	63.6966	62.8387
0.0178175	-1.67552	74.4186	71.5642	67.4826	64.9583	63.5676	62.7719
0.0178175	-1.5708	74.2555	71.4494	67.4371	64.9561	63.5895	62.8077
0.0178175	-1.46608	74.4519	71.5375	67.3694	64.791	63.3703	62.5574
0.0178175	-1.36136	75.3695	72.1684	67.5878	64.7514	63.1873	62.2918
0.0178175	-1.25664	77.2421	73.5611	68.2893	65.0198	63.2146	62.1802
0.0178175	-1.15192	80.2589	75.8739	69.5865	65.679	63.5177	62.278
0.0178175	-1.0472	84.6635	79.3107	71.6246	66.8352	64.1804	62.6555
0.0178175	-0.942478	90.7414	84.1113	74.5746	68.6136	65.301	63.3951
0.0178175	-0.837758	98.5088	90.2689	78.3938	70.9453	66.7943	64.4017
0.0178175	-0.733038	108.491	98.2114	83.3647	74.0161	68.7894	65.7706
0.0178175	-0.628319	121.131	108.358	89.8675	78.1752	71.6156	67.8186
0.0178175	-0.523599	136.716	120.958	98.0885	83.5626	75.3838	70.6382
0.0178175	-0.418879	155.486	136.222	108.19	90.3024	80.1929	74.3127
0.0178175	-0.314159	177.613	154.306	120.298	98.495	86.1249	78.9122
0.0178175	-0.20944	203.183	175.297	134.494	108.209	93.239	84.489
0.0178175	-0.10472	232.181	199.197	150.801	119.474	101.566	91.0735
0.0178175	1.11022e-16	264.479	225.914	169.174	132.275	111.103	98.6694
0.0178175	0.10472	299.336	255.252	189.497	146.539	121.805	107.249
0.0178175	0.20944	336.307	286.901	211.569	162.14	133.586	116.748
0.0178175	0.314159	375.38	319.493	235.108	178.885	146.307	127.061
0.0178175	0.418879	415.933	353.389	259.746	196.518	159.778	138.041
0.0178175	0.523599	457.227	387.996	284.909	214.718	173.759	149.491
0.0178175	0.628319	498.432	422.611	309.474	233.108	187.956	161.172
0.0178175	0.733038	538.439	456.259	333.399	251.259	202.033	172.806
0.0178175	0.837758	576.274	488.124	356.11	267.792	215.624	184.081
0.0178175	0.942478	611.162	517.547	377.14	282.997	227.795	194.667
0.0178175	1.0472	642.183	543.736	395.894	296.58	238.28	203.61
0.0178175	1.15192	668.491	565.96	411.822	308.123	247.195	210.949
0.0178175	1.25664	689.348	583.578	424.442	317.256	254.239	216.74
0.0178175	1.36136	703.691	595.693	433.116	323.527	259.069	220.707
0.0178175	1.46608	711.402	602.088	437.477	326.468	261.158	222.286
0.0178175	1.5708	712.424	602.808	437.731	326.396	260.891	221.902
0.0178175	1.67552	706.744	597.849	433.886	323.329	258.291	219.581
0.0178175	1.78024	694.557	587.386	426.088	317.393	253.47	215.429
0.0178175	1.88496	675.687	571.348	414.422	308.777	246.622	209.621
0.0178175	1.98968	651.267	550.516	399.122	297.336	237.554	201.995
0.0178175	2.0944	622.019	525.661	381.034	283.958	226.999	193.132
0.0178175	2.19911	588.754	497.49	360.695	269.06	215.36	183.319
0.0178175	2.30383	552.353	466.763	338.676	253.078	202.915	172.368
0.0178175	2.40855	513.729	434.264	315.557	236.443	189.357	161.173
0.0178175	2.51327	473.746	400.769	291.901	219.104	175.734	150.019
0.0178175	2.61799	433.154	366.892	268.234	201.519	162.347	139.151
0.0178175	2.72271	392.997	333.394	244.706	184.435	149.453	128.769
0.0178175	2.82743	354.006	300.979	221.503	168.143	137.261	119.032
0.0178175	2.93215	316.809	270.163	199.581	152.875	125.929	110.053
0.0178175	3.03687	281.923	241.189	179.217	138.806	115.571	101.908
0.0178175	3.14159	249.751	213.854	160.613	126.054	106.255	94.6387
