#x	y	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
0.0210845	0.002479	22.1403	21.5754	20.703	19.8511	19.2357	18.7929
0.0210845	0.0024865	13.206	12.8863	12.1941	11.6999	11.2437	10.9767
0.0210845	0.002494	7.07218	6.84776	6.38999	6.11084	5.84765	5.69312
0.0210845	0.0025015	3.49824	3.36697	3.10372	2.94347	2.85632	2.80689
0.0210845	0.002509	2.09839	2.06334	2.01372	1.98361	1.96728	1.94984
0.0210845	0.0025165	2.71861	2.67683	2.61769	2.56559	2.53091	2.51127
0.0210845	0.002524	5.67881	5.57122	5.35324	5.22061	5.14852	5.10764
0.0210845	0.0025315	11.0994	10.9455	10.5309	10.2584	10.0518	9.8883
0.0210845	0.002539	19.1836	18.8691	18.3202	17.7949	17.4375	17.1429
0.0210845	0.0025465	30.0471	29.6045	28.747	27.9731	27.4573	26.9821
0.0210845	0.002554	43.599	42.9962	41.8982	40.9573	40.0882	39.5255
0.0217379	0.002464	44.3533	43.6957	42.6318	41.5807	40.7348	40.1741
0.0217379	0.0024715	30.2788	29.9126	28.972	28.2012	27.6225	27.1705
0.0217379	0.002479	19.0619	18.7299	18.1893	17.6097	17.2456	16.9138
0.0217379	0.0024865	10.5141	10.3868	10.0404	9.75022	9.50908	9.3277
0.0217379	0.002494	4.48554	4.41592	4.31733	4.25744	4.22493	4.19342
0.0217379	0.0025015	1.0757	1.06012	1.0381	1.02474	1.0175	1.0134
0.0217379	0.002509	0	0	0	0	0	0
0.0217379	0.0025165	1.03898	1.03149	1.02088	1.01445	1.01097	1.009
0.0217379	0.002524	4.36269	4.31937	4.25805	4.22083	4.1902	4.15175
0.0217379	0.0025315	10.1603	10.0954	9.94864	9.8243	9.655	9.55837
0.0217379	0.002539	18.0838	18.019	17.7303	17.536	17.4303	17.2995
0.0217379	0.0025465	28.7315	28.5073	28.1895	27.7605	27.5016	27.3074
0.0217379	0.002554	42.1526	41.9289	41.2503	40.7744	40.2501	39.9515
0.0223914	0.002464	43.1522	42.7307	41.9649	41.1963	40.5787	40.1341
0.0223914	0.0024715	29.3729	29.0388	28.4354	27.9056	27.4827	27.2161
0.0223914	0.002479	18.251	18.0819	17.745	17.3732	17.1706	16.9527
0.0223914	0.0024865	10.0735	9.96372	9.7207	9.57279	9.48	9.36373
0.0223914	0.002494	4.5016	4.45228	4.38247	4.34007	4.31707	4.30404
0.0223914	0.0025015	1.56239	1.55585	1.54659	1.54098	1.53794	1.53622
0.0223914	0.002509	0.912324	0.910231	0.897028	0.870421	0.856045	0.847923
0.0223914	0.0025165	2.16799	2.16012	2.14898	2.14224	2.1386	2.13654
0.0223914	0.002524	5.68905	5.68786	5.68616	5.67546	5.65501	5.64342
0.0223914	0.0025315	11.6089	11.6027	11.5939	11.5885	11.509	11.4591
0.0223914	0.002539	20.0527	19.9618	19.8329	19.7546	19.7065	19.6188
0.0223914	0.0025465	31.1622	31.0717	30.851	30.569	30.4155	30.1945
0.0223914	0.002554	45.0427	44.8491	44.5243	44.1815	43.8103	43.3441
0.0230448	0.002464	43.9586	43.7107	43.1284	42.5836	42.1344	41.7857
0.0230448	0.0024715	30.0956	29.845	29.4896	29.1165	28.8168	28.6464
0.0230448	0.002479	18.9383	18.8724	18.6246	18.4053	18.2861	18.1796
0.0230448	0.0024865	10.6484	10.5811	10.4857	10.4278	10.3964	10.3516
0.0230448	0.002494	5.03644	5.03223	5.02629	5.02268	5.02073	5.01962
0.0230448	0.0025015	1.99885	1.99537	1.99044	1.98745	1.98583	1.98491
0.0230448	0.002509	1.02917	1.02436	1.01758	1.01346	1.01123	1.00998
0.0230448	0.0025165	2.01897	2.01857	2.01802	2.01767	2.01749	2.01738
0.0230448	0.002524	5.24659	5.22552	5.19572	5.17764	5.15645	5.12888
0.0230448	0.0025315	11.0791	10.9754	10.8286	10.7302	10.588	10.5074
0.0230448	0.002539	19.5947	19.4912	19.0835	18.8235	18.5825	18.3995
0.0230448	0.0025465	30.8781	30.5783	30.11	29.4526	29.0128	28.6038
0.0230448	0.002554	44.6484	44.1778	43.26	42.4576	41.6954	41.2261
0.0236982	0.002464	47.1242	47.0776	46.633	46.2618	45.9254	45.6551
0.0236982	0.0024715	32.9659	32.8367	32.6536	32.3615	32.1572	32.0411
0.0236982	0.002479	21.6271	21.5416	21.3553	21.242	21.1804	21.1381
0.0236982	0.0024865	12.903	12.8897	12.8709	12.8595	12.8533	12.8433
0.0236982	0.002494	7.07698	7.07026	7.06077	7.05503	7.05192	7.05015
0.0236982	0.0025015	3.86661	3.81511	3.74243	3.69854	3.67485	3.66146
0.0236982	0.002509	3.0038	2.87631	2.69654	2.58821	2.5298	2.49685
0.0236982	0.0025165	3.77686	3.70573	3.60537	3.54482	3.51214	3.49369
0.0236982	0.002524	6.64057	6.64056	6.64055	6.64055	6.64054	6.64054
0.0236982	0.0025315	11.7508	11.7178	11.671	11.6426	11.6272	11.6045
0.0236982	0.002539	19.6049	19.5505	19.311	19.1652	19.0859	18.9849
0.0236982	0.0025465	30.1251	29.9566	29.7179	29.3525	29.1286	28.9845
0.0236982	0.002554	43.4966	43.3285	42.7426	42.3334	41.8829	41.6057
0.0243516	0.002464	52.2084	52.063	51.8568	51.7313	51.6631	51.5554
0.0243516	0.0024715	37.9017	37.8948	37.8851	37.7981	37.7288	37.6894
0.0243516	0.002479	26.5715	26.5642	26.5537	26.5474	26.5439	26.5419
0.0243516	0.0024865	18.1166	18.0895	18.0511	18.0279	18.0154	18.0082
0.0243516	0.002494	12.2252	12.225	12.2045	12.0916	12.0307	11.9964
0.0243516	0.0025015	8.51262	8.46633	8.37413	8.26089	8.19982	8.16537
0.0243516	0.002509	7.34693	7.13751	6.84246	6.64923	6.53662	6.47314
0.0243516	0.0025165	7.66397	7.5026	7.27101	7.12517	7.02072	6.96184
0.0243516	0.002524	9.91676	9.90047	9.7923	9.72704	9.69182	9.67193
0.0243516	0.0025315	14.7717	14.7626	14.7497	14.7419	14.7376	14.7352
0.0243516	0.002539	22.3467	22.3281	22.3017	22.2856	22.2769	22.272
0.0243516	0.0025465	32.7281	32.7096	32.6429	32.4928	32.4111	32.3648
0.0243516	0.002554	46.0157	45.8427	45.5976	45.4484	45.2554	45.1069
0.025005	0.002464	60.3631	60.3511	60.334	60.3236	60.3179	60.3145
0.025005	0.0024715	46.3997	46.3869	46.3313	46.2719	46.2397	46.2213
