#x	y	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
0.426	-3.14159	516.163	489.487	450.483	425.386	410.506	401.483
0.426	-3.03687	487.952	466.627	435.552	415.66	403.355	396.181
0.426	-2.93215	463.413	446.778	422.618	406.775	397.175	391.595
0.426	-2.82743	442.544	429.92	411.646	399.244	391.932	387.693
0.426	-2.72271	425.23	415.911	402.466	392.863	387.419	384.274
0.426	-2.61799	411.019	404.411	394.651	387.609	383.688	381.429
0.426	-2.51327	399.842	395.353	388.35	383.42	380.687	379.117
0.426	-2.40855	391.356	388.459	383.51	380.184	378.348	377.296
0.426	-2.30383	385.18	383.418	379.932	377.779	376.595	375.918
0.426	-2.19911	380.916	379.578	377.412	376.08	375.35	374.934
0.426	-2.0944	377.936	377.034	375.751	374.965	374.535	374.29
0.426	-1.98968	376.004	375.49	374.761	374.315	374.072	373.934
0.426	-1.88496	374.968	374.681	374.273	374.025	373.89	373.813
0.426	-1.78024	374.23	374.064	373.828	373.684	373.606	373.562
0.426	-1.67552	373.782	373.669	373.509	373.411	373.358	373.328
0.426	-1.5708	373.628	373.525	373.379	373.29	373.242	373.214
0.426	-1.46608	373.743	373.612	373.425	373.312	373.25	373.215
0.426	-1.36136	374.193	373.981	373.681	373.498	373.398	373.342
0.426	-1.25664	375.134	374.758	374.224	373.898	373.721	373.62
0.426	-1.15192	376.643	375.981	375.039	374.462	374.148	373.969
0.426	-1.0472	378.922	377.775	376.141	375.139	374.59	374.277
0.426	-0.942478	382.312	380.733	378.028	376.363	375.448	374.926
0.426	-0.837758	387.312	385.086	380.918	378.278	376.823	375.99
0.426	-0.733038	394.492	390.923	385.041	381.037	378.821	377.55
0.426	-0.628319	404.274	398.875	390.63	384.792	381.549	379.684
0.426	-0.523599	417.053	409.265	397.905	389.692	385.108	382.465
0.426	-0.418879	433.173	422.376	406.773	395.868	389.591	385.959
0.426	-0.314159	452.903	438.437	417.463	403.434	395.074	390.223
0.426	-0.20944	476.414	457.599	430.228	412.471	401.618	395.3
0.426	-0.10472	503.726	479.922	445.122	422.798	409.257	401.218
0.426	1.11022e-16	534.777	505.32	462.135	434.244	417.997	407.983
0.426	0.10472	569.424	533.701	481.175	447.062	427.524	415.58
0.426	0.20944	607.294	564.794	502.068	461.147	437.612	423.772
0.426	0.314159	647.819	598.083	524.547	476.335	448.5	432.092
0.426	0.418879	690.24	633.052	548.253	492.395	460.033	440.917
0.426	0.523599	733.796	669.031	572.738	509.032	472.008	450.1
0.426	0.628319	777.545	705.241	597.469	525.889	484.175	459.454
0.426	0.733038	820.452	740.816	621.848	542.554	496.235	468.753
0.426	0.837758	861.422	774.838	645.228	558.575	507.857	477.735
0.426	0.942478	899.345	806.368	666.941	573.479	518.685	486.117
0.426	1.0472	933.143	834.489	686.328	586.792	528.36	493.61
0.426	1.15192	961.813	858.351	702.773	598.069	536.54	499.934
0.426	1.25664	983.925	876.717	715.36	606.624	542.678	504.623
0.426	1.36136	999.326	889.413	723.877	612.222	546.525	507.421
0.426	1.46608	1007.54	896.089	728.178	614.862	548.169	508.47
0.426	1.5708	1008.32	896.543	728.128	614.46	547.556	507.73
0.426	1.67552	1001.66	890.787	723.755	611.053	544.728	505.249
0.426	1.78024	987.268	878.63	715.065	604.786	539.823	501.154
0.426	1.88496	966.198	860.797	702.23	595.442	532.663	495.308
0.426	1.98968	939.134	838.017	686.06	583.88	523.864	488.165
0.426	2.0944	906.919	811.02	667.099	570.514	513.849	480.16
0.426	2.19911	870.515	780.629	645.953	555.789	502.969	471.586
0.426	2.30383	830.955	747.725	623.256	540.161	491.57	462.725
0.426	2.40855	789.184	713.201	599.636	524.069	479.975	453.828
0.426	2.51327	746.252	677.743	575.695	507.918	468.471	445.11
0.426	2.61799	703.317	642.357	551.843	492.066	457.296	436.739
0.426	2.72271	661.284	607.832	528.686	476.67	446.585	428.832
0.426	2.82743	620.951	574.809	506.69	462.138	436.464	421.348
