#	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
-3.14159	0	0	0	0	0	0
-3.03687	1.16677	1.04636	0.835074	0.665706	0.548465	0.467679
-2.93215	2.31505	2.07594	1.65765	1.3225	1.09031	0.93018
-2.82743	3.43362	3.07894	2.46037	1.9651	1.62181	1.38499
-2.72271	4.51166	4.04595	3.23615	2.58835	2.13933	1.82965
-2.61799	5.53889	4.968	3.97822	3.18736	2.63941	2.26178
-2.51327	6.50561	5.83665	4.68022	3.75748	3.11873	2.67911
-2.40855	7.40285	6.64412	5.33625	4.29442	3.57424	3.07951
-2.30383	8.20216	7.36515	5.92651	4.78296	3.99414	3.4537
-2.19911	8.91559	8.00617	6.44586	5.2061	4.35079	3.76478
-2.0944	9.53889	8.56846	6.90678	5.58809	4.67931	4.05754
-1.98968	10.0662	9.04685	7.30513	5.92562	4.977	4.32967
-1.88496	10.4929	9.43734	7.63781	6.21629	5.24189	4.57945
-1.78024	10.8157	9.73713	7.90272	6.45851	5.4727	4.8057
-1.67552	11.0294	9.94461	8.09877	6.65155	5.66882	5.00773
-1.5708	11.1179	10.0354	8.20404	6.775	5.8104	5.16569
-1.46608	11.101	10.0343	8.23384	6.83534	5.8968	5.27329
-1.36136	10.9809	9.94384	8.19834	6.85031	5.8881	5.22482
-1.25664	10.7615	9.76774	8.03873	6.60617	5.63328	4.97895
-1.15192	10.4484	9.42937	7.66858	6.28403	5.3415	4.70584
-1.0472	9.88838	8.9065	7.23193	5.9132	5.0141	4.40662
-0.942478	9.21785	8.30018	6.73222	5.49634	4.65318	4.08301
-0.837758	8.45856	7.61601	6.17393	5.03702	4.26168	3.73751
-0.733038	7.60961	6.84919	5.54441	4.51436	3.81122	3.33525
-0.628319	6.67134	6.00249	4.85163	3.94181	3.32013	2.89876
-0.523599	5.66648	5.09694	4.11416	3.33625	2.80437	2.44354
-0.418879	4.60457	4.14092	3.33849	2.70264	2.26776	1.97257
-0.314159	3.49586	3.14343	2.53163	2.04637	1.71446	1.48913
-0.20944	2.35121	2.11404	1.70103	1.37315	1.14894	0.99673
-0.10472	1.18201	1.06277	0.854467	0.688968	0.575849	0.499085
0	0	0	0	0	0	0
0.10472	1.18278	1.06363	0.854129	0.687449	0.573697	0.496621
0.20944	2.35415	2.11734	1.6996	1.36706	1.14035	0.986906
0.314159	3.50194	3.15034	2.52812	2.03256	1.69515	1.46709
0.418879	4.6141	4.15192	3.3315	2.67786	2.23345	1.93356
0.523599	5.67886	5.11163	4.1018	3.29708	2.75086	2.38296
0.628319	6.68491	6.01941	4.83143	3.88472	3.24331	2.81224
0.733038	7.62152	6.86572	5.51326	4.43569	3.70718	3.21876
0.837758	8.47876	7.64173	6.14076	4.94313	4.13449	3.59349
0.942478	9.23244	8.32045	6.68047	5.37264	4.49031	3.9002
1.0472	9.88566	8.91141	7.15609	5.75601	4.81255	4.18242
1.15192	10.4365	9.41193	7.56352	6.08998	5.09896	4.43858
1.25664	10.8794	9.81699	7.89925	6.3724	5.34832	4.66805
1.36136	11.2102	10.1231	8.16105	6.60217	5.56029	4.87094
1.46608	11.4266	10.3283	8.34802	6.77928	5.73538	5.04807
1.5708	11.5264	10.4286	8.45216	6.8915	5.85756	5.18005
1.67552	11.4927	10.4093	8.46304	6.93191	5.92224	5.26394
1.78024	11.3483	10.2934	8.40459	6.912	5.85653	5.16353
1.88496	11.0981	10.0858	8.18068	6.62179	5.58226	4.89577
1.98968	10.7334	9.68168	7.78709	6.28161	5.27304	4.60355
2.0944	10.123	9.12421	7.32599	5.89422	4.93126	4.2892
2.19911	9.41547	8.48149	6.80208	5.46322	4.55992	3.95548
2.30383	8.60565	7.75059	6.21658	4.99299	4.16264	3.60565
2.40855	7.70711	6.93592	5.55441	4.45132	3.70304	3.19921
2.51327	6.73626	6.05797	4.84515	3.87538	3.21503	2.76846
2.61799	5.70335	5.12586	4.09553	3.27078	2.70725	2.32463
2.72271	4.6192	4.14921	3.31271	2.64256	2.18325	1.87028
2.82743	3.49513	3.13802	2.50409	1.99595	1.64673	1.40802
2.93215	2.34272	2.10251	1.67729	1.33633	1.10145	0.940467
3.03687	1.17374	1.05305	0.840013	0.669177	0.551258	0.470255
3.14159	0	0	0	0	0	0
