#x	y	new0	new11a	new11b	new8
0.4345	2.82743	173.09	172.881	172.719	173.085
0.4345	2.93215	157.837	158.158	158.032	157.831
0.4345	3.03687	144.411	144.706	144.617	144.409
0.4345	3.14159	132.249	132.349	132.464	132.219
0.443	-3.14159	104.804	104.478	104.953	104.806
0.443	-3.03687	94.3436	94.207	94.4537	94.3258
0.443	-2.93215	84.9222	84.8203	85.0339	84.9046
0.443	-2.82743	76.9558	76.8542	77.0671	76.9373
0.443	-2.72271	70.3728	70.2731	70.4822	70.3529
0.443	-2.61799	64.906	64.8108	65.0015	64.8684
0.443	-2.51327	60.598	60.5074	60.6977	60.5613
0.443	-2.40855	57.3498	57.265	57.4432	57.3143
0.443	-2.30383	55.0057	54.9274	55.0917	54.9712
0.443	-2.19911	53.4063	53.3353	53.4843	53.3734
0.443	-2.0944	52.3977	52.3344	52.4672	52.366
0.443	-1.98968	51.8356	51.7803	51.8963	51.8052
0.443	-1.88496	51.5945	51.5471	51.6464	51.5646
0.443	-1.78024	51.62	51.5563	51.6895	51.5409
0.443	-1.67552	51.6725	51.6181	51.7318	51.6396
0.443	-1.5708	51.8214	51.7758	51.871	51.7855
0.443	-1.46608	52.0602	52.0227	52.1008	52.0197
0.443	-1.36136	52.4185	52.3881	52.5195	52.3715
0.443	-1.25664	53.0314	53.0043	53.0576	52.9861
0.443	-1.15192	53.7924	53.7574	53.8299	53.7184
0.443	-1.0472	54.8619	54.812	54.9158	54.7826
0.443	-0.942478	56.443	56.4018	56.4874	56.3477
0.443	-0.837758	58.6392	58.6216	58.6579	58.5266
0.443	-0.733038	61.9145	61.9014	61.9281	61.7804
0.443	-0.628319	66.2095	66.1882	66.2319	66.0695
0.443	-0.523599	71.5408	71.5241	71.5582	71.3775
0.443	-0.418879	78.201	78.188	78.2143	78.0125
0.443	-0.314159	86.3037	86.2937	86.3137	86.0881
0.443	-0.20944	95.9217	95.9141	95.9292	95.6837
0.443	-0.10472	106.7	106.694	106.706	106.457
0.443	-2.66454e-15	118.939	118.926	118.953	118.672
0.443	0.10472	132.257	132.245	132.269	131.998
0.443	0.20944	146.637	146.626	146.647	146.356
0.443	0.314159	162.068	162.059	162.078	161.767
0.443	0.418879	178.304	178.294	178.313	177.983
0.443	0.523599	195.032	195.023	195.041	194.696
0.443	0.628319	211.887	211.877	211.897	211.538
0.443	0.733038	228.456	228.444	228.466	228.098
0.443	0.837758	244.282	244.277	244.286	243.912
0.443	0.942478	258.844	258.839	258.849	258.474
0.443	1.0472	271.737	271.73	271.744	271.373
0.443	1.15192	282.536	282.526	282.545	282.183
0.443	1.25664	290.871	290.858	290.883	290.534
0.443	1.36136	296.364	296.357	296.37	296.037
0.443	1.46608	298.86	298.85	298.87	298.559
0.443	1.5708	298.313	298.298	298.328	298.042
0.443	1.67552	294.731	294.722	294.74	294.478
0.443	1.78024	288.182	288.168	288.196	287.963
0.443	1.88496	279.012	278.992	279.032	278.829
0.443	1.98968	267.551	267.523	267.579	267.402
0.443	2.0944	254.189	254.153	254.227	254.075
0.443	2.19911	239.321	239.293	239.349	239.223
0.443	2.30383	223.421	223.386	223.459	223.353
0.443	2.40855	206.959	206.914	207.006	206.915
0.443	2.51327	190.502	190.423	190.587	190.492
0.443	2.61799	174.733	174.61	174.846	174.75
0.443	2.72271	158.902	158.791	158.984	158.931
0.443	2.82743	143.354	143.242	143.476	143.38
0.443	2.93215	129.421	129.3	129.553	129.451
0.443	3.03687	116.678	116.549	116.819	116.678
0.443	3.14159	104.804	104.478	104.953	104.806
0.4515	-3.14159	83.5736	83.4829	83.6745	83.6038
0.4515	-3.03687	73.3046	73.2427	73.3724	73.3108
0.4515	-2.93215	64.3508	64.2878	64.4199	64.3552
0.4515	-2.82743	56.776	56.7132	56.845	56.7775
0.4515	-2.72271	50.2876	50.2275	50.3538	50.2685
0.4515	-2.61799	45.032	44.9744	45.0954	45.0124
0.4515	-2.51327	40.9195	40.8655	40.9791	40.8999
0.4515	-2.40855	37.8114	37.7618	37.8661	37.7916
0.4515	-2.30383	35.5593	35.5148	35.6084	35.5398
0.4515	-2.19911	34.0122	33.9731	34.0552	33.9933
0.4515	-2.0944	33.0231	32.9897	33.0597	33.0053
0.4515	-1.98968	32.4556	32.4281	32.4859	32.4387
0.4515	-1.88496	32.1901	32.168	32.2142	32.1735
0.4515	-1.78024	32.1287	32.1118	32.1471	32.1121
0.4515	-1.67552	32.2168	32.1888	32.2473	32.1835
0.4515	-1.5708	32.3108	32.2891	32.3344	32.2947
0.4515	-1.46608	32.4902	32.474	32.5077	32.4707
0.4515	-1.36136	32.783	32.7716	32.7953	32.7593
0.4515	-1.25664	33.2517	33.2441	33.2597	33.2222
0.4515	-1.15192	33.989	33.9785	33.9937	33.8976
0.4515	-1.0472	34.781	34.7702	34.7925	34.7263
0.4515	-0.942478	36.3172	36.3102	36.3245	36.249
0.4515	-0.837758	38.5443	38.5402	38.5485	38.4604
0.4515	-0.733038	41.6287	41.6266	41.6306	41.5265
0.4515	-0.628319	45.7358	45.735	45.7365	45.613
0.4515	-0.523599	50.9777	50.9738	50.9816	50.8325
0.4515	-0.418879	57.4061	57.4039	57.4082	57.2588
0.4515	-0.314159	65.098	65.0969	65.0989	64.9275
0.4515	-0.20944	74.2425	74.2421	74.2427	74.0473
0.4515	-0.10472	84.8109	84.8108	84.8109	84.6189
0.4515	-2.66454e-15	96.4636	96.4636	96.4636	96.2486
0.4515	0.10472	109.463	109.462	109.463	109.225
0.4515	0.20944	123.157	123.155	123.158	122.936
0.4515	0.314159	137.821	137.82	137.822	137.583
0.4515	0.418879	153.25	153.249	153.251	152.996
0.4515	0.523599	169.149	169.147	169.149	168.882
0.4515	0.628319	185.168	185.167	185.169	184.891
0.4515	0.733038	200.915	200.914	200.916	200.629
0.4515	0.837758	215.914	215.914	215.914	215.619
0.4515	0.942478	229.754	229.754	229.754	229.462
0.4515	1.0472	242.01	242.01	242.01	241.724
0.4515	1.15192	252.278	252.277	252.279	252.003
0.4515	1.25664	260.206	260.204	260.208	259.948
0.4515	1.36136	265.42	265.42	265.42	265.17
0.4515	1.46608	267.807	267.806	267.808	267.582
0.4515	1.5708	267.308	267.305	267.311	267.111
0.4515	1.67552	263.938	263.937	263.938	263.757
0.4515	1.78024	257.742	257.74	257.745	257.594
0.4515	1.88496	249.062	249.056	249.067	248.946
0.4515	1.98968	238.207	238.197	238.216	238.123
0.4515	2.0944	225.55	225.535	225.565	225.497
0.4515	2.19911	211.494	211.478	211.503	211.454
0.4515	2.30383	196.425	196.411	196.44	196.411
0.4515	2.40855	180.821	180.801	180.842	180.828
0.4515	2.51327	165.077	165.051	165.105	165.101
0.4515	2.61799	149.553	149.52	149.588	149.59
0.4515	2.72271	134.56	134.52	134.603	134.606
0.4515	2.82743	120.491	120.42	120.569	120.553
0.4515	2.93215	107.277	107.198	107.363	107.34
0.4515	3.03687	94.848	94.7625	94.9413	94.8793
0.4515	3.14159	83.5736	83.4829	83.6736	83.6038
0.46	-3.14159	67.9206	67.8864	67.9581	67.95
0.46	-3.03687	58.0678	58.0318	58.1074	58.0944
0.46	-2.93215	49.5546	49.5178	49.5952	49.5772
0.46	-2.82743	42.1061	42.0706	42.1454	42.105
0.46	-2.72271	35.8938	35.8592	35.9319	35.8906
0.46	-2.61799	30.8837	30.851	30.9198	30.8785
0.46	-2.51327	26.9588	26.9288	26.9919	26.9518
0.46	-2.40855	23.9868	23.9601	24.0164	23.9786
0.46	-2.30383	21.8032	21.781	21.8278	21.7848
0.46	-2.19911	20.248	20.2296	20.2684	20.231
0.46	-2.0944	19.2429	19.2283	19.2589	19.2274
0.46	-1.98968	18.6522	18.6415	18.6641	18.6382
0.46	-1.88496	18.3569	18.3494	18.3651	18.3441
0.46	-1.78024	18.2601	18.2555	18.2651	18.248
0.46	-1.67552	18.2919	18.2895	18.2944	18.2686
0.46	-1.5708	18.3584	18.351	18.3665	18.3182
0.46	-1.46608	18.5929	18.5872	18.5992	18.5772
0.46	-1.36136	18.7976	18.7947	18.8008	18.7776
0.46	-1.25664	19.1717	19.1706	19.1728	19.1455
0.46	-1.15192	19.7525	19.7482	19.757	19.7245
0.46	-1.0472	20.6834	20.6814	20.6854	20.6466
0.46	-0.942478	22.1227	22.1221	22.1232	22.0751
0.46	-0.837758	24.222	24.222	24.222	24.1615
0.46	-0.733038	27.1403	27.1401	27.1406	27.0647
0.46	-0.628319	31.0349	31.0345	31.0353	30.942
0.46	-0.523599	35.9955	35.9955	35.9955	35.8838
0.46	-0.418879	42.2185	42.2184	42.2188	42.0861
0.46	-0.314159	49.7389	49.7383	49.7398	49.6075
0.46	-0.20944	58.4386	58.4373	58.4405	58.2864
0.46	-0.10472	68.5569	68.5547	68.56	68.3828
0.46	-2.66454e-15	79.9154	79.9123	79.9195	79.7491
0.46	0.10472	92.2727	92.2726	92.2731	92.0907
