#	new0	new11a	new11b	new8
0.002464	0.0778872	-0.0979936	0.00639499
0.0024715	0.0468543	-0.057634	0.0054341
0.002479	0.0259694	-0.0287467	0.00429465
0.0024865	0.0143434	-0.0184417	0.00178496
0.002494	0.0058641	-0.00734758	0.00177434
0.0025015	0.00143326	-0.00182866	0.000419517
0.002509	0	0	0
0.0025165	0.00154824	-0.00194037	0.000288806
0.002524	0.00938567	-0.0105192	0.000756567
0.0025315	0.0174602	-0.0193064	0.00490773
0.002539	0.0373425	-0.0393912	0.0028702
0.0025465	0.0476284	-0.0552046	0.00602106
0.002554	0.0466597	-0.0773502	0.00829465
