#x	y	new0	new11a	new11b	new8
0.0178175	0.426	163.279	163.166	163.41	163.055
0.0178175	0.4345	127.762	127.666	127.803	127.532
0.0178175	0.443	98.857	98.8482	98.8666	98.6662
0.0178175	0.4515	76.4464	76.4464	76.4465	76.2854
0.0178175	0.46	59.8667	59.8668	59.8667	59.7309
0.0178175	0.4685	48.1999	48.1947	48.2054	48.0805
0.0178175	0.477	40.4281	40.3949	40.4426	40.3411
0.0178175	0.4855	35.2801	35.2782	35.2932	35.2007
0.0178175	0.494	31.758	31.8861	31.7802	31.6865
0.0178175	0.5025	29.0985	29.0912	29.0574	28.9724
0.0178175	0.511	26.5589	26.5527	26.5688	26.5041
0.0178175	0.5195	24.1579	24.151	24.1653	24.1091
0.0178175	0.528	22.1476	22.1365	22.1573	22.1079
0.0178175	0.5365	21.1454	21.1436	21.1527	21.0898
0.0178175	0.545	21.9995	21.9972	22.0019	21.9593
0.0178175	0.5535	25.8301	25.8301	25.8301	25.7896
0.0178175	0.562	34.0855	34.0812	34.0902	34.0416
0.0178175	0.5705	46.3954	46.3834	46.4084	46.3463
0.0178175	0.579	64.7251	64.6735	64.7675	64.6681
0.0184709	0.426	151.66	151.499	151.862	151.505
0.0184709	0.4345	117.187	117.162	117.911	116.986
0.0184709	0.443	87.9934	87.9731	88.0163	87.8355
0.0184709	0.4515	65.99	65.9857	65.995	65.8587
0.0184709	0.46	49.7947	49.7948	49.7947	49.6855
0.0184709	0.4685	38.5615	38.5564	38.5645	38.4719
0.0184709	0.477	31.17	31.1502	31.2061	31.0847
0.0184709	0.4855	26.3861	26.3782	26.4005	26.3247
0.0184709	0.494	23.3021	23.2906	23.3156	23.25
0.0184709	0.5025	20.9704	20.9634	20.9782	20.9266
0.0184709	0.511	18.8427	18.8352	18.8511	18.805
0.0184709	0.5195	16.868	16.8084	16.8222	16.7819
0.0184709	0.528	15.1318	15.1274	15.1366	15.1022
0.0184709	0.5365	14.4177	14.416	14.4206	14.3908
0.0184709	0.545	15.5171	15.5149	15.5197	15.4911
0.0184709	0.5535	19.739	19.737	19.7412	19.7106
0.0184709	0.562	27.2965	27.2944	27.2987	27.267
0.0184709	0.5705	39.9839	39.9582	40.0039	39.9481
0.0184709	0.579	58.1328	58.0812	58.1886	58.0876
0.0191243	0.426	142.312	141.543	141.686	142.096
0.0191243	0.4345	109.278	109.206	109.359	109.114
0.0191243	0.443	78.8066	78.7205	78.8354	78.6709
0.0191243	0.4515	57.1197	57.1153	57.1247	57.013
0.0191243	0.46	41.3076	41.3076	41.3076	41.2212
0.0191243	0.4685	30.4538	30.4512	30.4567	30.3835
0.0191243	0.477	23.3988	23.3943	23.4016	23.3085
0.0191243	0.4855	19.0191	19.0221	19.0274	18.9749
0.0191243	0.494	16.3245	16.3198	16.3301	16.2886
0.0191243	0.5025	14.347	14.3402	14.3543	14.3277
0.0191243	0.511	12.6167	12.6094	12.6248	12.592
0.0191243	0.5195	10.952	10.9457	10.9591	10.9312
0.0191243	0.528	9.58105	9.57681	9.58578	9.56294
0.0191243	0.5365	9.10242	9.10067	9.1044	9.08609
0.0191243	0.545	10.3883	10.3882	10.3884	10.3721
0.0191243	0.5535	14.5609	14.5607	14.561	14.5448
0.0191243	0.562	22.3071	22.2971	22.3178	22.2877
0.0191243	0.5705	34.9114	34.8866	34.9382	34.8862
0.0191243	0.579	52.9618	52.9122	53.0155	52.9276
0.0197777	0.426	133.158	133.065	133.005	132.981
0.0197777	0.4345	100.238	100.207	100.273	100.079
0.0197777	0.443	72.0385	72.0335	72.0442	71.9167
0.0197777	0.4515	49.7503	49.7458	49.7553	49.6646
0.0197777	0.46	34.3035	34.3035	34.3035	34.2364
0.0197777	0.4685	23.7472	23.7471	23.7474	23.6966
0.0197777	0.477	17.0322	17.0293	17.0354	16.9933
0.0197777	0.4855	13.0841	13.0768	13.0925	13.0537
0.0197777	0.494	10.7044	10.6998	10.7095	10.6807
0.0197777	0.5025	9.1275	9.12107	9.13464	9.10895
0.0197777	0.511	7.78185	7.77486	7.78959	7.76701
0.0197777	0.5195	6.46901	6.46292	6.4758	6.46174
0.0197777	0.528	5.40016	5.39607	5.40474	5.39045
0.0197777	0.5365	5.15916	5.15745	5.16108	5.15092
0.0197777	0.545	6.68986	6.68985	6.68986	6.68119
0.0197777	0.5535	10.7381	10.7356	10.7407	10.7292
0.0197777	0.562	18.6187	18.6091	18.6291	18.6067
0.0197777	0.5705	31.1705	31.1322	31.1964	31.153
0.0197777	0.579	48.9383	48.8438	49.0823	48.9199
0.0204311	0.426	125.724	125.574	125.877	125.576
0.0204311	0.4345	92.26	92.2225	92.3019	92.1418
0.0204311	0.443	65.877	65.8719	65.8827	65.7769
0.0204311	0.4515	43.8516	43.8443	43.8598	43.7807
0.0204311	0.46	28.6691	28.6674	28.671	28.6192
0.0204311	0.4685	18.407	18.4069	18.4071	18.3704
0.0204311	0.477	12.0609	12.0583	12.0639	12.0345
0.0204311	0.4855	8.41825	8.42031	8.42449	8.40324
0.0204311	0.494	6.41266	6.40832	6.41746	6.43209
0.0204311	0.5025	5.22257	5.21647	5.22933	5.21194
0.0204311	0.511	4.22151	4.21889	4.22524	4.21684
0.0204311	0.5195	3.23837	3.23528	3.239	3.23336
0.0204311	0.528	2.48881	2.48859	2.48911	2.48551
0.0204311	0.5365	2.48199	2.48156	2.48248	2.47879
0.0204311	0.545	4.07355	4.07345	4.07365	4.07048
0.0204311	0.5535	8.29344	8.29099	8.29604	8.28922
0.0204311	0.562	16.1808	16.1713	16.1909	16.1736
0.0204311	0.5705	28.4568	28.6494	28.5117	28.4478
0.0204311	0.579	46.0495	45.9566	46.1481	46.0369
0.0210845	0.426	119.958	119.811	120.123	119.831
0.0210845	0.4345	86.5961	86.5191	86.681	86.4983
0.0210845	0.443	60.0014	59.9698	60.0365	59.9223
0.0210845	0.4515	40.0437	40.0271	40.0625	39.9913
0.0210845	0.46	24.2822	24.2784	24.2865	24.2447
0.0210845	0.4685	14.3601	14.36	14.3601	14.3347
0.0210845	0.477	8.35279	8.35266	8.35293	8.33502
0.0210845	0.4855	5.01155	5.00222	5.01389	5.00081
0.0210845	0.494	3.36906	3.36502	3.37353	3.36165
0.0210845	0.5025	2.54349	2.51042	2.5146	2.50903
0.0210845	0.511	1.81874	1.81706	1.82097	1.81715
0.0210845	0.5195	1.15864	1.15758	1.15989	1.15768
0.0210845	0.528	0.685658	0.685602	0.685734	0.684864
0.0210845	0.5365	0.924402	0.923959	0.924885	0.923621
0.0210845	0.545	2.71693	2.71449	2.71956	2.71552
0.0210845	0.5535	6.96345	6.95228	6.97564	6.96182
0.0210845	0.562	14.7019	14.6852	14.72	14.696
0.0210845	0.5705	26.814	26.7739	26.8575	26.8054
0.0210845	0.579	44.023	43.9565	44.0952	44.0076
0.021738	0.426	115.499	115.351	115.663	115.405
0.021738	0.4345	82.4935	82.4142	82.5781	82.4113
0.021738	0.443	55.9317	55.8932	55.9741	55.8729
0.021738	0.4515	35.7768	35.7719	35.7821	35.7366
0.021738	0.46	21.6579	21.656	21.6599	21.6254
0.021738	0.4685	11.5334	11.5334	11.5334	11.5169
0.021738	0.477	5.77918	5.7791	5.77927	5.76874
0.021738	0.4855	2.77532	2.77376	2.77707	2.77117
0.021738	0.494	1.50009	1.498	1.50063	1.49618
0.021738	0.5025	0.915483	0.914474	0.916639	0.914641
0.021738	0.511	0.56834	0.567114	0.56977	0.56811
0.021738	0.5195	0.222243	0.22161	0.222971	0.222199
0.021738	0.528	0.0155386	0.0155386	0.0155386	0.0155386
0.021738	0.5365	0.456073	0.455693	0.456483	0.455881
0.021738	0.545	2.3509	2.34869	2.35329	2.34998
0.021738	0.5535	6.66591	6.65839	6.67326	6.66336
0.021738	0.562	14.3797	14.3584	14.4027	14.3757
0.021738	0.5705	26.4091	26.3708	26.4506	26.401
0.021738	0.579	43.4698	43.4061	43.5388	43.4551
0.0223914	0.426	112.28	112.132	112.51	112.185
0.0223914	0.4345	79.6045	79.5172	79.6955	79.5353
0.0223914	0.443	53.3531	53.3143	53.3957	53.3059
0.0223914	0.4515	33.3671	33.3511	33.3846	33.3366
0.0223914	0.46	19.1356	19.1313	19.1404	19.1172
0.0223914	0.4685	9.9831	9.98198	9.98435	9.97142
0.0223914	0.477	4.34098	4.34081	4.34118	4.33608
0.0223914	0.4855	1.6733	1.67301	1.67362	1.67127
0.0223914	0.494	0.654873	0.654851	0.654901	0.654391
0.0223914	0.5025	0.419057	0.418553	0.41943	0.419021
0.0223914	0.511	0.406222	0.405493	0.407051	0.405963
0.0223914	0.5195	0.363064	0.362717	0.363464	0.362477
0.0223914	0.528	0.418956	0.418764	0.418692	0.420023
0.0223914	0.5365	1.06159	1.06132	1.06186	1.0601
0.0223914	0.545	3.0918	3.08986	3.09386	3.08931
0.0223914	0.5535	7.4494	7.443	7.47133	7.44518
0.0223914	0.562	15.1232	15.1029	15.1452	15.1176
0.0223914	0.5705	27.0579	27.0212	27.0976	27.0483
0.0223914	0.579	43.9654	43.9043	44.0316	43.9496
0.0230448	0.426	110.262	110.076	110.467	110.156
0.0230448	0.4345	77.8691	77.7817	77.9651	77.8114
0.0230448	0.443	51.9177	51.8785	51.9607	51.8801
0.0230448	0.4515	32.2112	32.1948	32.2292	32.1887
0.0230448	0.46	18.2601	18.2555	18.2651	18.248
0.0230448	0.4685	9.16153	9.15841	9.16494	9.15585
0.0230448	0.477	3.97868	3.97842	3.97897	3.9769
0.0230448	0.4855	1.61708	1.61625	1.61801	1.6168
0.0230448	0.494	0.862223	0.862202	0.862247	0.862242
0.0230448	0.5025	0.963056	0.962838	0.963292	0.96243
0.0230448	0.511	1.27331	1.27279	1.27388	1.27162
0.0230448	0.5195	1.53141	1.5311	1.53174	1.52874
0.0230448	0.528	1.84226	1.84896	1.8415	1.83835
0.0230448	0.5365	2.67456	2.67419	2.67474	2.66969
0.0230448	0.545	4.82741	4.81383	4.83247	4.82546
0.0230448	0.5535	9.2345	9.22534	9.24437	9.22789
0.0230448	0.562	16.9188	16.8996	16.9397	16.9099
0.0230448	0.5705	28.7037	28.6684	28.7418	28.6909
0.0230448	0.579	45.4536	45.3948	45.5171	45.4349
0.0236982	0.426	109.262	109.076	109.469	109.214
0.0236982	0.4345	77.2403	77.1526	77.3363	77.1919
0.0236982	0.443	51.5945	51.5471	51.6464	51.5409
0.0236982	0.4515	32.1287	32.1118	32.1471	32.1121
0.0236982	0.46	18.4111	18.3994	18.424	18.4052
0.0236982	0.4685	9.55194	9.54842	9.5558	9.55001
0.0236982	0.477	4.64969	4.6493	4.65011	4.64945
0.0236982	0.4855	2.49213	2.49133	2.493	2.49177
0.0236982	0.494	2.07146	2.07096	2.07111	2.07046
0.0236982	0.5025	2.49996	2.49981	2.50011	2.49736
0.0236982	0.511	3.09034	3.09004	3.09083	3.08685
0.0236982	0.5195	3.63607	3.63557	3.63684	3.63077
0.0236982	0.528	4.23253	4.248	4.23261	4.22552
0.0236982	0.5365	5.25006	5.25046	5.2518	5.24163
0.0236982	0.545	7.51487	7.50551	7.51543	7.50593
0.0236982	0.5535	11.9588	11.9499	11.9668	11.9402
0.0236982	0.562	19.6136	19.5957	19.6329	19.6
0.0236982	0.5705	31.3904	31.324	31.4267	31.3693
0.0236982	0.579	47.8824	47.7887	47.9449	47.8606
0.0243516	0.426	109.332	109.146	109.358	109.182
0.0243516	0.4345	77.6189	77.5103	77.7372	77.5759
0.0243516	0.443	52.231	52.1666	52.3012	52.2057
0.0243516	0.4515	33.0251	32.9902	33.0632	33.0123
0.0243516	0.46	19.5028	19.4907	19.5159	19.4969
0.0243516	0.4685	10.9143	10.9105	10.9184	10.9126
0.0243516	0.477	6.25854	6.25184	6.26485	6.25825
0.0243516	0.4855	4.33846	4.33758	4.33942	4.33659
0.0243516	0.494	4.23993	4.23933	4.23984	4.23812
0.0243516	0.5025	4.97373	4.9729	4.97492	4.96874
0.0243516	0.511	5.8357	5.83531	5.83632	5.82815
0.0243516	0.5195	6.65362	6.65122	6.65696	6.64355
0.0243516	0.528	7.50636	7.50176	7.51245	7.49537
0.0243516	0.5365	8.74242	8.74223	8.74291	8.72885
0.0243516	0.545	11.0997	11.0963	11.1061	11.0847
0.0243516	0.5535	15.5971	15.5808	15.5985	15.5742
0.0243516	0.562	23.208	23.1912	23.2259	23.1883
0.0243516	0.5705	34.8104	34.7862	34.9102	34.8198
0.0243516	0.579	51.1862	51.0505	51.4094	51.1817
0.025005	0.426	110.184	110.067	110.461	109.972
0.025005	0.4345	78.9824	78.8733	79.1012	78.9452
0.025005	0.443	53.8364	53.7713	53.9074	53.8156
0.025005	0.4515	34.864	34.8282	34.9029	34.8541
0.025005	0.46	21.5834	21.5707	21.5971	21.5788
0.025005	0.4685	13.1822	13.1672	13.1987	13.1809
0.025005	0.477	8.71107	8.70729	8.71521	8.70894
0.025005	0.4855	7.11813	7.11688	7.11794	7.11181
0.025005	0.494	7.32614	7.32519	7.32654	7.32911
0.025005	0.5025	8.32446	8.32344	8.32592	8.31558
0.025005	0.511	9.47231	9.47011	9.47543	9.45933
0.025005	0.5195	10.5549	10.5523	10.5586	10.5394
0.025005	0.528	11.6336	11.6288	11.6401	11.6169
0.025005	0.5365	13.0963	13.0859	13.1095	13.0799
0.025005	0.545	15.5608	15.5552	15.5743	15.546
0.025005	0.5535	20.0867	20.0781	20.0974	20.0433
0.025005	0.562	27.6497	27.6453	27.6778	27.6176
0.025005	0.5705	39.2314	39.1364	39.1653	39.1122
0.025005	0.579	55.255	55.2283	55.4283	55.2024
0.0256584	0.426	111.954	111.609	111.815	111.913
0.0256584	0.4345	81.1005	80.9217	80.9745	81.0785
0.0256584	0.443	56.1973	56.0868	56.1639	56.1855
0.0256584	0.4515	37.468	37.5615	37.5356	37.4621
0.0256584	0.46	24.4788	24.4421	24.5191	24.4767
0.0256584	0.4685	16.2836	16.2722	16.2949	16.28
0.0256584	0.477	12.1132	12.1049	12.1076	12.1085
0.0256584	0.4855	10.7882	10.7872	10.7897	10.7796
0.0256584	0.494	11.2918	11.2942	11.2937	11.2982
0.0256584	0.5025	12.5424	12.5388	12.5452	12.528
0.0256584	0.511	13.9648	13.9623	13.9683	13.9459
0.0256584	0.5195	15.3062	15.3033	15.3103	15.2842
