#	new0	new11a	new11b	new8
0.426	0.186223	-0.0957422	0.080181
0.4345	0.0877563	-0.096014	0.0484806
0.443	0.0473904	-0.0518713	0.0535809
0.4515	0.0168987	-0.0184214	0.0165472
0.46	0.00461807	-0.0050335	0.0120458
0.4685	0.00312109	-0.00340469	0.00568361
0.477	0.000262568	-0.000284828	0.00178358
0.4855	0.000828469	-0.000928965	0.000279872
0.494	2.12545e-05	-2.78322e-05	0.000481431
0.5025	0.000504457	-0.000372969	3.66352e-05
0.511	0.000729174	-0.000828554	0.000259255
0.5195	0.000633889	-0.000727774	4.43721e-05
0.528	0	0	0
0.5365	0.000380007	-0.000409588	0.000191828
0.545	0.00221512	-0.00238994	0.000927042
0.5535	0.00751813	-0.00735129	0.00255131
0.562	0.0212262	-0.0230555	0.00391174
0.5705	0.0383005	-0.0415252	0.00814122
0.579	0.0636811	-0.068969	0.0146955
