#x	y	new0	new11a	new11b	new8
0.426	0.002464	115.221	114.702	115.855	115.107
0.426	0.0024715	113.056	113.132	113.587	113.227
0.426	0.002479	111.907	111.156	111.978	111.579
0.426	0.0024865	110.855	110.694	110.959	111.008
0.426	0.002494	110.296	109.979	110.685	110.228
0.426	0.0025015	109.523	109.273	109.867	109.463
0.426	0.002509	109.546	109.333	109.358	109.469
0.426	0.0025165	109.262	109.076	109.469	109.214
0.426	0.002524	109.319	109.172	109.48	109.182
0.426	0.0025315	109.775	109.659	109.894	109.7
0.426	0.002539	110.63	110.548	110.721	110.56
0.426	0.0025465	111.878	111.812	111.95	111.806
0.426	0.002554	113.529	113.486	113.577	113.461
0.4345	0.002464	86.3449	86.1841	86.6409	86.7142
0.4345	0.0024715	83.7014	83.6913	84.6444	83.8707
0.4345	0.002479	81.8738	81.5592	82.0888	81.8305
0.4345	0.0024865	80.3701	80.002	80.5291	80.3108
0.4345	0.002494	79.1661	78.9206	79.2549	79.0266
0.4345	0.0025015	78.394	78.2251	78.4673	78.3377
0.4345	0.002509	77.6511	77.5074	77.8081	77.5993
0.4345	0.0025165	77.2641	77.1562	77.3822	77.2136
0.4345	0.002524	77.2403	77.1526	77.3363	77.1919
0.4345	0.0025315	77.5847	77.5244	77.6507	77.5369
0.4345	0.002539	78.3475	78.3096	78.389	78.3001
0.4345	0.0025465	79.5438	79.523	79.5665	79.4962
0.4345	0.002554	81.1492	81.1368	81.1626	81.0988
0.443	0.002464	62.4736	62.056	62.909	62.3411
0.443	0.0024715	59.5591	59.258	60.0069	59.5005
0.443	0.002479	56.9952	56.7523	57.3135	56.9382
0.443	0.0024865	55.2351	55.067	55.2791	55.1812
0.443	0.002494	53.7213	53.5399	53.8642	53.8563
0.443	0.0025015	52.8285	52.7135	52.9498	52.7925
0.443	0.002509	52.0564	51.9744	52.1712	52.022
0.443	0.0025165	51.62	51.5563	51.6895	51.5887
0.443	0.002524	51.5945	51.5471	51.6464	51.5409
0.443	0.0025315	51.8983	51.8712	51.928	51.8687
0.443	0.002539	52.6317	52.6192	52.6453	52.602
0.443	0.0025465	53.8101	53.8065	53.8138	53.7802
0.443	0.002554	55.4502	55.4502	55.4503	55.42
0.4515	0.002464	43.4726	43.1346	43.8705	43.395
0.4515	0.0024715	40.3424	40.0561	40.6938	40.2903
0.4515	0.002479	37.8449	37.6299	38.1168	37.7768
0.4515	0.0024865	35.7675	35.5828	35.9358	35.6844
0.4515	0.002494	34.232	34.1333	34.3512	34.2
0.4515	0.0025015	33.3144	33.2441	33.2897	33.2912
0.4515	0.002509	32.5849	32.5356	32.6388	32.5642
0.4515	0.0025165	32.1664	32.1322	32.2473	32.1492
0.4515	0.002524	32.1287	32.1118	32.1471	32.1121
0.4515	0.0025315	32.5137	32.5081	32.5196	32.4917
0.4515	0.002539	33.2011	33.1997	33.2026	33.1777
0.4515	0.0025465	34.3364	34.3362	34.3367	34.3127
0.4515	0.002554	35.9464	35.9416	35.9519	35.922
0.46	0.002464	29.8404	29.5775	30.1301	29.7953
0.46	0.0024715	26.6217	26.4288	26.8503	26.5722
0.46	0.002479	23.9848	23.8209	24.1785	23.9474
0.46	0.0024865	21.9176	21.8191	22.042	21.9357
0.46	0.002494	20.3107	20.2518	20.3789	20.2926
0.46	0.0025015	19.327	19.2901	19.4105	19.3257
0.46	0.002509	18.7059	18.68	18.7355	18.6948
0.46	0.0025165	18.3088	18.2975	18.3212	18.2686
0.46	0.002524	18.2601	18.2555	18.2651	18.248
0.46	0.0025315	18.6392	18.6391	18.6394	18.6273
0.46	0.002539	19.4421	19.4415	19.4429	19.4285
0.46	0.0025465	20.6776	20.6713	20.6848	20.6632
0.46	0.002554	22.4006	22.3833	22.4205	22.3854
0.4685	0.002464	19.931	19.7544	20.1336	19.89
0.4685	0.0024715	17.1723	17.0317	17.3402	17.1422
0.4685	0.002479	14.7112	14.6043	14.839	14.6835
0.4685	0.0024865	12.7098	12.6397	12.7929	12.6832
0.4685	0.002494	11.1301	11.0828	11.1679	11.1689
0.4685	0.0025015	10.0616	10.0451	10.0894	10.0568
0.4685	0.002509	9.50215	9.49184	9.51353	9.49565
0.4685	0.0025165	9.16153	9.15841	9.16494	9.15585
0.4685	0.002524	9.27296	9.27265	9.2733	9.26738
0.4685	0.0025315	9.77435	9.77284	9.77607	9.76862
0.4685	0.002539	10.726	10.7201	10.7326	10.7181
0.4685	0.0025465	12.1058	12.0888	12.1252	12.097
0.4685	0.002554	13.9862	13.9533	14.024	13.9763
0.477	0.002464	13.4377	13.311	13.5914	13.411
0.477	0.0024715	10.9009	10.7998	11.0235	10.8828
0.477	0.002479	8.74449	8.67861	8.82409	8.72801
