#x	y	new0	new11a	new11b	new8
-3.14159	0.002464	51.0094	50.7374	51.3452	51.1172
-3.14159	0.0024715	48.3174	48.1067	48.5782	48.4272
-3.14159	0.002479	46.051	45.8937	46.2461	46.1618
-3.14159	0.0024865	44.2157	44.104	44.3546	44.3265
-3.14159	0.002494	42.8075	42.7371	42.8949	42.9091
-3.14159	0.0025015	41.8539	41.8127	41.9055	41.9537
-3.14159	0.002509	41.3569	41.3374	41.3813	41.4548
-3.14159	0.0025165	41.3274	41.3214	41.3347	41.4223
-3.14159	0.002524	41.7719	41.7692	41.775	41.8605
-3.14159	0.0025315	42.5945	42.5944	42.5948	42.6801
-3.14159	0.002539	43.8144	43.8101	43.8194	43.8713
-3.14159	0.0025465	45.5026	45.5009	45.5177	45.5603
-3.14159	0.002554	47.7248	47.6983	47.7585	47.7576
-3.03687	0.002464	43.2715	43.0126	43.5925	43.3645
-3.03687	0.0024715	40.6387	40.44	40.8859	40.733
-3.03687	0.002479	38.4315	38.285	38.6141	38.5263
-3.03687	0.0024865	36.6237	36.5056	36.7706	36.7204
-3.03687	0.002494	35.2023	35.1268	35.296	35.2906
-3.03687	0.0025015	34.2348	34.1895	34.2911	34.321
-3.03687	0.002509	33.72	33.6976	33.7483	33.8038
-3.03687	0.0025165	33.6706	33.663	33.68	33.7512
-3.03687	0.002524	34.0606	34.0572	34.0647	34.1225
-3.03687	0.0025315	34.7789	34.7784	34.7784	34.8369
-3.03687	0.002539	35.9835	35.9798	35.9876	36.0322
-3.03687	0.0025465	37.6729	37.6719	37.6875	37.7228
-3.03687	0.002554	39.8938	39.8665	39.9251	39.9211
-2.93215	0.002464	36.4701	36.2038	36.8002	36.5509
-2.93215	0.0024715	33.8356	33.6305	34.0905	33.917
-2.93215	0.002479	31.6243	31.4726	31.8136	31.7058
-2.93215	0.0024865	29.8421	29.7356	29.9755	29.9227
-2.93215	0.002494	28.4956	28.4262	28.5828	28.5746
-2.93215	0.0025015	27.4753	27.4288	27.5333	27.5422
-2.93215	0.002509	26.8747	26.8522	26.9026	26.9341
-2.93215	0.0025165	26.735	26.727	26.7448	26.7906
-2.93215	0.002524	27.0642	27.0633	27.0652	27.1157
-2.93215	0.0025315	27.8473	27.847	27.8479	27.8886
-2.93215	0.002539	29.0973	29.091	29.1042	29.1297
-2.93215	0.0025465	30.8414	30.8237	30.8614	30.8697
-2.93215	0.002554	33.0936	33.0669	33.1243	33.1145
-2.82743	0.002464	30.6634	30.3929	30.9988	30.7325
-2.82743	0.0024715	28.0306	27.822	28.29	28.0997
-2.82743	0.002479	25.819	25.6643	26.0121	25.8877
-2.82743	0.0024865	23.9962	23.894	24.1239	24.0531
-2.82743	0.002494	22.5802	22.5075	22.6629	22.6355
-2.82743	0.0025015	21.5362	21.4883	21.596	21.5916
-2.82743	0.002509	20.9288	20.9054	20.9579	20.9775
-2.82743	0.0025165	20.7816	20.773	20.7922	20.8266
